feature,q33,q67,n_fit,fit_partition
ret_24h,-0.030599369085173467,0.032217704097591504,865,development_candidate1_only
ret_72h,-0.04554895601792808,0.05649346945759404,865,development_candidate1_only
ret_7d,-0.07412491875903593,0.10178495285924116,865,development_candidate1_only
range_24h,0.08829926054806428,0.12472160356347438,865,development_candidate1_only
range_72h,0.14343140608963403,0.2145307769929365,865,development_candidate1_only
range_7d,0.22161297692483442,0.32344072369465154,865,development_candidate1_only
loc_24h,0.3036437246963564,0.6707317073170731,865,development_candidate1_only
loc_72h,0.3150955833882664,0.6945484810653345,865,development_candidate1_only
loc_7d,0.31282820705176295,0.7004655493482308,865,development_candidate1_only
range_ratio_24_72,0.5489470362081817,0.7123186275725053,865,development_candidate1_only
