date_wib,decision_t_utc,predicted,p_buy,p_neutral,p_sell,trade,a511_pnl,a511_win,baseline_p_sell,sell_lift,weight,weighted_pnl
2024-03-05,2024-03-04 23:00:00+00:00,SELL_COMPATIBLE,0.4205579549196627,0.0003939780008034,0.5790480670795338,True,-4.750000000000004,False,0.4445475638051044,1.302555933774943,1.0,-4.750000000000004
2024-03-12,2024-03-11 23:00:00+00:00,SELL_COMPATIBLE,0.4190935908676225,0.0428297081904515,0.5380767009419258,True,5.999999999999979,True,0.4445475638051044,1.2103917437681109,1.0,5.999999999999979
2024-03-19,2024-03-18 23:00:00+00:00,SELL_COMPATIBLE,0.4727153479817492,0.010266590034993,0.5170180619832577,True,5.999999999999979,True,0.4445475638051044,1.1630207970500213,1.0,5.999999999999979
2024-03-26,2024-03-25 23:00:00+00:00,BUY_COMPATIBLE,0.563407507195376,0.0043846037913944,0.4322078890132295,False,0.1524372912669886,True,0.4445475638051044,0.9722421720495924,0.9722421720495924,0.14820596316277335
2024-04-02,2024-04-01 23:00:00+00:00,BUY_COMPATIBLE,0.5666179960959993,0.0346358374453458,0.3987461664586548,False,5.999999999999923,True,0.4398068299413591,0.9066393227950119,0.9066393227950119,5.4398359367700015
2024-04-09,2024-04-08 23:00:00+00:00,SELL_COMPATIBLE,0.4203456699539512,0.0649543048466186,0.5147000251994301,True,6.000000000000034,True,0.4398068299413591,1.1702865671005083,1.0,6.000000000000034
2024-04-16,2024-04-15 23:00:00+00:00,SELL_COMPATIBLE,0.4302249903651967,9.373389414849574e-05,0.5696812757406547,True,5.999999999999979,True,0.4398068299413591,1.2952988379389474,1.0,5.999999999999979
2024-04-23,2024-04-22 23:00:00+00:00,SELL_COMPATIBLE,0.486420623627437,0.0184131880309607,0.4951661883416022,True,5.094038573191823,True,0.4398068299413591,1.1258719843155331,1.0,5.094038573191823
2024-04-30,2024-04-29 23:00:00+00:00,BUY_COMPATIBLE,0.5168382997947362,0.0126141949880446,0.4705475052172191,False,-4.750000000000004,False,0.4398068299413591,1.0698958569605632,1.0,-4.750000000000004
2024-05-07,2024-05-06 23:00:00+00:00,BUY_COMPATIBLE,0.5009688614421773,0.0501819612896842,0.4488491772681383,False,-0.4372365736254595,False,0.4539928156949434,0.9886702206533124,0.9886702206533124,-0.4322827797239813
2024-05-14,2024-05-13 23:00:00+00:00,BUY_COMPATIBLE,0.4461055339136154,0.1192874007319703,0.4346070653544143,False,0.9920381048920408,True,0.4539928156949434,0.9572994336686703,0.9572994336686703,0.9496775159908917
2024-05-21,2024-05-20 23:00:00+00:00,BUY_COMPATIBLE,0.487335508704332,0.0266034774154486,0.4860610138802194,False,-4.750000000000004,False,0.4539928156949434,1.0706359155401788,1.0,-4.750000000000004
2024-05-28,2024-05-27 23:00:00+00:00,BUY_COMPATIBLE,0.4975698054045573,0.1000137809256296,0.4024164136698129,False,6.000000000000034,True,0.4539928156949434,0.886393792496076,0.886393792496076,5.318362754976485
2024-06-04,2024-06-03 23:00:00+00:00,BUY_COMPATIBLE,0.4875185467955301,0.0819410652327339,0.4305403879717357,False,-0.8144103270741603,False,0.4480861792344717,0.960842819805976,0.960842819805976,-0.7825203151450434
