split,side,candidate_n,executed_trades,skipped_active,trades_per_day,tp,sl,time,target_wr,resolved_wr,economic_win_rate,net_expectancy_return,net_expectancy_usd,profit_factor,total_net_usd,max_loss_streak,median_hold_min,accept_rate
dev_select_2024,LONG,8,8,0,0.02185792349726776,1,7,0,0.125,0.125,0.125,-0.008999999999999992,-4.4999999999999964,0.10559006211180143,-35.99999999999997,6,32.5,1.0
dev_select_2024,SHORT,35,35,0,0.09562841530054644,14,21,0,0.4,0.4,0.4,-0.003500000000000008,-1.7500000000000038,0.49275362318840527,-61.250000000000135,4,10.0,1.0
validation_2025,LONG,5,5,0,0.0136986301369863,1,4,0,0.2,0.2,0.2,-0.0075000000000000275,-3.7500000000000133,0.18478260869565177,-18.750000000000068,4,15.0,1.0
validation_2025,SHORT,28,28,0,0.07671232876712329,14,14,0,0.5,0.5,0.5,-0.0015000000000000037,-0.7500000000000019,0.7391304347826084,-21.000000000000053,3,20.0,1.0
validation_2026,LONG,5,5,0,0.018656716417910446,5,0,0,1.0,1.0,1.0,0.00850000000000001,4.250000000000004,inf,21.25000000000002,0,20.0,1.0
validation_2026,SHORT,8,8,0,0.029850746268656716,5,3,0,0.625,0.625,0.625,0.0010000000000000165,0.500000000000008,1.231884057971018,4.000000000000064,1,12.5,1.0
