partition,variant,n_0,wins_0,wr_0,pf_0,expectancy_0,net_0,max_ls_0,n_5,wins_5,wr_5,pf_5,expectancy_5,net_5,max_ls_5,f75_breach_n,pre_h2_n,h2_seen_n,conditional_exit_n,exit_base_loser_n,exit_base_winner_n,avg_delta_base_loser_0,avg_delta_base_winner_0,screen_pass
external,BASE_F50,39,32,0.8205128205128205,2.079556550754464,1.5028988713368319,58.613055982136444,1,39,31,0.7948717948717948,1.801571308386853,1.1950253122275605,46.60598717687486,1,11,9,2,0,0,0,,,False
development,BASE_F50,41,29,0.7073170731707317,0.8960427005125791,-0.19801202500894086,-8.118493025366575,4,41,27,0.6585365853658537,0.744513858881591,-0.5263294693470624,-21.579508243229558,4,17,12,5,0,0,0,,,False
reference_validation,BASE_F50,15,11,0.7333333333333333,1.5297614930906913,0.8219146570996243,12.328719856494365,1,15,11,0.7333333333333333,1.3003128899296548,0.5055176385595533,7.5827645783933,1,4,3,1,0,0,0,,,False
august,BASE_F50,0,0,,,,0.0,0,0,0,,,,0.0,0,0,0,0,0,0,0,,,False
POOLED_MAJOR,BASE_F50,95,72,0.7578947368421053,1.403592078278085,0.661297713823834,62.82328281326422,4,95,69,0.7263157894736842,1.1942676210704684,0.34325519486356454,32.60924351203863,4,32,24,8,0,0,0,,,False
external,F75_PRE_H2_EXIT,39,28,0.717948717948718,1.923777817010744,1.2559837267679568,48.98336534395031,2,39,27,0.6923076923076923,1.6111120517312212,0.9225685935728714,35.98017514934198,2,11,9,2,9,5,4,3.427821990008261,-6.692200147056862,False
development,F75_PRE_H2_EXIT,41,24,0.5853658536585366,0.7900662528236745,-0.39653096817547206,-16.257769695194355,6,41,22,0.5365853658536586,0.641245967635894,-0.7552540979300408,-30.965418015131675,7,17,12,5,12,7,5,1.86067101997528,-4.232794761930947,False
reference_validation,F75_PRE_H2_EXIT,15,10,0.6666666666666666,1.3223272521614173,0.48865552729332123,7.329832909399818,1,15,10,0.6666666666666666,1.0926322942361772,0.15573567095707658,2.3360350643561487,1,4,3,1,3,2,1,4.221028535039834,-13.440944017174218,False
august,F75_PRE_H2_EXIT,0,0,,,,0.0,0,0,0,,,,0.0,0,0,0,0,0,0,0,,,False
POOLED_MAJOR,F75_PRE_H2_EXIT,95,62,0.6526315789473685,1.2614451362703774,0.42163609008585035,40.05542855815578,6,95,59,0.6210526315789474,1.043136247181608,0.0773767599849101,7.3507921985664595,7,32,24,8,24,14,10,2.757561725710567,-6.13737184150564,False
external,F75_POST_H2_EXIT,39,31,0.7948717948717948,2.0290187694897424,1.4426751773703534,56.26433191744378,1,39,30,0.7692307692307693,1.745565726188383,1.1284244573106632,44.00855383511587,1,11,9,2,2,1,1,1.7025701268394426,-4.051294191532106,True
development,F75_POST_H2_EXIT,41,29,0.7073170731707317,1.185307907223563,0.26682594239999374,10.939863638399743,4,41,27,0.6585365853658537,0.961173968805817,-0.061956107602702475,-2.5402004117108015,4,17,12,5,5,5,0,3.8116713327532636,,True
reference_validation,F75_POST_H2_EXIT,15,11,0.7333333333333333,1.7371179438130069,1.0071119277240324,15.106678915860485,1,15,11,0.7333333333333333,1.460878296800622,0.6905298044657006,10.357947066985508,1,4,3,1,1,1,0,2.777959059366119,,True
august,F75_POST_H2_EXIT,0,0,,,,0.0,0,0,0,,,,0.0,0,0,0,0,0,0,0,,,True
POOLED_MAJOR,F75_POST_H2_EXIT,95,71,0.7473684210526316,1.6133080577684074,0.8664302575968842,82.310874471704,4,95,68,0.7157894736842105,1.352735959599367,0.5455400051620063,51.826300490390594,4,32,24,8,8,7,1,3.3626979785674114,-4.051294191532106,True
