partition,side,raw_signals,executed_trades,skipped_active,trades_per_day,tp,sl,time,samebar_sl,target_wr,resolved_wr,economic_win_rate,net_expectancy_return,net_expectancy_usd,profit_factor,total_net_usd,max_loss_streak,median_hold_min
development,LONG,715,715,0,0.9781121751025992,360,242,113,0,0.5034965034965035,0.5980066445182725,0.5622377622377622,7.686910084194482e-05,0.03843455042097235,1.0176537172406197,27.48070355099523,7,80.0
development,SHORT,1372,1372,0,1.8768809849521204,687,482,203,0,0.500728862973761,0.5876817792985458,0.5612244897959183,2.4367891408747952e-05,0.01218394570437403,1.0055626265304005,16.71637350640117,8,65.0
validation_2025,LONG,451,451,0,1.2356164383561643,226,146,79,0,0.5011086474501109,0.6075268817204301,0.565410199556541,0.0002562916954542604,0.12814584772713022,1.0612724916355536,57.79377732493573,6,95.0
validation_2025,SHORT,786,786,0,2.1534246575342464,404,268,114,1,0.5139949109414759,0.6011904761904762,0.5699745547073791,0.0002698104629099816,0.134905231454991,1.0633241520238443,106.03551192362292,7,75.0
validation_2026,LONG,268,268,0,1.00374531835206,110,64,94,0,0.41044776119402987,0.632183908045977,0.5559701492537313,0.0002798617627384375,0.13993088136921875,1.079972604055406,37.50147620695062,5,150.0
validation_2026,SHORT,683,683,0,2.5580524344569286,274,190,219,1,0.4011713030746706,0.5905172413793104,0.5285505124450952,-0.00018870833766408915,-0.09435416883204455,0.9518735691765364,-64.44389731228642,8,130.0
