region_id,character_rule,cells,lookbacks,holds,strict_temporal_cells,median_expectancy,median_pf,median_max_dd,qualifies
1,EFF_LOW__RV_MID,1,120,240,0,0.20646765062266567,1.0872700787909024,139.7985221432989,False
2,EFF_MID__RV_HIGH,1,60,360,0,0.6328874670716863,1.2272296506406124,105.4059420845883,False
3,EFF_MID__RANGE_HIGH,1,60,360,0,0.4813031299228895,1.1878299230965141,97.7359126761426,False
4,EFF_MID__EXT_LOW,3,240,240;360;480,0,1.488881408183557,1.6460022806178152,81.32651368720965,False
5,EFF_HIGH__EXT_MID,1,360,360,0,0.6801332789519102,1.2788368737570923,93.39624170479352,False
6,RV_MID__RANGE_LOW,2,60;120,360,0,0.7853427009286241,1.299347395834744,119.96469027762416,False
7,RV_HIGH__RANGE_MID,1,360,240,1,2.133857317618381,1.9379568839602266,116.43704137354675,False
8,RV_HIGH__RANGE_MID,2,180,240;360,0,2.0607461132828044,1.989381772971603,66.49208257277601,False
9,RV_HIGH__RANGE_MID,1,240,120,0,0.16747477288187265,1.1062763880509094,66.35161485579079,False
10,DRIVE_DOWN__RANGE_MID,1,240,240,0,0.7233437098445378,1.361267015225782,146.87782141254633,False
11,DRIVE_DOWN__STR_B0_20,1,120,360,0,0.8155267956973943,1.3734087364715548,104.53383145965296,False
