rule,executed_trades,skipped_overlap,trades_per_week,net_wr,net_mean,net_pf,net_total_500,net_max_dd_500,net_loss_streak,positive_quarters,y2022_mean,y2022_pf,y2022_positive_quarters,y2023_mean,y2023_pf,y2023_positive_quarters,y2024_mean,y2024_pf,y2024_positive_quarters,pooled_gate,year_gate,quarter_gate,full_gate
TIME_360m,270,213,1.72445255,0.53703704,0.0025061,1.55277567,338.32372761,60.10513274,5,9,0.00108344,1.1914115,1,0.0027857,1.84038541,4,0.00356789,1.77455977,4,True,True,False,False
TIME_240m,270,213,1.72445255,0.52222222,0.00095824,1.24688864,129.36265776,65.32431846,5,9,-0.00069404,0.87426948,1,0.00098361,1.37170064,4,0.00246554,1.70560494,4,True,False,False,False
TPSL_TP150_SL090_H360,298,185,1.90328467,0.45637584,0.00010294,1.02302483,15.33857054,76.92082005,6,7,0.00039722,1.08716027,3,0.00019385,1.05117623,2,-0.00026463,0.94733249,2,False,False,False,False
TPSL_TP150_SL120_H360,292,191,1.8649635,0.48972603,0.00009146,1.01892673,13.35296087,75.14953399,6,7,-0.00000879,0.99830662,2,0.00049636,1.12810523,2,-0.00017743,0.96683532,3,False,False,False,False
TIME_180m,270,213,1.72445255,0.51481481,0.00011361,1.02879173,15.33795538,87.22177255,4,6,-0.00080216,0.8376422,1,0.00016011,1.05418163,2,0.00091933,1.23378542,3,False,False,False,False
TPSL_TP120_SL090_H360,300,183,1.91605839,0.47666667,-0.00014103,0.96695707,-21.15494877,69.42082005,6,6,0.00000287,1.00064483,2,-0.00004942,0.98657785,2,-0.00036754,0.9205924,2,False,False,False,False
TPSL_TP090_SL090_H360,306,177,1.95437956,0.5130719,-0.00037969,0.90553099,-58.09184286,68.865607,6,6,-0.00014683,0.96415034,2,-0.00046663,0.87193318,2,-0.00053,0.8764603,2,False,False,False,False
TIME_120m,270,213,1.72445255,0.47407407,-0.00004848,0.98561915,-6.54447156,74.0061496,6,7,0.00002684,1.00753443,3,-0.00060126,0.80693671,1,0.00038799,1.11316796,3,False,False,False,False
TPSL_TP090_SL120_H360,301,182,1.92244526,0.5448505,-0.0005028,0.88485126,-75.67067884,83.94139004,6,6,-0.00053842,0.88389241,2,-0.00029823,0.92031597,2,-0.00065241,0.86006372,2,False,False,False,False
TPSL_TP060_SL090_H360,326,157,2.08211679,0.60429448,-0.00053439,0.84110152,-87.10598884,113.3152949,5,4,0.00009078,1.02974746,2,-0.00065098,0.80017869,1,-0.00108203,0.71474079,1,False,False,False,False
TPSL_TP120_SL120_H360,294,189,1.87773723,0.50680272,-0.000217,0.95319379,-31.89870602,78.77901575,6,6,-0.00042896,0.91555083,1,-0.00000216,0.99944286,2,-0.00020297,0.95847776,3,False,False,False,False
TPSL_TP150_SL090_H240,298,185,1.90328467,0.44966443,-0.0003505,0.91354229,-52.22459337,83.3884429,6,5,-0.0004433,0.89661295,0,-0.00024515,0.92745011,3,-0.0003595,0.91936703,2,False,False,False,False
TPSL_TP150_SL060_H360,317,166,2.02463504,0.38170347,-0.00032238,0.9215574,-51.09653154,75.44501725,7,5,-0.00008891,0.97898495,2,-0.00035943,0.9023317,1,-0.00051619,0.88270599,2,False,False,False,False
TPSL_TP120_SL090_H240,300,183,1.91605839,0.47,-0.00045483,0.88392491,-68.22462955,83.58463218,6,4,-0.00064787,0.84568411,0,-0.00030613,0.90646142,2,-0.00040413,0.90481352,2,False,False,False,False
TPSL_TP150_SL060_H240,317,166,2.02463504,0.38170347,-0.00064766,0.82717694,-102.65395445,109.33659344,8,4,-0.00071683,0.8178728,1,-0.00051911,0.84532047,2,-0.00070237,0.82155465,1,False,False,False,False
TPSL_TP120_SL060_H360,320,163,2.04379562,0.396875,-0.00059869,0.85046415,-95.79079749,95.79079749,7,4,-0.00047412,0.88657899,1,-0.00056849,0.84252948,1,-0.00075322,0.82069692,2,False,False,False,False
TPSL_TP090_SL090_H240,306,177,1.95437956,0.49673203,-0.00060939,0.83694294,-93.23611019,93.23611019,6,4,-0.00079918,0.79494723,0,-0.00052703,0.83729021,2,-0.00049749,0.87682447,2,False,False,False,False
TPSL_TP150_SL120_H240,292,191,1.8649635,0.47945205,-0.00039409,0.9081531,-57.53656574,92.55714778,5,5,-0.000853,0.82114083,0,-0.00010268,0.96944446,2,-0.00021601,0.95374588,3,False,False,False,False
TPSL_TP090_SL060_H360,325,158,2.07572993,0.43384615,-0.00069725,0.81469713,-113.30265056,113.30265056,7,3,-0.0004543,0.8818586,1,-0.00088639,0.75209012,0,-0.00076357,0.80199754,2,False,False,False,False
TPSL_TP120_SL060_H240,320,163,2.04379562,0.39375,-0.00078395,0.78623704,-125.43246427,127.61510327,8,2,-0.00093609,0.75958244,0,-0.00060507,0.81587021,1,-0.000801,0.7893593,1,False,False,False,False
TPSL_TP060_SL120_H240,322,161,2.05656934,0.60869565,-0.00039126,0.87329641,-62.99284407,86.12618439,4,4,-0.00020735,0.93182045,1,-0.00000877,0.99655787,2,-0.0009501,0.73989307,1,False,False,False,False
TPSL_TP060_SL120_H360,322,161,2.05656934,0.65217391,-0.00030232,0.91002348,-48.67311945,74.2098441,4,5,0.00006367,1.01968692,2,0.00002282,1.00782293,2,-0.00099877,0.74486314,1,False,False,False,False
TPSL_TP060_SL090_H240,326,157,2.08211679,0.57361963,-0.00060106,0.80876114,-97.97333033,122.81353696,5,3,-0.00016655,0.94322449,1,-0.00065827,0.77694725,1,-0.00100463,0.71691743,1,False,False,False,False
TPSL_TP120_SL120_H240,294,189,1.87773723,0.49659864,-0.00055436,0.8669012,-81.49040616,101.84973792,5,4,-0.00105142,0.77481519,0,-0.00030549,0.90909402,2,-0.00029151,0.93369322,2,False,False,False,False
TPSL_TP060_SL060_H240,343,140,2.19069343,0.48396501,-0.00100713,0.6793087,-172.72346746,175.12346746,7,1,-0.00096187,0.69806337,0,-0.00107165,0.64738893,0,-0.00099365,0.68850359,1,False,False,False,False
TPSL_TP060_SL060_H360,343,140,2.19069343,0.50728863,-0.00095726,0.71200714,-164.17064022,166.57064022,7,2,-0.00077415,0.76662313,1,-0.0010724,0.67017249,0,-0.00104467,0.69290867,1,False,False,False,False
TPSL_TP090_SL120_H240,301,182,1.92244526,0.52491694,-0.00068165,0.82810196,-102.58879727,106.26592451,5,4,-0.00113418,0.73582527,0,-0.00032333,0.90066917,2,-0.00055734,0.86986487,2,False,False,False,False
TPSL_TP090_SL060_H240,325,158,2.07572993,0.41846154,-0.00088858,0.74901909,-144.39448819,144.39448819,7,1,-0.00113619,0.6936679,0,-0.00077454,0.76201075,0,-0.00074654,0.79494201,1,False,False,False,False
TIME_060m,270,213,1.72445255,0.43333333,-0.000682,0.76430813,-92.07035911,107.87358386,7,4,-0.00137573,0.6141868,0,-0.00048331,0.75918626,2,-0.00022135,0.92820146,2,False,False,False,False
