date,entry_t,entry,coarse_state,thu_sign,fri_sign,sat_sign,sun_pre16_sign,sun12_16_sign,decision,reason,exit_t,pnl
2026-08-02,2026-08-02 09:00:00+00:00,63171.2,F-|S+|U+,+,-,+,+,-,BUY,TIMEOUT,2026-08-03 03:00:00+00:00,-1.2574836231700213
2026-08-09,2026-08-09 09:00:00+00:00,64792.5,F+|S+|U-,+,+,+,-,+,BUY,TIMEOUT,2026-08-10 03:00:00+00:00,1.4153759446540404
2026-08-16,2026-08-16 09:00:00+00:00,63039.6,F-|S-|U-,-,-,-,-,-,SELL,TIMEOUT,2026-08-17 03:00:00+00:00,-3.446275912283649
