symbol,clock,side,partition,sessions,k1_opp0,k1_rate,causal_leave,leave_rate,h2,opposite,ambiguous,no_h2,h2_rate,resolved_h2_wr,median_min_to_h2,m1_replication
BTCUSDT,RAW_2330,LONG,development,782,159,0.20332480818414322,112,0.7044025157232704,88,6,0,18,0.7857142857142857,0.9361702127659575,20.0,
BTCUSDT,RAW_2330,LONG,reference_validation,411,79,0.1922141119221411,56,0.7088607594936709,48,2,0,6,0.8571428571428571,0.96,15.0,
BTCUSDT,RAW_2330,LONG,august,17,4,0.23529411764705882,3,0.75,2,0,0,1,0.6666666666666666,1.0,25.0,
BTCUSDT,RAW_2330,LONG,POOLED_MAJOR,1715,329,0.19183673469387755,238,0.723404255319149,193,11,0,34,0.8109243697478992,0.946078431372549,15.0,
BTCUSDT,SHORT_2000,SHORT,external,522,102,0.19540229885057472,70,0.6862745098039216,51,2,0,17,0.7285714285714285,0.9622641509433962,20.0,
BTCUSDT,SHORT_2000,SHORT,development,782,114,0.14578005115089515,77,0.6754385964912281,54,8,0,15,0.7012987012987013,0.8709677419354839,15.0,
BTCUSDT,SHORT_2000,SHORT,reference_validation,411,78,0.1897810218978102,45,0.5769230769230769,38,4,0,3,0.8444444444444444,0.9047619047619048,15.0,
BTCUSDT,SHORT_2000,SHORT,august,17,5,0.29411764705882354,2,0.4,2,0,0,0,1.0,1.0,37.5,
BTCUSDT,SHORT_2000,SHORT,POOLED_MAJOR,1715,294,0.17142857142857143,192,0.6530612244897959,143,14,0,35,0.7447916666666666,0.910828025477707,15.0,
ETHUSDT,ALT_0330,LONG,external,523,125,0.2390057361376673,92,0.736,72,13,0,7,0.782608695652174,0.8470588235294118,25.0,
ETHUSDT,ALT_0330,LONG,development,782,214,0.27365728900255754,153,0.7149532710280374,127,14,0,12,0.8300653594771242,0.900709219858156,25.0,
ETHUSDT,ALT_0330,LONG,reference_validation,411,105,0.25547445255474455,75,0.7142857142857143,67,4,0,4,0.8933333333333333,0.9436619718309859,20.0,
ETHUSDT,ALT_0330,LONG,august,17,2,0.11764705882352941,1,0.5,1,0,0,0,1.0,1.0,35.0,
ETHUSDT,ALT_0330,LONG,POOLED_MAJOR,1716,444,0.25874125874125875,320,0.7207207207207207,266,31,0,23,0.83125,0.8956228956228957,25.0,PASS
ETHUSDT,RAW_0530,LONG,external,523,124,0.23709369024856597,84,0.6774193548387096,68,9,0,7,0.8095238095238095,0.8831168831168831,20.0,
ETHUSDT,RAW_0530,LONG,development,782,199,0.2544757033248082,142,0.7135678391959799,117,16,0,9,0.823943661971831,0.8796992481203008,20.0,
ETHUSDT,RAW_0530,LONG,reference_validation,411,102,0.24817518248175183,68,0.6666666666666666,54,10,0,4,0.7941176470588235,0.84375,27.5,
ETHUSDT,RAW_0530,LONG,august,17,4,0.23529411764705882,0,0.0,0,0,0,0,,,,
ETHUSDT,RAW_0530,LONG,POOLED_MAJOR,1716,425,0.24766899766899766,294,0.691764705882353,239,35,0,20,0.8129251700680272,0.8722627737226277,20.0,PASS
ETHUSDT,LONDON,LONG,external,523,120,0.2294455066921606,79,0.6583333333333333,67,2,0,10,0.8481012658227848,0.9710144927536232,25.0,
ETHUSDT,LONDON,LONG,development,782,173,0.22122762148337596,121,0.6994219653179191,99,16,0,6,0.8181818181818182,0.8608695652173913,15.0,
ETHUSDT,LONDON,LONG,reference_validation,411,85,0.20681265206812652,50,0.5882352941176471,37,10,0,3,0.74,0.7872340425531915,25.0,
ETHUSDT,LONDON,LONG,august,17,4,0.23529411764705882,3,0.75,2,1,0,0,0.6666666666666666,0.6666666666666666,7.5,
ETHUSDT,LONDON,LONG,POOLED_MAJOR,1716,378,0.2202797202797203,250,0.6613756613756614,203,28,0,19,0.812,0.8787878787878788,25.0,PASS
ETHUSDT,RAW_2330,LONG,external,522,80,0.1532567049808429,51,0.6375,42,3,0,6,0.8235294117647058,0.9333333333333333,35.0,
ETHUSDT,RAW_2330,LONG,development,782,168,0.21483375959079284,120,0.7142857142857143,90,5,0,25,0.75,0.9473684210526315,20.0,
ETHUSDT,RAW_2330,LONG,reference_validation,411,76,0.18491484184914841,54,0.7105263157894737,42,4,0,8,0.7777777777777778,0.9130434782608695,20.0,
ETHUSDT,RAW_2330,LONG,august,17,2,0.11764705882352941,2,1.0,2,0,0,0,1.0,1.0,92.5,
ETHUSDT,RAW_2330,LONG,POOLED_MAJOR,1715,324,0.18892128279883383,225,0.6944444444444444,174,12,0,39,0.7733333333333333,0.9354838709677419,22.5,PASS
ETHUSDT,SHORT_2000,SHORT,external,522,96,0.1839080459770115,60,0.625,45,5,0,10,0.75,0.9,25.0,
ETHUSDT,SHORT_2000,SHORT,development,782,132,0.16879795396419436,95,0.7196969696969697,72,5,0,18,0.7578947368421053,0.935064935064935,20.0,
ETHUSDT,SHORT_2000,SHORT,reference_validation,411,80,0.19464720194647203,50,0.625,33,5,0,12,0.66,0.868421052631579,20.0,
ETHUSDT,SHORT_2000,SHORT,august,17,6,0.35294117647058826,5,0.8333333333333334,5,0,0,0,1.0,1.0,30.0,
ETHUSDT,SHORT_2000,SHORT,POOLED_MAJOR,1715,308,0.17959183673469387,205,0.6655844155844156,150,15,0,40,0.7317073170731707,0.9090909090909091,20.0,PASS
