clock_block,wib,regime,selected_gate,dev_base_fills,dev_selected_fills,dev_base_target_fill,dev_selected_target_fill,dev_base_high_fail,dev_selected_high_fail,reused_confirmed
00-04,07-11,BULL,BASE,19,19,0.5789473684210527,0.5789473684210527,0.21052631578947367,0.21052631578947367,False
00-04,07-11,BEAR,BASE,19,19,0.8421052631578947,0.8421052631578947,0.10526315789473684,0.10526315789473684,False
00-04,07-11,SIDEWAYS,BASE,4,4,0.75,0.75,0.25,0.25,False
04-08,11-15,BULL,BASE,11,11,0.7272727272727273,0.7272727272727273,0.09090909090909091,0.09090909090909091,False
04-08,11-15,BEAR,BASE,21,21,0.8095238095238095,0.8095238095238095,0.047619047619047616,0.047619047619047616,False
04-08,11-15,SIDEWAYS,BASE,6,6,0.6666666666666666,0.6666666666666666,0.0,0.0,False
08-12,15-19,BULL,BASE,19,19,0.7894736842105263,0.7894736842105263,0.10526315789473684,0.10526315789473684,False
08-12,15-19,BEAR,BASE,27,27,0.7777777777777778,0.7777777777777778,0.18518518518518517,0.18518518518518517,False
08-12,15-19,SIDEWAYS,BASE,4,4,0.75,0.75,0.25,0.25,False
12-16,19-23,BULL,BASE,26,26,0.6153846153846154,0.6153846153846154,0.38461538461538464,0.38461538461538464,False
12-16,19-23,BEAR,BASE,41,41,0.8048780487804879,0.8048780487804879,0.12195121951219512,0.12195121951219512,False
12-16,19-23,SIDEWAYS,BASE,9,9,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,False
16-20,23-03,BULL,BASE,18,18,0.7222222222222222,0.7222222222222222,0.05555555555555555,0.05555555555555555,False
16-20,23-03,BEAR,BASE,28,28,0.7857142857142857,0.7857142857142857,0.03571428571428571,0.03571428571428571,False
16-20,23-03,SIDEWAYS,BASE,8,8,0.875,0.875,0.0,0.0,False
20-00,03-07,BULL,BASE,8,8,0.75,0.75,0.125,0.125,False
20-00,03-07,BEAR,BASE,26,26,0.7307692307692307,0.7307692307692307,0.07692307692307693,0.07692307692307693,False
20-00,03-07,SIDEWAYS,BASE,3,3,0.3333333333333333,0.3333333333333333,0.0,0.0,False
