phase,signature,positive_eligible_050r_n,positive_trigger_n,positive_trigger_rate,negative_eligible_050r_n,negative_trigger_n,negative_trigger_rate,median_pretrigger_peak_r,median_trigger_close_r,median_terminal_r,median_saved_r,recovery_rate,median_new_peak_increment_r,median_trigger_to_end_min,positive_saved_years,development_candidate,retrospective_consistent
DISCOVERY_2020_2024,ABS_DD_025R,84,62,0.7380952380952381,29,29,1.0,0.7118322950900076,0.3813048669148116,0.9642029657089923,-0.5504878335488358,0.7258064516129032,0.4921050390945266,107.5,0.0,False,
DISCOVERY_2020_2024,ABS_DD_050R,84,38,0.4523809523809524,29,29,1.0,0.7954212454212412,0.26916208791208407,1.0402481607464442,-0.7620143265176617,0.7894736842105263,0.5076330803075021,147.5,0.0,False,
DISCOVERY_2020_2024,FRAC_DD_25PCT,84,65,0.7738095238095238,29,29,1.0,0.6257889990982849,0.3904418394950398,0.9417344173441744,-0.5093167701863304,0.7692307692307693,0.5686274509803927,100.0,0.0,False,
DISCOVERY_2020_2024,FRAC_DD_50PCT,84,47,0.5595238095238095,29,29,1.0,0.6149068322981373,0.25966850828729476,0.9615384615384623,-0.7500000000000043,0.7659574468085106,0.5686274509803927,135.0,0.0,False,
DISCOVERY_2020_2024,TWO_OPPOSITE_CLOSES,84,53,0.6309523809523809,29,29,1.0,0.6871980676328522,0.34848484848484895,0.9668674698795224,-0.5531914893616993,0.7924528301886793,0.4575738529226908,130.0,0.0,False,
DISCOVERY_2020_2024,MICRO_BREAK_3BAR,84,45,0.5357142857142857,29,29,1.0,0.7292057535959873,0.30573248407643105,0.9668674698795224,-0.5999999999999999,0.7333333333333333,0.43429951690821444,135.0,0.0,False,
RETROSPECTIVE_2025,ABS_DD_025R,18,16,0.8888888888888888,5,5,1.0,0.8101033215449709,0.49038461538461453,0.8988097994720563,-0.37748633879781857,0.5625,0.30818916672962,62.5,,,False
RETROSPECTIVE_2025,ABS_DD_050R,18,11,0.6111111111111112,5,5,1.0,1.1812865497076126,0.4912280701754424,1.016129032258063,-0.7829457364341174,0.6363636363636364,0.3294930875576051,70.0,,,False
RETROSPECTIVE_2025,FRAC_DD_25PCT,18,16,0.8888888888888888,5,5,1.0,0.7227872225595373,0.4768991382061904,0.8988097994720563,-0.42751257989936625,0.75,0.4075357781753154,70.0,,,False
RETROSPECTIVE_2025,FRAC_DD_50PCT,18,12,0.6666666666666666,5,5,1.0,0.6974948919393382,0.3163444439378079,0.8988097994720563,-0.6281702168798926,0.5833333333333334,0.30818916672962,92.5,,,False
RETROSPECTIVE_2025,TWO_OPPOSITE_CLOSES,18,15,0.8333333333333334,5,5,1.0,0.8086124401913851,0.4912280701754424,0.9300699300699337,-0.4573643410852768,0.5333333333333333,0.3294930875576051,70.0,,,False
RETROSPECTIVE_2025,MICRO_BREAK_3BAR,18,11,0.6111111111111112,5,5,1.0,0.8086124401913851,0.32371794871795134,1.016129032258063,-0.6503496503496485,0.6363636363636364,0.3294930875576051,115.0,,,False
