scope,sessions,k1_qualified,k1_rate,causal_leave,leave_rate,h2,opposite_break_before_h2,ambiguous_h2_vs_opposite,no_h2_by_end,h2_rate,resolved_h2_share,median_minutes_leave_to_h2
POOLED,1095,224,0.2045662100456621,142,0.6339285714285714,108,7,0,27,0.7605633802816901,0.9391304347826087,17.5
Monday,157,21,0.1337579617834395,11,0.5238095238095238,8,0,0,3,0.7272727272727273,1.0,37.5
Tuesday,157,41,0.2611464968152866,21,0.5121951219512195,16,3,0,2,0.7619047619047619,0.8421052631578947,30.0
Wednesday,156,23,0.14743589743589744,16,0.6956521739130435,13,0,0,3,0.8125,1.0,10.0
Thursday,156,39,0.25,29,0.7435897435897436,22,1,0,6,0.7586206896551724,0.9565217391304348,15.0
Friday,156,38,0.24358974358974358,28,0.7368421052631579,22,2,0,4,0.7857142857142857,0.9166666666666666,15.0
Saturday,156,35,0.22435897435897437,19,0.5428571428571428,15,1,0,3,0.7894736842105263,0.9375,15.0
Sunday,157,27,0.17197452229299362,18,0.6666666666666666,12,0,0,6,0.6666666666666666,1.0,20.0
