partition,timeframe,n_episodes,n_uncensored,direct_strong_to_reversal_rate,transition_before_reversal_rate,median_bars_to_reversal,median_bars_first_nonstrong_to_reversal,median_strong_bars,median_healthy_bars,median_weakening_bars,pre_rev_strong_rate,pre_rev_healthy_rate,pre_rev_weakening_rate,median_ret_exit_first_weakening,first_weakening_available_rate,median_ret_exit_reversal,median_mfe_to_reversal,top_paths
august,15m,54,53,0.6415094339622641,0.3584905660377358,9.0,4.0,8.0,0.0,0.0,0.660377358490566,0.33962264150943394,0.0,,0.0,-0.0008303963082229027,0.0017212346243369314,STRONG>REVERSAL:34; STRONG>HEALTHY>REVERSAL:14; STRONG>HEALTHY>STRONG>HEALTHY>REVERSAL:4; STRONG>HEALTHY>STRONG>REVERSAL:1
august,1h,11,10,0.5,0.5,8.5,10.0,8.0,0.5,0.0,0.5,0.5,0.0,,0.0,-0.0012623280159841377,0.007554439998709084,STRONG>REVERSAL:5; STRONG>HEALTHY>STRONG>HEALTHY>REVERSAL:2; STRONG>HEALTHY>REVERSAL:2; STRONG>HEALTHY>STRONG>HEALTHY>STRONG>HEALTHY>STRONG>HEALTHY>REVERSAL:1
august,4h,2,1,0.0,1.0,30.0,21.0,23.0,7.0,0.0,0.0,1.0,0.0,,0.0,-0.0013192735138360945,0.017545249993784262,STRONG>HEALTHY>STRONG>HEALTHY>STRONG>HEALTHY>REVERSAL:1
august,5m,145,144,0.5277777777777778,0.4722222222222222,9.0,4.0,8.0,0.0,0.0,0.6111111111111112,0.3888888888888889,0.0,,0.0,-0.0004965665303012234,0.0012535397014992178,STRONG>REVERSAL:76; STRONG>HEALTHY>REVERSAL:40; STRONG>HEALTHY>STRONG>HEALTHY>REVERSAL:9; STRONG>HEALTHY>STRONG>REVERSAL:9; STRONG>HEALTHY>STRONG>HEALTHY>STRONG>HEALTHY>REVERSAL:5
development,15m,2748,2748,0.6579330422125182,0.3420669577874818,7.0,4.0,6.0,0.0,0.0,0.7070596797671034,0.2929403202328967,0.0,,0.0,-0.0015055501311805886,0.0030823312171263106,STRONG>REVERSAL:1808; STRONG>HEALTHY>REVERSAL:588; STRONG>HEALTHY>STRONG>HEALTHY>REVERSAL:167; STRONG>HEALTHY>STRONG>REVERSAL:112; STRONG>HEALTHY>STRONG>HEALTHY>STRONG>HEALTHY>REVERSAL:40
development,1h,603,603,0.6169154228855721,0.38308457711442784,8.0,6.0,7.0,0.0,0.0,0.6766169154228856,0.32338308457711445,0.0,,0.0,-0.003687973432868641,0.00855502358427862,STRONG>REVERSAL:372; STRONG>HEALTHY>REVERSAL:140; STRONG>HEALTHY>STRONG>HEALTHY>REVERSAL:44; STRONG>HEALTHY>STRONG>REVERSAL:28; STRONG>HEALTHY>STRONG>HEALTHY>STRONG>REVERSAL:7
development,4h,135,135,0.5185185185185185,0.48148148148148145,11.0,5.0,8.0,0.0,0.0,0.5925925925925926,0.4074074074074074,0.0,,0.0,-0.007380205150718799,0.01917177914110435,STRONG>REVERSAL:70; STRONG>HEALTHY>REVERSAL:42; STRONG>HEALTHY>STRONG>REVERSAL:8; STRONG>HEALTHY>STRONG>HEALTHY>STRONG>HEALTHY>REVERSAL:6; STRONG>HEALTHY>STRONG>HEALTHY>REVERSAL:6
development,5m,8628,8628,0.6761706073249885,0.3238293926750116,7.0,3.0,6.0,0.0,0.0,0.7264719517848864,0.27352804821511356,0.0,,0.0,-0.00089143991769014,0.0016369229951481712,STRONG>REVERSAL:5834; STRONG>HEALTHY>REVERSAL:1785; STRONG>HEALTHY>STRONG>HEALTHY>REVERSAL:448; STRONG>HEALTHY>STRONG>REVERSAL:377; STRONG>HEALTHY>STRONG>HEALTHY>STRONG>HEALTHY>REVERSAL:91
external,15m,1822,1822,0.6223929747530187,0.37760702524698136,8.0,4.0,7.0,0.0,0.0,0.6750823271130626,0.32491767288693746,0.0,,0.0,-0.0022214566098502364,0.005199571126293989,STRONG>REVERSAL:1134; STRONG>HEALTHY>REVERSAL:425; STRONG>HEALTHY>STRONG>HEALTHY>REVERSAL:116; STRONG>HEALTHY>STRONG>REVERSAL:87; STRONG>HEALTHY>STRONG>HEALTHY>STRONG>HEALTHY>REVERSAL:37
external,1h,397,397,0.5516372795969773,0.44836272040302266,10.0,5.0,9.0,0.0,0.0,0.6020151133501259,0.3979848866498741,0.0,0.04239512849729188,0.0025188916876574307,-0.00414700378124222,0.012875420814926652,STRONG>REVERSAL:219; STRONG>HEALTHY>REVERSAL:106; STRONG>HEALTHY>STRONG>HEALTHY>REVERSAL:33; STRONG>HEALTHY>STRONG>REVERSAL:17; STRONG>HEALTHY>STRONG>HEALTHY>STRONG>HEALTHY>REVERSAL:11
external,4h,103,103,0.5145631067961165,0.4854368932038835,10.0,10.0,8.0,0.0,0.0,0.6213592233009708,0.36893203883495146,0.009708737864077669,0.18015382385533774,0.019417475728155338,-0.009703071831445476,0.02548932603658227,STRONG>REVERSAL:53; STRONG>HEALTHY>REVERSAL:17; STRONG>HEALTHY>STRONG>HEALTHY>REVERSAL:13; STRONG>HEALTHY>STRONG>REVERSAL:7; STRONG>HEALTHY>STRONG>HEALTHY>STRONG>HEALTHY>REVERSAL:7
external,5m,5731,5731,0.6491013784679811,0.35089862153201884,7.0,4.0,7.0,0.0,0.0,0.7045890769499215,0.29541092305007854,0.0,,0.0,-0.0012500289103603013,0.002475047046002654,STRONG>REVERSAL:3720; STRONG>HEALTHY>REVERSAL:1223; STRONG>HEALTHY>STRONG>HEALTHY>REVERSAL:334; STRONG>HEALTHY>STRONG>REVERSAL:271; STRONG>HEALTHY>STRONG>HEALTHY>STRONG>HEALTHY>REVERSAL:105
reference_validation,15m,1389,1389,0.6400287976961843,0.3599712023038157,8.0,4.0,7.0,0.0,0.0,0.6897048236141109,0.3102951763858891,0.0,,0.0,-0.0013492765086308145,0.002905704610575821,STRONG>REVERSAL:889; STRONG>HEALTHY>REVERSAL:310; STRONG>HEALTHY>STRONG>HEALTHY>REVERSAL:85; STRONG>HEALTHY>STRONG>REVERSAL:56; STRONG>HEALTHY>STRONG>HEALTHY>STRONG>HEALTHY>REVERSAL:24
reference_validation,1h,319,319,0.6300940438871473,0.36990595611285265,8.0,5.0,8.0,0.0,0.0,0.670846394984326,0.329153605015674,0.0,,0.0,-0.0038596471812124555,0.006741122024933821,STRONG>REVERSAL:201; STRONG>HEALTHY>REVERSAL:74; STRONG>HEALTHY>STRONG>HEALTHY>REVERSAL:22; STRONG>HEALTHY>STRONG>REVERSAL:12; STRONG>HEALTHY>STRONG>HEALTHY>STRONG>HEALTHY>REVERSAL:6
reference_validation,4h,82,82,0.6097560975609756,0.3902439024390244,7.0,3.0,5.5,0.0,0.0,0.6463414634146342,0.35365853658536583,0.0,,0.0,-0.008487130812108834,0.013290282963617117,STRONG>REVERSAL:50; STRONG>HEALTHY>REVERSAL:25; STRONG>HEALTHY>STRONG>HEALTHY>STRONG>HEALTHY>REVERSAL:3; STRONG>HEALTHY>STRONG>REVERSAL:3; STRONG>HEALTHY>STRONG>HEALTHY>STRONG>HEALTHY>STRONG>HEALTHY>REVERSAL:1
reference_validation,5m,4256,4255,0.6340775558166862,0.36592244418331377,8.0,4.0,7.0,0.0,0.0,0.6893066980023502,0.31069330199764983,0.0,,0.0,-0.0007696209819806343,0.0015647960904874303,STRONG>REVERSAL:2698; STRONG>HEALTHY>REVERSAL:944; STRONG>HEALTHY>STRONG>HEALTHY>REVERSAL:270; STRONG>HEALTHY>STRONG>REVERSAL:197; STRONG>HEALTHY>STRONG>HEALTHY>STRONG>HEALTHY>REVERSAL:83
