regime,eligible,resolved,resolved_rate,pos_first,neg_first,ambiguous,unresolved,pos_share_resolved,aligned_hit_rate,ambiguous_share,median_ret_6h,median_ret_12h,median_ret_24h,median_mfe_24h,median_mae_24h,median_confidence,transition_share
BULL,3750,3725,0.9933333333333333,1798,1927,4,21,0.48268456375838925,0.48268456375838925,0.0010666666666666667,-0.00016291030433107645,-0.00012420431621984473,0.001467495912714778,0.029234187574954773,0.02840131725659245,0.7213558960337587,0.455077086656034
BEAR,3815,3801,0.9963302752293578,1919,1882,4,10,0.5048671402262562,0.49513285977374377,0.0010484927916120576,0.0015771265771267196,0.002017220172201739,0.0026908369919274033,0.02665028587629359,0.027734246874886126,0.5004985713718022,0.5016984583224458
SIDEWAYS,9954,9925,0.9970865983524211,4892,5033,5,24,0.49289672544080604,,0.0005023106288929073,0.0001827426612052152,0.00027544581674854296,-0.00017006023633053813,0.02692033396164417,0.026185774882145352,0.43265297712937245,0.5963431786216596
