window,lookback_min,hold_min,n,wr,net,exp,pf,dd,max_loss_streak,pre_ret_60_median,pre_ret_240_median,rv_60_median,rv_240_median,atr_pct_60_median,atr_pct_240_median,trend_eff_240_median,disp_60_median,disp_240_median,fwd_ret_60_median,fwd_ret_120_median
Q1_JAN_MAR,120,240,18,0.7222222222222222,33.659440079827036,1.8699688933237242,2.4926324178345944,10.261584379422441,2,-0.009599735007075061,-0.007897480263657053,0.008211303997691991,0.02539060199813254,0.004227157064525733,0.0053450166638367045,0.08007187848428984,1.0924373242897372,0.4166846225009312,0.0018784929696427088,0.001823849329747107
Q1_JAN_MAR,180,240,16,0.875,61.926655782954505,3.8704159864346566,81.25715203196675,0.5037960896396125,1,-0.0037531878642724226,-0.01581036263097263,0.006414798453201774,0.01647664262393164,0.0033898530195702213,0.00393398842761664,0.19183975055383257,0.6494899082792955,0.9647608273917982,0.002642750978709474,0.0032553446952496845
Q1_JAN_MAR,240,240,18,0.6666666666666666,48.90713054666443,2.717062808148024,9.715831686283945,1.8814766014557085,1,-0.0018502504340502934,-0.017698440542037563,0.006497106860122602,0.01644083551080118,0.0031359001946697964,0.0037890156810691323,0.21833180800978297,0.6891473270286212,1.1185933768975376,0.00237882659951294,0.0023284205413399706
Q1_JAN_MAR,180,360,16,0.75,42.68782657617271,2.6679891610107944,4.1576882372821835,5.81499829802264,1,-0.0037531878642724226,-0.01581036263097263,0.006414798453201774,0.01647664262393164,0.0033898530195702213,0.00393398842761664,0.19183975055383257,0.6494899082792955,0.9647608273917982,0.002642750978709474,0.0032553446952496845
Q1_JAN_MAR,240,360,18,0.6666666666666666,31.738690103393424,1.7632605612996346,1.919894586446609,10.170776702538525,1,-0.0018502504340502934,-0.017698440542037563,0.006497106860122602,0.01644083551080118,0.0031359001946697964,0.0037890156810691323,0.21833180800978297,0.6891473270286212,1.1185933768975376,0.00237882659951294,0.0023284205413399706
Q2_APR_JUN,120,240,18,0.3333333333333333,-40.763735990720974,-2.2646519994844985,0.24170813083770368,42.75688687058721,5,-0.004460455455576995,-0.01164670765469028,0.004950376151778759,0.013465077685729208,0.002184019282547291,0.0027613688838340465,0.18294613323845496,0.8952705331241514,0.8690977226988741,0.0006204400072233884,1.595496994261092e-05
Q2_APR_JUN,180,240,25,0.36,-38.908081060965515,-1.5563232424386206,0.4507798264598873,51.54805990250486,5,-0.0030501203306477764,-0.012288650794475497,0.004918439682156689,0.013528393389472131,0.0021420840777363645,0.002761914799120533,0.18705110622241466,0.7732897779325054,0.8769914309676664,-6.416996154734456e-05,0.00012319122120407755
Q2_APR_JUN,240,240,24,0.2916666666666667,-56.69748998358734,-2.362395415982806,0.28269928537571,61.036592403929966,5,-0.002107991915616003,-0.01335271412308009,0.00405732203211689,0.013465077685729208,0.002038826509534361,0.00270271486534737,0.2178391445338154,0.7354302010282001,1.0577753924522322,-0.0015302731185748986,-0.0006128741822459816
Q2_APR_JUN,180,360,25,0.28,-75.47981932557504,-3.0191927730230015,0.1688935016749946,79.0599996768801,5,-0.0030501203306477764,-0.012288650794475497,0.004918439682156689,0.013528393389472131,0.0021420840777363645,0.002761914799120533,0.18705110622241466,0.7732897779325054,0.8769914309676664,-6.416996154734456e-05,0.00012319122120407755
Q2_APR_JUN,240,360,24,0.20833333333333334,-90.12355599014666,-3.755148166256111,0.09698989938889488,90.12355599014667,8,-0.002107991915616003,-0.01335271412308009,0.00405732203211689,0.013465077685729208,0.002038826509534361,0.00270271486534737,0.2178391445338154,0.7354302010282001,1.0577753924522322,-0.0015302731185748986,-0.0006128741822459816
Q3_JUL_AUG,120,240,6,0.8333333333333334,19.77264161903584,3.295440269839307,4.7146099880496015,5.322938796440834,1,-0.0035933587036606207,-0.007569765659166394,0.00571914209653356,0.013870909300555454,0.0024166103080367415,0.003365259228158314,0.10859394099836009,0.6781703763440384,0.5859676246428007,0.005532576466245165,0.008762827450653377
Q3_JUL_AUG,180,240,8,0.625,10.620917016584908,1.3276146270731135,2.127309427692497,5.322938796440833,1,-0.002384166376328878,-0.009364843469830686,0.0055237241072636206,0.013920519119164337,0.0024106883504488377,0.003422532335528,0.14186373822098167,0.5107062350936531,0.7497901427264299,0.003335799326838418,0.00485061756855365
Q3_JUL_AUG,240,240,5,0.6,7.968508045103602,1.5937016090207203,2.0396075639488,5.322938796440833,1,-0.004644223326565222,-0.012613235363142516,0.004640506829666261,0.01100500763053849,0.002087458084304781,0.002381563119647215,0.27078445656899547,0.8369152787148783,1.391715916666257,-0.0012384040349455727,0.0032969022048303653
Q3_JUL_AUG,180,360,8,0.625,9.278159300547264,1.159769912568408,1.490534204368673,8.15476978203449,1,-0.002384166376328878,-0.009364843469830686,0.0055237241072636206,0.013920519119164337,0.0024106883504488377,0.003422532335528,0.14186373822098167,0.5107062350936531,0.7497901427264299,0.003335799326838418,0.00485061756855365
Q3_JUL_AUG,240,360,5,0.4,1.0608334452125838,0.21216668904251676,1.093712416376149,5.756846729066755,2,-0.004644223326565222,-0.012613235363142516,0.004640506829666261,0.01100500763053849,0.002087458084304781,0.002381563119647215,0.27078445656899547,0.8369152787148783,1.391715916666257,-0.0012384040349455727,0.0032969022048303653
