rule,weeks,n,coverage,tp,sl,time,wr,exp,pf,max_ls,wilson,eligible,wr_sort,pf_sort,rank
W1_VAH|AQ10_NIR1|RAW,156,68,0.4358974358974359,41,27,0,0.6029411764705882,0.002058823529411827,1.5185185185185373,3,0.4841583838253139,1,0.6029411764705882,1.5185185185185373,1
W1_VAH|AQ10_NIR2|RAW,156,63,0.40384615384615385,35,28,0,0.5555555555555556,0.0011111111111111746,1.2500000000000158,5,0.43319420640871287,1,0.5555555555555556,1.2500000000000158,2
W1_VAH|AQ25_NIR1|RAW,156,61,0.391025641025641,34,27,0,0.5573770491803278,0.0011475409836066153,1.2592592592592737,3,0.433031467004555,1,0.5573770491803278,1.2592592592592737,3
PDH|FAILED_AUCTION|FLOW,156,42,0.2692307692307692,24,17,1,0.5714285714285714,0.00162967865245185,1.3989805207162778,3,0.4220597791187447,1,0.5714285714285714,1.3989805207162778,4
PDL|FAILED_AUCTION|RAW,156,70,0.44871794871794873,37,31,2,0.5285714285714286,0.0007766940613046768,1.1720398787716613,4,0.4132168390581603,1,0.5285714285714286,1.1720398787716613,5
PDL|FAILED_AUCTION|FLOW,156,35,0.22435897435897437,20,14,1,0.5714285714285714,0.0015421957348309868,1.3696458471474602,3,0.4085712925897337,1,0.5714285714285714,1.3696458471474602,6
W1_VAH|AQ25_NIR1|PERSIST,156,36,0.23076923076923078,20,16,0,0.5555555555555556,0.0011111111111111692,1.2500000000000142,4,0.39580787316003413,1,0.5555555555555556,1.2500000000000142,7
W1_VAH|AQ10_NIR2|PERSIST,156,51,0.3269230769230769,27,24,0,0.5294117647058824,0.0005882352941177063,1.1250000000000135,3,0.39523071344726596,1,0.5294117647058824,1.1250000000000135,8
W1_VAH|AQ10_NIR1|PERSIST,156,41,0.26282051282051283,22,19,0,0.5365853658536586,0.0007317073170732282,1.1578947368421184,4,0.38746215345974366,1,0.5365853658536586,1.1578947368421184,9
PDH|FAILED_AUCTION|RAW,156,70,0.44871794871794873,29,39,2,0.4142857142857143,-0.00149821367519606,0.7344097027817291,6,0.30629997924814173,1,0.4142857142857143,0.7344097027817291,10
PWL|FAILED_AUCTION|RAW,156,12,0.07692307692307693,8,4,0,0.6666666666666666,0.003333333333333384,2.0000000000000173,1,0.3906175873976139,0,0.6666666666666666,2.0000000000000173,11
PWL|FAILED_AUCTION|FLOW,156,5,0.03205128205128205,3,2,0,0.6,0.002000000000000059,1.5000000000000173,2,0.23071993220883702,0,0.6,1.5000000000000173,12
PWH|FAILED_AUCTION|RAW,156,16,0.10256410256410256,6,10,0,0.375,-0.0024999999999999797,0.6000000000000013,3,0.18480982554752803,0,0.375,0.6000000000000013,13
PWH|FAILED_AUCTION|FLOW,156,13,0.08333333333333333,5,8,0,0.38461538461538464,-0.0023076923076922867,0.6250000000000016,2,0.17709446581236818,0,0.38461538461538464,0.6250000000000016,14
