family,lookback_min,state_bin,hold_min,year,N,WR,net,exp,PF,DD,LS
TREND,15,LOW,60,2022,122,45.08196721311475,-44.60229274993752,-0.36559256352407804,0.8121013946865406,91.83314725885847,7
TREND,15,LOW,60,2023,113,30.08849557522124,-99.62766608260938,-0.8816607617930033,0.369732405100798,100.13169222372971,10
TREND,15,LOW,60,2024,136,44.85294117647059,-72.41108883094296,-0.53243447669811,0.668516314686257,97.05391853029826,10
TREND,15,LOW,120,2022,122,36.885245901639344,-130.08077212849057,-1.0662358371187752,0.6082081447259394,160.52602906522992,8
TREND,15,LOW,120,2023,113,33.6283185840708,-128.80670087617008,-1.1398823086386733,0.40151738666915765,143.90865295159102,7
TREND,15,LOW,120,2024,136,55.14705882352941,-37.11928999540232,-0.27293595584854646,0.8598923361963572,85.05644231187378,4
TREND,15,LOW,240,2022,122,41.80327868852459,-229.24614824154364,-1.8790667888651118,0.559157741749066,246.75391182059727,8
TREND,15,LOW,240,2023,113,40.707964601769916,-85.20655745325743,-0.754040331444756,0.6754617390793569,156.62686513377855,6
TREND,15,LOW,240,2024,136,55.88235294117647,-82.56478082570999,-0.6070939766596323,0.8021569635681002,159.3363717127696,5
TREND,15,LOW,360,2022,122,40.16393442622951,-404.7771155964936,-3.3178452098073246,0.43639242744308654,429.2626543564632,7
TREND,15,LOW,360,2023,113,40.707964601769916,-107.57171731124167,-0.9519621000994838,0.6504019554154482,156.40241378779695,7
TREND,15,LOW,360,2024,136,56.61764705882353,-42.042192013735914,-0.3091337648068817,0.9027106428093573,129.61757342892855,4
TREND,15,LOW,720,2022,122,36.0655737704918,-523.6302731503953,-4.292051419265535,0.4070415684362534,563.2281140772005,7
TREND,15,LOW,720,2023,113,39.823008849557525,-29.33291746359474,-0.25958334038579417,0.9193742899322028,141.80516948361253,6
TREND,15,LOW,720,2024,135,58.51851851851851,-35.59032188635726,-0.2636320139730167,0.941508667149589,267.4395532501335,5
TREND,15,LOW,960,2022,122,45.90163934426229,-437.48485174556174,-3.5859414077505063,0.5212041347054903,499.6639593131496,8
TREND,15,LOW,960,2023,113,40.707964601769916,-70.81733295650972,-0.6267020615620329,0.8212698870300832,184.3183698901839,6
TREND,15,LOW,960,2024,135,53.333333333333336,78.55070447514476,0.5818570701862574,1.1401399497693927,197.6948725425504,7
TREND,15,MID,60,2022,121,31.40495867768595,-120.33312251751647,-0.9944886158472436,0.451791055642268,120.33312251751653,16
TREND,15,MID,60,2023,168,27.976190476190478,-104.51388666922395,-0.6221064682691901,0.45047667112349643,122.57106497426771,13
TREND,15,MID,60,2024,130,29.230769230769234,-90.3794652956986,-0.6952266561207584,0.5459563738902858,106.00296917626034,9
TREND,15,MID,120,2022,121,32.231404958677686,-164.0155928796399,-1.35550076760033,0.4297894699519633,164.01559287963994,7
TREND,15,MID,120,2023,168,39.88095238095239,-59.710689644898274,-0.35542077169582303,0.7608676449801312,130.4457680788428,7
TREND,15,MID,120,2024,130,36.92307692307693,-81.41249076480668,-0.6262499289600514,0.6498666182280985,96.77656056199146,10
TREND,15,MID,240,2022,121,35.53719008264463,-203.76121134661474,-1.6839769532778077,0.5178292403248297,205.00477836787817,9
TREND,15,MID,240,2023,168,44.642857142857146,-55.832693457737605,-0.3323374610579619,0.8258928688724152,135.36640677722065,8
TREND,15,MID,240,2024,130,41.53846153846154,-49.77356448026955,-0.3828735729251504,0.8478979530192092,90.29782481334823,6
TREND,15,MID,360,2022,121,38.01652892561984,-120.78475170922448,-0.9982210885059875,0.7211281019320103,141.12907657876727,9
TREND,15,MID,360,2023,168,43.452380952380956,-69.29244641594596,-0.4124550381901545,0.8064702783775216,172.348955358546,7
TREND,15,MID,360,2024,130,39.23076923076923,1.018938682995369,0.007837989869195146,1.002858032920349,137.7916322861743,7
TREND,15,MID,720,2022,121,39.66942148760331,-336.2751926289582,-2.77913382337982,0.5605279606624581,372.976012374124,7
TREND,15,MID,720,2023,168,45.23809523809524,33.334260143390864,0.19841821513923133,1.0818743994513345,88.08284339980966,7
TREND,15,MID,720,2024,130,47.69230769230769,79.4168128861138,0.6108985606624139,1.1737462462094141,113.79731453132592,5
TREND,15,MID,960,2022,121,43.80165289256198,-270.55408213792356,-2.2359841499001947,0.6591022806731818,313.83213766606394,6
TREND,15,MID,960,2023,168,45.23809523809524,35.436525202789326,0.21093169763565076,1.0809590288380293,94.29150191636559,9
TREND,15,MID,960,2024,130,48.46153846153846,35.00495226790122,0.2692688635992401,1.0672892108813217,143.01661325379422,4
TREND,15,HIGH,60,2022,122,36.885245901639344,-113.6060526109093,-0.9311971525484369,0.6560925535601552,161.3827931258581,6
TREND,15,HIGH,60,2023,84,35.714285714285715,-66.71180806077125,-0.7941881911996577,0.4840172719398694,66.71180806077126,5
TREND,15,HIGH,60,2024,100,35.0,-94.45795411039347,-0.9445795411039347,0.517348204314616,96.46762763096532,10
TREND,15,HIGH,120,2022,122,40.16393442622951,-164.95034256741198,-1.3520519882574753,0.6218384198135085,203.34295538580935,7
TREND,15,HIGH,120,2023,84,44.047619047619044,-2.3473914528557285,-0.027945136343520575,0.9792654532296229,39.957770691215,5
TREND,15,HIGH,120,2024,100,41.0,-81.57614479972841,-0.8157614479972841,0.6375178518418546,100.95603608074798,9
TREND,15,HIGH,240,2022,122,51.63934426229508,-56.7345617989127,-0.4650373917943664,0.8954825400804132,152.2048074123981,8
TREND,15,HIGH,240,2023,84,53.57142857142857,34.27748232411457,0.40806526576326874,1.1979360973126936,39.33655958494675,5
TREND,15,HIGH,240,2024,100,42.0,-159.64390512411617,-1.5964390512411617,0.5057000174013896,174.13208350927968,8
TREND,15,HIGH,360,2022,122,50.0,85.51656905021026,0.7009554840181169,1.1544087527570859,128.95433095874324,9
TREND,15,HIGH,360,2023,84,47.61904761904761,-3.0879583921561533,-0.036761409430430395,0.988196015517206,65.48065406467585,6
TREND,15,HIGH,360,2024,100,48.0,-80.13800826357664,-0.8013800826357663,0.751922176148451,116.74879901149441,9
TREND,15,HIGH,720,2022,122,52.459016393442624,77.81444344728436,0.6378233069449538,1.0997677428850405,126.65009839699619,5
TREND,15,HIGH,720,2023,84,46.42857142857143,109.01795273201344,1.2978327706192077,1.358807049715414,65.85429515394847,6
TREND,15,HIGH,720,2024,100,44.0,-26.925367374150238,-0.2692536737415024,0.9320959397949398,123.52628504981067,5
TREND,15,HIGH,960,2022,122,54.91803278688525,18.68718508943094,0.1531736482740241,1.0205143138030424,142.91285408106518,5
TREND,15,HIGH,960,2023,84,50.0,126.928534080409,1.511053977147726,1.4390834060830018,59.09067051146198,6
TREND,15,HIGH,960,2024,100,45.0,6.3989047631152,0.063989047631152,1.0154602680107268,120.49210960569893,6
TREND,30,LOW,60,2022,122,40.16393442622951,-97.32463303628373,-0.7977428937400306,0.6254547023142331,123.22919164201646,10
TREND,30,LOW,60,2023,91,28.57142857142857,-93.91152662534422,-1.0319947980807058,0.31791824317441497,96.32277250590677,11
TREND,30,LOW,60,2024,117,45.2991452991453,-42.7551040463467,-0.365428239712365,0.7700561503281221,74.80522925866538,10
TREND,30,LOW,120,2022,122,35.24590163934426,-175.476279791982,-1.4383301622293607,0.5003802081038745,203.48310333434813,7
TREND,30,LOW,120,2023,91,31.868131868131865,-104.56687002525352,-1.1490864837939947,0.40894348065346364,112.45725434023882,8
TREND,30,LOW,120,2024,117,52.13675213675214,-67.38240757490345,-0.5759180134607133,0.7206604921484866,89.70937438116135,7
TREND,30,LOW,240,2022,122,40.16393442622951,-261.0576345564002,-2.139816676691805,0.5148789419866291,277.32643355169455,10
TREND,30,LOW,240,2023,91,41.75824175824176,-99.78135411920789,-1.0964983969143725,0.6048053241992716,136.1619178497372,8
TREND,30,LOW,240,2024,117,54.700854700854705,-67.04932756192811,-0.5730711757429753,0.803884638919424,133.45874600951691,5
TREND,30,LOW,360,2022,122,41.80327868852459,-268.6381762665285,-2.2019522644797416,0.5521607276198058,287.48819475842,11
TREND,30,LOW,360,2023,91,36.26373626373626,-184.5325257737436,-2.027829953557622,0.454654897229548,212.024573579875,8
TREND,30,LOW,360,2024,117,52.991452991452995,-88.97159372035415,-0.7604409719688389,0.7955697896859395,126.91522024394874,3
TREND,30,LOW,720,2022,122,38.52459016393443,-351.74418906347336,-2.8831490906842077,0.5446524499781862,411.47943795321487,8
TREND,30,LOW,720,2023,91,37.362637362637365,-115.27652618377684,-1.2667750130085367,0.6578721632239747,181.80537301952512,7
TREND,30,LOW,720,2024,116,57.758620689655174,15.409417452466784,0.13283980562471365,1.0299213120642645,190.75352231741948,4
TREND,30,LOW,960,2022,122,48.36065573770492,-264.76155382630225,-2.1701766707073955,0.6686758913291804,344.7519270372029,7
TREND,30,LOW,960,2023,91,37.362637362637365,-133.26875639636694,-1.4644918285315047,0.6272261304216028,207.57034842035623,7
TREND,30,LOW,960,2024,116,54.310344827586206,73.14963397855519,0.6306002929185792,1.1376341458093304,192.52930387386328,5
TREND,30,MID,60,2022,121,35.53719008264463,-71.80663791058711,-0.5934432885172489,0.66678010352615,104.19310227265102,11
TREND,30,MID,60,2023,193,30.05181347150259,-108.24171019283958,-0.5608378766468372,0.5005334733826426,110.04163564013321,14
TREND,30,MID,60,2024,141,33.33333333333333,-137.4863766253123,-0.9750806852859027,0.43095020569024645,138.9803915260797,11
TREND,30,MID,120,2022,121,33.88429752066116,-126.72973680154037,-1.0473531967069452,0.5707682385745322,132.52187184104955,9
