rule,week,week_start,breakout_ts,accept_ts,signal_ts,signal_i,side,level,instance,accept_closes,body_required,entry_ts,exit_ts,entry,tp,sl,reason,net_ret,hours,partition,selector
A1_HOLD,2022-W05,2022-01-31 00:00:00+00:00,2022-01-31 16:00:00+00:00,2022-01-31 17:00:00+00:00,2022-02-01 10:00:00+00:00,18298,LONG,38006.80395833333,2022-01-24T00:00:00+00:00,1,False,2022-02-01 11:00:00+00:00,2022-02-01 12:00:00+00:00,38231.36,38671.02064,37906.39344,TP,0.010000000000000066,2,development,PRIMARY_RULE
A1_HOLD,2022-W07,2022-02-14 00:00:00+00:00,2022-02-15 10:00:00+00:00,2022-02-15 11:00:00+00:00,2022-02-15 12:00:00+00:00,18636,LONG,44142.44791666667,2022-02-07T00:00:00+00:00,1,False,2022-02-15 13:00:00+00:00,2022-02-15 23:00:00+00:00,44161.9,44669.76185,43786.523850000005,TP,0.010000000000000066,11,development,PRIMARY_RULE
A1_HOLD,2022-W09,2022-02-28 00:00:00+00:00,2022-02-28 14:00:00+00:00,2022-02-28 15:00:00+00:00,2022-03-04 20:00:00+00:00,19052,LONG,39290.337499999994,2022-02-21T00:00:00+00:00,1,False,2022-03-04 21:00:00+00:00,2022-03-04 22:00:00+00:00,39457.5,39911.26125,39122.11125,SL,-0.009999999999999952,2,development,PRIMARY_RULE
A1_HOLD,2022-W12,2022-03-21 00:00:00+00:00,2022-03-22 03:00:00+00:00,2022-03-22 04:00:00+00:00,2022-03-22 06:00:00+00:00,19470,LONG,42138.81875,2022-03-14T00:00:00+00:00,1,False,2022-03-22 07:00:00+00:00,2022-03-22 10:00:00+00:00,42240.1,42725.861150000004,41881.05915,TP,0.010000000000000066,4,development,PRIMARY_RULE
A1_HOLD,2022-W13,2022-03-28 00:00:00+00:00,2022-04-01 07:00:00+00:00,2022-04-01 08:00:00+00:00,2022-04-01 09:00:00+00:00,19713,LONG,44979.1875,2022-03-21T00:00:00+00:00,1,False,2022-04-01 10:00:00+00:00,2022-04-01 14:00:00+00:00,45062.7,45580.92105,44679.66705,TP,0.010000000000000066,5,development,PRIMARY_RULE
A1_HOLD,2022-W16,2022-04-18 00:00:00+00:00,2022-04-18 18:00:00+00:00,2022-04-18 19:00:00+00:00,2022-04-19 07:00:00+00:00,20143,LONG,40564.350000000006,2022-04-11T00:00:00+00:00,1,False,2022-04-19 08:00:00+00:00,2022-04-19 13:00:00+00:00,40671.6,41139.3234,40325.8914,TP,0.010000000000000066,6,development,PRIMARY_RULE
A1_HOLD,2022-W18,2022-05-02 00:00:00+00:00,2022-05-04 18:00:00+00:00,2022-05-04 19:00:00+00:00,2022-05-05 08:00:00+00:00,20528,LONG,39434.375,2022-04-25T00:00:00+00:00,1,False,2022-05-05 09:00:00+00:00,2022-05-05 13:00:00+00:00,39484.9,39938.976350000004,39149.27835,SL,-0.010000000000000063,5,development,PRIMARY_RULE
A1_HOLD,2022-W30,2022-07-25 00:00:00+00:00,2022-07-28 15:00:00+00:00,2022-07-28 16:00:00+00:00,2022-07-29 11:00:00+00:00,22571,LONG,23618.387499999997,2022-07-18T00:00:00+00:00,1,False,2022-07-29 12:00:00+00:00,2022-07-29 12:00:00+00:00,23717.2,23989.9478,23515.6038,SL,-0.009999999999999952,1,development,PRIMARY_RULE
A1_HOLD,2022-W33,2022-08-15 00:00:00+00:00,2022-08-15 02:00:00+00:00,2022-08-15 03:00:00+00:00,2022-08-15 04:00:00+00:00,22972,LONG,24706.6875,2022-08-08T00:00:00+00:00,1,False,2022-08-15 05:00:00+00:00,2022-08-15 06:00:00+00:00,24839.8,25125.457700000003,24628.6617,SL,-0.009999999999999952,2,development,PRIMARY_RULE
A1_HOLD,2022-W40,2022-10-03 00:00:00+00:00,2022-10-03 17:00:00+00:00,2022-10-03 18:00:00+00:00,2022-10-03 19:00:00+00:00,24163,LONG,19537.1875,2022-09-26T00:00:00+00:00,1,False,2022-10-03 20:00:00+00:00,2022-10-04 06:00:00+00:00,19537.8,19762.4847,19371.7287,TP,0.010000000000000066,11,development,PRIMARY_RULE
A1_HOLD,2022-W42,2022-10-17 00:00:00+00:00,2022-10-17 11:00:00+00:00,2022-10-17 12:00:00+00:00,2022-10-18 14:00:00+00:00,24518,LONG,19398.081250000003,2022-10-10T00:00:00+00:00,1,False,2022-10-18 15:00:00+00:00,2022-10-18 18:00:00+00:00,19409.4,19632.6081,19244.420100000003,SL,-0.009999999999999952,4,development,PRIMARY_RULE
A1_HOLD,2022-W52,2022-12-26 00:00:00+00:00,2022-12-26 02:00:00+00:00,2022-12-26 03:00:00+00:00,2022-12-26 04:00:00+00:00,26164,LONG,16857.191666666666,2022-12-19T00:00:00+00:00,1,False,2022-12-26 05:00:00+00:00,2022-12-27 14:00:00+00:00,16869.6,17063.6004,16726.2084,SL,-0.009999999999999952,34,development,PRIMARY_RULE
A1_HOLD,2023-W01,2023-01-02 00:00:00+00:00,2023-01-02 07:00:00+00:00,2023-01-02 08:00:00+00:00,2023-01-02 13:00:00+00:00,26341,LONG,16684.5,2022-12-26T00:00:00+00:00,1,False,2023-01-02 14:00:00+00:00,2023-01-04 04:00:00+00:00,16687.7,16879.60855,16545.85455,TP,0.010000000000000066,39,development,PRIMARY_RULE
A1_HOLD,2023-W03,2023-01-16 00:00:00+00:00,2023-01-16 01:00:00+00:00,2023-01-16 02:00:00+00:00,2023-01-16 03:00:00+00:00,26667,LONG,21080.895833333336,2023-01-09T00:00:00+00:00,1,False,2023-01-16 04:00:00+00:00,2023-01-16 08:00:00+00:00,21084.3,21326.76945,20905.083450000002,SL,-0.00999999999999984,5,development,PRIMARY_RULE
A1_HOLD,2023-W13,2023-03-27 00:00:00+00:00,2023-03-29 08:00:00+00:00,2023-03-29 09:00:00+00:00,2023-03-29 10:00:00+00:00,28402,LONG,28260.520833333336,2023-03-20T00:00:00+00:00,1,False,2023-03-29 11:00:00+00:00,2023-03-29 16:00:00+00:00,28371.5,28697.77225,28130.34225,SL,-0.009999999999999952,6,development,PRIMARY_RULE
A1_HOLD,2023-W25,2023-06-19 00:00:00+00:00,2023-06-19 20:00:00+00:00,2023-06-19 21:00:00+00:00,2023-06-20 14:00:00+00:00,30398,LONG,26678.854166666664,2023-06-12T00:00:00+00:00,1,False,2023-06-20 15:00:00+00:00,2023-06-20 15:00:00+00:00,26763.8,27071.5837,26536.3077,TP,0.010000000000000066,1,development,PRIMARY_RULE
A1_HOLD,2023-W31,2023-07-31 00:00:00+00:00,2023-07-31 00:00:00+00:00,2023-07-31 01:00:00+00:00,2023-07-31 04:00:00+00:00,31372,LONG,29381.99375,2023-07-24T00:00:00+00:00,1,False,2023-07-31 05:00:00+00:00,2023-07-31 17:00:00+00:00,29389.0,29726.973500000004,29139.1935,SL,-0.009999999999999952,13,development,PRIMARY_RULE
A1_HOLD,2023-W35,2023-08-28 00:00:00+00:00,2023-08-29 14:00:00+00:00,2023-08-29 15:00:00+00:00,2023-08-31 17:00:00+00:00,32129,LONG,26138.375,2023-08-21T00:00:00+00:00,1,False,2023-08-31 18:00:00+00:00,2023-08-31 19:00:00+00:00,26319.3,26621.97195,26095.58595,SL,-0.009999999999999952,2,development,PRIMARY_RULE
A1_HOLD,2023-W38,2023-09-18 00:00:00+00:00,2023-09-18 07:00:00+00:00,2023-09-18 08:00:00+00:00,2023-09-18 17:00:00+00:00,32561,LONG,26681.458333333336,2023-09-11T00:00:00+00:00,1,False,2023-09-18 18:00:00+00:00,2023-09-19 08:00:00+00:00,26747.8,27055.3997,26520.4437,TP,0.010000000000000066,15,development,PRIMARY_RULE
A1_HOLD,2023-W44,2023-10-30 00:00:00+00:00,2023-11-01 20:00:00+00:00,2023-11-01 21:00:00+00:00,2023-11-02 13:00:00+00:00,33637,LONG,34835.80625,2023-10-23T00:00:00+00:00,1,False,2023-11-02 14:00:00+00:00,2023-11-02 15:00:00+00:00,34931.5,35333.212250000004,34634.58225,SL,-0.010000000000000063,2,development,PRIMARY_RULE
A1_HOLD,2023-W45,2023-11-06 00:00:00+00:00,2023-11-06 07:00:00+00:00,2023-11-06 08:00:00+00:00,2023-11-06 18:00:00+00:00,33738,LONG,34884.40625,2023-10-30T00:00:00+00:00,1,False,2023-11-06 19:00:00+00:00,2023-11-07 10:00:00+00:00,34966.9,35369.01935,34669.681350000006,SL,-0.00999999999999984,16,development,PRIMARY_RULE
A1_HOLD,2023-W48,2023-11-27 00:00:00+00:00,2023-11-28 16:00:00+00:00,2023-11-28 17:00:00+00:00,2023-11-28 23:00:00+00:00,34271,LONG,37780.05625,2023-11-20T00:00:00+00:00,1,False,2023-11-29 00:00:00+00:00,2023-11-29 08:00:00+00:00,37812.0,38246.838,37490.598000000005,TP,0.010000000000000066,9,development,PRIMARY_RULE
A1_HOLD,2023-W51,2023-12-18 00:00:00+00:00,2023-12-19 01:00:00+00:00,2023-12-19 02:00:00+00:00,2023-12-19 06:00:00+00:00,34758,LONG,42857.01875,2023-12-11T00:00:00+00:00,1,False,2023-12-19 07:00:00+00:00,2023-12-19 14:00:00+00:00,42936.2,43429.9663,42571.2423,SL,-0.009999999999999952,8,development,PRIMARY_RULE
A1_HOLD,2024-W02,2024-01-08 00:00:00+00:00,2024-01-08 11:00:00+00:00,2024-01-08 12:00:00+00:00,2024-01-09 21:00:00+00:00,35277,LONG,44428.72916666667,2024-01-01T00:00:00+00:00,1,False,2024-01-09 22:00:00+00:00,2024-01-09 22:00:00+00:00,45450.1,45972.776150000005,45063.77415,TP,0.010000000000000066,1,development,PRIMARY_RULE
A1_HOLD,2024-W10,2024-03-04 00:00:00+00:00,2024-03-04 00:00:00+00:00,2024-03-04 01:00:00+00:00,2024-03-04 02:00:00+00:00,36578,LONG,63463.90625,2024-02-26T00:00:00+00:00,1,False,2024-03-04 03:00:00+00:00,2024-03-04 08:00:00+00:00,63744.9,64477.96635,63203.06835,TP,0.010000000000000066,6,development,PRIMARY_RULE
A1_HOLD,2024-W11,2024-03-11 00:00:00+00:00,2024-03-11 06:00:00+00:00,2024-03-11 07:00:00+00:00,2024-03-12 17:00:00+00:00,36785,LONG,68694.725,2024-03-04T00:00:00+00:00,1,False,2024-03-12 18:00:00+00:00,2024-03-12 18:00:00+00:00,71161.2,71979.55380000001,70556.3298,SL,-0.00999999999999984,1,development,PRIMARY_RULE
A1_HOLD,2024-W15,2024-04-08 00:00:00+00:00,2024-04-08 07:00:00+00:00,2024-04-08 08:00:00+00:00,2024-04-09 08:00:00+00:00,37448,LONG,69809.5,2024-04-01T00:00:00+00:00,1,False,2024-04-09 09:00:00+00:00,2024-04-09 13:00:00+00:00,70544.6,71355.86290000001,69944.97090000001,SL,-0.00999999999999984,5,development,PRIMARY_RULE
A1_HOLD,2024-W17,2024-04-22 00:00:00+00:00,2024-04-22 03:00:00+00:00,2024-04-22 04:00:00+00:00,2024-04-24 14:00:00+00:00,37814,LONG,65194.214583333334,2024-04-15T00:00:00+00:00,1,False,2024-04-24 15:00:00+00:00,2024-04-24 15:00:00+00:00,65212.8,65962.74720000001,64658.491200000004,SL,-0.009999999999999952,1,development,PRIMARY_RULE
A1_HOLD,2024-W19,2024-05-06 00:00:00+00:00,2024-05-08 00:00:00+00:00,2024-05-08 01:00:00+00:00,2024-05-08 04:00:00+00:00,38140,LONG,62489.37708333333,2024-04-29T00:00:00+00:00,1,False,2024-05-08 05:00:00+00:00,2024-05-08 13:00:00+00:00,62503.4,63222.1891,61972.121100000004,SL,-0.009999999999999952,9,development,PRIMARY_RULE
A1_HOLD,2024-W21,2024-05-20 00:00:00+00:00,2024-05-20 15:00:00+00:00,2024-05-20 16:00:00+00:00,2024-05-23 18:00:00+00:00,38514,LONG,67312.5,2024-05-13T00:00:00+00:00,1,False,2024-05-23 19:00:00+00:00,2024-05-23 20:00:00+00:00,67428.5,68203.92775,66855.35775000001,SL,-0.00999999999999984,2,development,PRIMARY_RULE
A1_HOLD,2024-W22,2024-05-27 00:00:00+00:00,2024-05-27 15:00:00+00:00,2024-05-27 16:00:00+00:00,2024-05-27 17:00:00+00:00,38609,LONG,70219.425,2024-05-20T00:00:00+00:00,1,False,2024-05-27 18:00:00+00:00,2024-05-27 19:00:00+00:00,70238.5,71046.24275,69641.47275,SL,-0.009999999999999952,2,development,PRIMARY_RULE
A1_HOLD,2024-W23,2024-06-03 00:00:00+00:00,2024-06-03 06:00:00+00:00,2024-06-03 07:00:00+00:00,2024-06-03 14:00:00+00:00,38774,LONG,68809.61458333334,2024-05-27T00:00:00+00:00,1,False,2024-06-03 15:00:00+00:00,2024-06-03 15:00:00+00:00,68820.0,69611.43000000001,68235.03,TP,0.010000000000000066,1,development,PRIMARY_RULE
A1_HOLD,2024-W30,2024-07-22 00:00:00+00:00,2024-07-23 20:00:00+00:00,2024-07-23 21:00:00+00:00,2024-07-24 01:00:00+00:00,39985,LONG,65613.9875,2024-07-15T00:00:00+00:00,1,False,2024-07-24 02:00:00+00:00,2024-07-24 08:00:00+00:00,65646.7,66401.63705,65088.703050000004,TP,0.010000000000000066,7,development,PRIMARY_RULE
A1_HOLD,2024-W33,2024-08-12 00:00:00+00:00,2024-08-16 02:00:00+00:00,2024-08-16 03:00:00+00:00,2024-08-16 04:00:00+00:00,40540,LONG,57832.274999999994,2024-08-05T00:00:00+00:00,1,False,2024-08-16 05:00:00+00:00,2024-08-16 12:00:00+00:00,58279.2,58949.4108,57783.8268,SL,-0.009999999999999952,8,development,PRIMARY_RULE
A1_HOLD,2024-W41,2024-10-07 00:00:00+00:00,2024-10-08 01:00:00+00:00,2024-10-08 02:00:00+00:00,2024-10-08 03:00:00+00:00,41811,LONG,62581.6125,2024-09-30T00:00:00+00:00,1,False,2024-10-08 04:00:00+00:00,2024-10-08 07:00:00+00:00,62602.3,63322.22645000001,62070.18045000001,SL,-0.009999999999999952,4,development,PRIMARY_RULE
A1_HOLD,2024-W45,2024-11-04 00:00:00+00:00,2024-11-06 02:00:00+00:00,2024-11-06 03:00:00+00:00,2024-11-06 08:00:00+00:00,42512,LONG,72753.87916666667,2024-10-28T00:00:00+00:00,1,False,2024-11-06 09:00:00+00:00,2024-11-06 11:00:00+00:00,73482.4,74327.4476,72857.7996,TP,0.010000000000000066,3,development,PRIMARY_RULE
