zone,entry_frac,distance,distance_r,partition,date_utc,signal_ts,fill_bar_start,entry_px,H,L,range,stop_px,E20_DOWN,session_end,activated,activation_bar_start,ratchets,final_ceiling,exit_bar_start,exit_ts,exit_px,exit_reason,net_pnl_usd,win
F15,0.15,D30,0.3,august,2026-08-14,2026-08-14 14:05:00+00:00,2026-08-14 14:50:00+00:00,62618.335,62974.4,62555.5,418.90000000000146,62744.005,62471.72,2026-08-14 20:00:00+00:00,False,,0,,2026-08-14 15:20:00+00:00,2026-08-14 15:20:00+00:00,62744.005,PRE_ACT_HARD_STOP_TOUCH,-1.4034600888062516,False
F15,0.15,D40,0.4,august,2026-08-14,2026-08-14 14:05:00+00:00,2026-08-14 14:50:00+00:00,62618.335,62974.4,62555.5,418.90000000000146,62785.895,62471.72,2026-08-14 20:00:00+00:00,False,,0,,2026-08-14 15:25:00+00:00,2026-08-14 15:25:00+00:00,62785.895,PRE_ACT_HARD_STOP_TOUCH,-1.7379467850750392,False
F15,0.15,D50,0.5,august,2026-08-14,2026-08-14 14:05:00+00:00,2026-08-14 14:50:00+00:00,62618.335,62974.4,62555.5,418.90000000000146,62827.785,62471.72,2026-08-14 20:00:00+00:00,False,,0,,2026-08-14 15:30:00+00:00,2026-08-14 15:30:00+00:00,62827.785,PRE_ACT_HARD_STOP_TOUCH,-2.0724334813438268,False
F05,0.05,D30,0.3,development,2022-03-14,2022-03-14 13:35:00+00:00,2022-03-14 17:45:00+00:00,38662.87,39287.4,38630.0,657.4000000000015,38860.090000000004,38498.52,2022-03-14 20:00:00+00:00,True,2022-03-14 18:25:00+00:00,0,38498.52,2022-03-14 18:30:00+00:00,2022-03-14 18:30:00+00:00,38498.52,PROFIT_CEILING_HIT,1.7254242119119194,True
F05,0.05,D40,0.4,development,2022-03-14,2022-03-14 13:35:00+00:00,2022-03-14 17:45:00+00:00,38662.87,39287.4,38630.0,657.4000000000015,38925.83,38498.52,2022-03-14 20:00:00+00:00,True,2022-03-14 18:25:00+00:00,0,38498.52,2022-03-14 18:30:00+00:00,2022-03-14 18:30:00+00:00,38498.52,PROFIT_CEILING_HIT,1.7254242119119194,True
F05,0.05,D50,0.5,development,2022-03-14,2022-03-14 13:35:00+00:00,2022-03-14 17:45:00+00:00,38662.87,39287.4,38630.0,657.4000000000015,38991.57000000001,38498.52,2022-03-14 20:00:00+00:00,True,2022-03-14 18:25:00+00:00,0,38498.52,2022-03-14 18:30:00+00:00,2022-03-14 18:30:00+00:00,38498.52,PROFIT_CEILING_HIT,1.7254242119119194,True
F10,0.1,D30,0.3,development,2022-03-14,2022-03-14 13:35:00+00:00,2022-03-14 17:45:00+00:00,38695.74,39287.4,38630.0,657.4000000000015,38892.96,38498.52,2022-03-14 20:00:00+00:00,True,2022-03-14 18:25:00+00:00,0,38498.52,2022-03-14 18:30:00+00:00,2022-03-14 18:30:00+00:00,38498.52,PROFIT_CEILING_HIT,2.1483425307282205,True
F10,0.1,D40,0.4,development,2022-03-14,2022-03-14 13:35:00+00:00,2022-03-14 17:45:00+00:00,38695.74,39287.4,38630.0,657.4000000000015,38958.7,38498.52,2022-03-14 20:00:00+00:00,True,2022-03-14 18:25:00+00:00,0,38498.52,2022-03-14 18:30:00+00:00,2022-03-14 18:30:00+00:00,38498.52,PROFIT_CEILING_HIT,2.1483425307282205,True
F10,0.1,D50,0.5,development,2022-03-14,2022-03-14 13:35:00+00:00,2022-03-14 17:45:00+00:00,38695.74,39287.4,38630.0,657.4000000000015,39024.44,38498.52,2022-03-14 20:00:00+00:00,True,2022-03-14 18:25:00+00:00,0,38498.52,2022-03-14 18:30:00+00:00,2022-03-14 18:30:00+00:00,38498.52,PROFIT_CEILING_HIT,2.1483425307282205,True
F15,0.15,D30,0.3,development,2022-03-14,2022-03-14 13:35:00+00:00,2022-03-14 17:45:00+00:00,38728.61,39287.4,38630.0,657.4000000000015,38925.83,38498.52,2022-03-14 20:00:00+00:00,True,2022-03-14 18:25:00+00:00,0,38498.52,2022-03-14 18:30:00+00:00,2022-03-14 18:30:00+00:00,38498.52,PROFIT_CEILING_HIT,2.5705429655234595,True
