role,partition,snapshot_min,feature,latent_n,true_n,latent_value,true_value,latent_minus_true
CENTRAL,development,5,close_R,93,41,0.06519152985962424,0.011050920910079384,0.05414060894954486
CENTRAL,development,5,running_mfe_R,93,41,0.13609467455621085,0.07444168734491242,0.06165298721129843
CENTRAL,development,5,closes_above_H,93,41,2.0,2.0,0.0
CENTRAL,development,5,fraction_closes_above_H,93,41,1.0,1.0,0.0
CENTRAL,development,5,E10_by_snapshot,93,41,0.6881720430107527,0.36585365853658536,0.3223183844741674
CENTRAL,development,5,E20_by_snapshot,93,41,0.25806451612903225,0.07317073170731707,0.18489378442171517
CENTRAL,development,10,close_R,93,41,0.08021390374331881,0.0,0.08021390374331881
CENTRAL,development,10,running_mfe_R,93,41,0.17714672075726826,0.07564296520423618,0.10150375555303208
CENTRAL,development,10,closes_above_H,93,41,3.0,2.0,1.0
CENTRAL,development,10,fraction_closes_above_H,93,41,1.0,0.6666666666666666,0.33333333333333337
CENTRAL,development,10,E10_by_snapshot,93,41,0.8064516129032258,0.4146341463414634,0.39181746656176236
CENTRAL,development,10,E20_by_snapshot,93,41,0.3870967741935484,0.12195121951219512,0.26514555468135326
CENTRAL,development,15,close_R,93,41,0.09580364212193382,-0.02079395085066018,0.116597592972594
CENTRAL,development,15,running_mfe_R,93,41,0.1987179487179511,0.09664138678223182,0.10207656193571928
CENTRAL,development,15,closes_above_H,93,41,4.0,2.0,2.0
CENTRAL,development,15,fraction_closes_above_H,93,41,1.0,0.5,0.5
CENTRAL,development,15,E10_by_snapshot,93,41,0.8387096774193549,0.43902439024390244,0.39968528717545243
CENTRAL,development,15,E20_by_snapshot,93,41,0.4838709677419355,0.14634146341463414,0.33752950432730133
CENTRAL,development,30,close_R,93,41,0.11161473087818893,-0.025899280575536504,0.13751401145372544
CENTRAL,development,30,running_mfe_R,93,41,0.25064991334489045,0.10869565217391207,0.14195426117097837
CENTRAL,development,30,closes_above_H,93,41,7.0,3.0,4.0
CENTRAL,development,30,fraction_closes_above_H,93,41,1.0,0.42857142857142855,0.5714285714285714
CENTRAL,development,30,E10_by_snapshot,93,41,0.8602150537634409,0.5609756097560976,0.29923944400734326
CENTRAL,development,30,E20_by_snapshot,93,41,0.6129032258064516,0.24390243902439024,0.3690007867820614
CENTRAL,development,60,close_R,92,41,0.15475387628828158,-0.033282904689863745,0.18803678097814533
CENTRAL,development,60,running_mfe_R,92,41,0.3092350746268663,0.1401985111662525,0.16903656346061377
CENTRAL,development,60,closes_above_H,92,41,12.0,4.0,8.0
