scope,sessions,k1_qualified,k1_rate,causal_leave,leave_rate,h2,opposite_break_before_h2,ambiguous_h2_vs_opposite,no_h2_by_end,h2_rate,resolved_h2_share,median_minutes_leave_to_h2
POOLED,1095,269,0.245662100456621,162,0.6022304832713755,132,9,0,21,0.8148148148148148,0.9361702127659575,25.0
Monday,157,31,0.19745222929936307,18,0.5806451612903226,12,2,0,4,0.6666666666666666,0.8571428571428571,55.0
Tuesday,157,36,0.22929936305732485,20,0.5555555555555556,18,1,0,1,0.9,0.9473684210526315,10.0
Wednesday,156,37,0.23717948717948717,25,0.6756756756756757,25,0,0,0,1.0,1.0,20.0
Thursday,156,38,0.24358974358974358,24,0.631578947368421,17,2,0,5,0.7083333333333334,0.8947368421052632,20.0
Friday,156,50,0.32051282051282054,32,0.64,25,1,0,6,0.78125,0.9615384615384616,30.0
Saturday,156,42,0.2692307692307692,23,0.5476190476190477,20,0,0,3,0.8695652173913043,1.0,22.5
Sunday,157,35,0.2229299363057325,20,0.5714285714285714,15,3,0,2,0.75,0.8333333333333334,20.0
