scope,event,n,rate_of_breakouts,median_H_retests_before_E10,median_H_retests_before_E20,hold_then_E10_rate,hold_then_E20_rate
POOLED_LONG,ALL,85,1.0,0.0,1.0,0.16470588235294117,0.12941176470588237
POOLED_LONG,E10_CONTINUATION,31,0.36470588235294116,0.0,0.0,0.0,0.0
POOLED_LONG,H_HOLD_RETEST,15,0.17647058823529413,1.0,1.0,0.9333333333333333,0.7333333333333333
POOLED_LONG,H_FAIL_ACCEPT_BELOW,23,0.27058823529411763,1.0,1.0,0.0,0.0
POOLED_LONG,AMBIGUOUS_E10_H_INTERACTION,15,0.17647058823529413,0.0,1.0,0.0,0.0
POOLED_LONG,TIMEOUT,1,0.011764705882352941,0.0,0.0,0.0,0.0
ALT_0330,ALL,46,1.0,1.0,1.0,0.15217391304347827,0.13043478260869565
ALT_0330,E10_CONTINUATION,14,0.30434782608695654,0.0,0.5,0.0,0.0
ALT_0330,H_HOLD_RETEST,7,0.15217391304347827,1.0,1.0,1.0,0.8571428571428571
ALT_0330,H_FAIL_ACCEPT_BELOW,17,0.3695652173913043,1.0,1.0,0.0,0.0
ALT_0330,AMBIGUOUS_E10_H_INTERACTION,8,0.17391304347826086,0.0,1.0,0.0,0.0
ALT_0330,TIMEOUT,0,0.0,,,,
RAW_0530,ALL,39,1.0,0.0,1.0,0.1794871794871795,0.1282051282051282
RAW_0530,E10_CONTINUATION,17,0.4358974358974359,0.0,0.0,0.0,0.0
RAW_0530,H_HOLD_RETEST,8,0.20512820512820512,1.0,1.0,0.875,0.625
RAW_0530,H_FAIL_ACCEPT_BELOW,6,0.15384615384615385,1.0,1.5,0.0,0.0
RAW_0530,AMBIGUOUS_E10_H_INTERACTION,7,0.1794871794871795,0.0,1.0,0.0,0.0
RAW_0530,TIMEOUT,1,0.02564102564102564,0.0,0.0,0.0,0.0
