partition,timeframe,armed_cycles,entry_cycles,no_trade_rate,n,wr,pf,mean_ret,median_ret,median_winner,median_loser,median_mfe,median_mae,p10_mae,median_cross_to_signal,median_red_before_signal,median_hold_minutes,mean_gross_usd,fee_wr,fee_pf,mean_fee_usd,max_losing_streak,mae_le_0p5,mae_le_1p0,mae_le_1p5,mae_le_1p8
external,5m,2182,1956,0.10357470210815767,1956,0.3041922290388548,1.0129600556504548,2.823660255911876e-05,-0.001302917221111699,0.003225379907427328,-0.002229716205449761,0.0029772627446504885,-0.0024444130466547698,-0.007147931969839205,1.0,0.0,50.0,0.014118301279559353,0.2387525562372188,0.7207634469922093,-0.3858816987204406,20,0.1901840490797546,0.04652351738241309,0.018916155419222903,0.011247443762781187
development,5m,3423,3060,0.10604732690622265,3060,0.2830065359477124,0.9892228690456548,-1.6124815567213624e-05,-0.0009145405591706179,0.002163402624503319,-0.0014403001651070446,0.0018514474027629957,-0.0015863477974116247,-0.004656975632297622,2.0,1.0,45.0,-0.008062407783606802,0.20392156862745098,0.6122782469465528,-0.4080624077836068,18,0.08562091503267974,0.01895424836601307,0.006535947712418301,0.00392156862745098
reference_validation,5m,1703,1534,0.0992366412213741,1534,0.3005215123859192,0.8692706945566556,-0.00017431491529278954,-0.0007784857198291362,0.001974588589787496,-0.0013618278644553783,0.00172354610935177,-0.001390492424444223,-0.004368328792804665,1.0,0.0,45.0,-0.08715745764639478,0.22294654498044328,0.49477725505798703,-0.4871574576463947,17,0.07235984354628422,0.009126466753585397,0.001955671447196871,0.0
august,5m,56,54,0.0357142857142857,54,0.2777777777777778,0.4111877204238374,-0.0005202134533790194,-0.0006747116822726218,0.0008117176227506739,-0.001066231711825405,0.000932745962585857,-0.0008573874744015608,-0.002028459943165284,1.5,0.5,47.5,-0.2601067266895097,0.16666666666666666,0.12402817212797237,-0.6601067266895098,5,0.037037037037037035,0.0,0.0,0.0
external,15m,690,629,0.08840579710144925,629,0.28298887122416533,1.0802865523353422,0.0003056853565199788,-0.0024174086797278393,0.00799237311725387,-0.003962318553291988,0.005440218149674214,-0.004521111722468496,-0.012306039026183057,2.0,1.0,150.0,0.15284267825998943,0.2480127186009539,0.8875201041222386,-0.2471573217400106,19,0.4562798092209857,0.17170111287758347,0.057233704292527825,0.03656597774244833
development,15m,1044,933,0.10632183908045978,933,0.2872454448017149,0.9864897022176653,-3.818086112041312e-05,-0.0015385582018040411,0.0051118624291158765,-0.002631805577085422,0.00353608067324096,-0.0030447554695987034,-0.009203427842573152,1.0,0.0,135.0,-0.019090430560206557,0.2315112540192926,0.7548145977854902,-0.41909043056020656,16,0.2797427652733119,0.08896034297963558,0.03429796355841372,0.01714898177920686
reference_validation,15m,539,484,0.10204081632653061,484,0.32231404958677684,1.1448225955754947,0.0003275674951058919,-0.0014445555381744635,0.004814936683142701,-0.002550042238484207,0.003913316876450912,-0.002689931688796554,-0.007054854194027449,1.0,0.0,150.0,0.1637837475529459,0.2809917355371901,0.832766344562778,-0.23621625244705405,13,0.2396694214876033,0.04338842975206612,0.01652892561983471,0.008264462809917356
august,15m,24,21,0.125,21,0.5238095238095238,5.278058911435411,0.0030674199097531006,0.00014900011412777303,0.0007651180368462018,-0.001170517489920253,0.003082277687194157,-0.00112632397971979,-0.0034789288849867983,1.0,0.0,195.0,1.5337099548765505,0.23809523809523808,2.894011242800422,1.1337099548765504,3,0.0,0.0,0.0,0.0
external,1h,144,135,0.0625,135,0.34814814814814815,1.854088642365063,0.005614169815329944,-0.0034804779763282223,0.024841275124174667,-0.008537951396915044,0.015150553333756589,-0.010376390428108229,-0.022316992047567187,1.0,0.0,840.0,2.8070849076649718,0.3333333333333333,1.678249747106749,2.407084907664971,11,0.7851851851851852,0.5185185185185185,0.26666666666666666,0.2074074074074074
development,1h,254,230,0.09448818897637801,230,0.2826086956521739,1.1397126368593002,0.0009269656569237646,-0.004297395025104955,0.014468575743198153,-0.007378807378807362,0.008470345265265689,-0.008786411257885318,-0.021607990082445537,1.5,0.5,600.0,0.46348282846188205,0.26521739130434785,1.0175932514793096,0.06348282846188211,10,0.7,0.4,0.2391304347826087,0.14347826086956522
reference_validation,1h,135,129,0.0444444444444444,129,0.3643410852713178,0.6681339311376012,-0.001901221136473797,-0.0041111659266568346,0.00721344552513381,-0.0064395547096527395,0.007529509024939207,-0.006694665316260062,-0.018252354955013407,1.0,0.0,600.0,-0.9506105682368985,0.3333333333333333,0.5681281554811753,-1.3506105682368983,9,0.6589147286821705,0.29457364341085274,0.16279069767441862,0.10852713178294573
august,1h,3,3,0.0,3,0.3333333333333333,1.1003373504834746,0.00045321852978326876,-0.005729346970889004,0.014910497651635879,-0.006775421031143036,0.0024437276872779634,-0.007269866247049617,-0.00830518312958901,1.0,0.0,300.0,0.22660926489163438,0.3333333333333333,0.9313342184960233,-0.17339073510836597,2,0.6666666666666666,0.0,0.0,0.0
external,4h,46,43,0.06521739130434778,43,0.4186046511627907,2.4269197477645816,0.01930336184198754,-0.006485732036690339,0.03780370927048282,-0.01621714122386253,0.03181577477271702,-0.0185170511062408,-0.05340776875031003,2.0,1.0,2640.0,9.651680920993769,0.3953488372093023,2.3213811903530126,9.251680920993769,6,0.8837209302325582,0.7906976744186046,0.6511627906976745,0.5813953488372093
