partition,origin,total_n,boundary_known_n,boundary_known_rate,first_wick_break_n,first_wick_hold_n,transition_rate_first_wick_break,transition_rate_first_wick_hold,first_wick_transition_lift,first_close_break_n,first_close_hold_n,transition_rate_first_close_break,transition_rate_first_close_hold,first_close_transition_lift,resume_n,transition_n,resume_wick_break_age1,transition_wick_break_age1,resume_wick_break_age2,transition_wick_break_age2,resume_wick_break_age3,transition_wick_break_age3,age3_break_rate_diff,resume_close_break_age3,transition_close_break_age3,transition_never_wick_break_rate,resume_ever_wick_break_rate
external,BULL,163,163,1.0,53,110,0.39622641509433965,0.34545454545454546,0.05077186963979419,36,127,0.4166666666666667,0.3464566929133858,0.07020997375328086,104,59,0.3076923076923077,0.3559322033898305,0.3942307692307692,0.4915254237288136,0.40384615384615385,0.559322033898305,0.15547588005215118,0.25,0.4406779661016949,0.4067796610169492,0.4423076923076923
external,BEAR,108,108,1.0,29,79,0.5517241379310345,0.45569620253164556,0.09602793539938892,22,86,0.5,0.47674418604651164,0.023255813953488358,56,52,0.23214285714285715,0.3076923076923077,0.23214285714285715,0.4423076923076923,0.25,0.46153846153846156,0.21153846153846156,0.19642857142857142,0.34615384615384615,0.5,0.25
development,BULL,219,219,1.0,78,141,0.6538461538461539,0.44680851063829785,0.207037643207856,54,165,0.7037037037037037,0.46060606060606063,0.2430976430976431,105,114,0.2571428571428571,0.4473684210526316,0.2857142857142857,0.5175438596491229,0.2857142857142857,0.5350877192982456,0.2493734335839599,0.1523809523809524,0.39473684210526316,0.4649122807017544,0.2857142857142857
development,BEAR,249,249,1.0,72,177,0.5555555555555556,0.4180790960451977,0.13747645951035786,46,203,0.5869565217391305,0.42857142857142855,0.15838509316770194,135,114,0.23703703703703705,0.3508771929824561,0.2740740740740741,0.4649122807017544,0.2740740740740741,0.47368421052631576,0.19961013645224168,0.16296296296296298,0.2807017543859649,0.5263157894736842,0.2740740740740741
reference_validation,BULL,150,150,1.0,34,116,0.6470588235294118,0.4827586206896552,0.1643002028397566,26,124,0.6538461538461539,0.49193548387096775,0.1619106699751861,72,78,0.16666666666666666,0.28205128205128205,0.2222222222222222,0.41025641025641024,0.2222222222222222,0.41025641025641024,0.18803418803418803,0.1388888888888889,0.32051282051282054,0.5641025641025641,0.2222222222222222
reference_validation,BEAR,134,134,1.0,42,92,0.6190476190476191,0.5760869565217391,0.042960662525879934,24,110,0.625,0.5818181818181818,0.04318181818181821,55,79,0.2909090909090909,0.3291139240506329,0.2909090909090909,0.379746835443038,0.2909090909090909,0.3924050632911392,0.10149597238204833,0.18181818181818182,0.24050632911392406,0.6075949367088608,0.2909090909090909
POOLED_OOS,BULL,313,313,1.0,87,226,0.4942528735632184,0.415929203539823,0.07832367002339541,62,251,0.5161290322580645,0.41832669322709165,0.09780233903097285,176,137,0.25,0.31386861313868614,0.32386363636363635,0.44525547445255476,0.32954545454545453,0.4744525547445255,0.144907100199071,0.20454545454545456,0.3722627737226277,0.49635036496350365,0.3522727272727273
POOLED_OOS,BEAR,242,242,1.0,71,171,0.5915492957746479,0.52046783625731,0.07108145951733791,46,196,0.5652173913043478,0.5357142857142857,0.029503105590062084,111,131,0.26126126126126126,0.32061068702290074,0.26126126126126126,0.40458015267175573,0.2702702702702703,0.4198473282442748,0.1495770579740045,0.1891891891891892,0.2824427480916031,0.5648854961832062,0.2702702702702703
POOLED_MAJOR,BULL,532,532,1.0,165,367,0.5696969696969697,0.42779291553133514,0.14190405416563456,116,416,0.603448275862069,0.43509615384615385,0.1683521220159151,281,251,0.2526690391459075,0.3745019920318725,0.3096085409252669,0.47808764940239046,0.31316725978647686,0.50199203187251,0.1888247720860331,0.18505338078291814,0.38247011952191234,0.4820717131474104,0.3274021352313167
POOLED_MAJOR,BEAR,491,491,1.0,143,348,0.5734265734265734,0.46839080459770116,0.10503576882887228,92,399,0.5760869565217391,0.48120300751879697,0.09488394900294217,246,245,0.24796747967479674,0.3346938775510204,0.2682926829268293,0.4326530612244898,0.27235772357723576,0.4448979591836735,0.17254023560643772,0.17479674796747968,0.2816326530612245,0.5469387755102041,0.27235772357723576
