milestone,milestone_ext,partition,date_utc,signal_ts,entry_start,entry_px,H,L,range,F65,milestone_px,session_end,activated,activation_bar_start,partial_gross_usd,runner_gross_usd,runner_exit_ts,runner_exit_px,runner_reason,whole_exit_ts,whole_exit_px,whole_reason,net_pnl_usd,win,final_exit_ts,ratchets,trough_extension_r,runner_exit_extension_r,capture_ratio,giveback_r
E05,0.05,august,2026-08-14,2026-08-14 14:05:00+00:00,2026-08-14 14:10:00+00:00,62618.335,62974.4,62555.5,418.90000000000146,62827.785,62534.555,2026-08-14 20:00:00+00:00,True,2026-08-14 14:55:00+00:00,0.33448669626874794,0.14905777996172817,2026-08-14 15:00:00+00:00,62581.0,RUNNER_OPEN_GAP_AT_OR_ABOVE_CEILING,,,,0.08354447623047612,True,2026-08-14 15:00:00+00:00,0,0.17020768679876502,-0.06087371687753619,0.0,0.2310814036763012
E10,0.1,august,2026-08-14,2026-08-14 14:05:00+00:00,2026-08-14 14:10:00+00:00,62618.335,62974.4,62555.5,418.90000000000146,62827.785,62513.61,2026-08-14 20:00:00+00:00,True,2026-08-14 14:55:00+00:00,0.4181083703359349,0.14905777996172817,2026-08-14 15:00:00+00:00,62581.0,RUNNER_OPEN_GAP_AT_OR_ABOVE_CEILING,,,,0.16716615029766302,True,2026-08-14 15:00:00+00:00,0,0.17020768679876502,-0.06087371687753619,0.0,0.2310814036763012
E15,0.15,august,2026-08-14,2026-08-14 14:05:00+00:00,2026-08-14 14:10:00+00:00,62618.335,62974.4,62555.5,418.90000000000146,62827.785,62492.665,2026-08-14 20:00:00+00:00,True,2026-08-14 14:55:00+00:00,0.501730044403122,0.14905777996172817,2026-08-14 15:00:00+00:00,62581.0,RUNNER_OPEN_GAP_AT_OR_ABOVE_CEILING,,,,0.25078782436485014,True,2026-08-14 15:00:00+00:00,0,0.17020768679876502,-0.06087371687753619,0.0,0.2310814036763012
E20,0.2,august,2026-08-14,2026-08-14 14:05:00+00:00,2026-08-14 14:10:00+00:00,62618.335,62974.4,62555.5,418.90000000000146,62827.785,62471.72,2026-08-14 20:00:00+00:00,False,,0.0,0.0,,,,2026-08-14 15:35:00+00:00,62871.3,PRE_MILESTONE_CLOSE_INVALIDATION_F65,-2.419895610447034,False,2026-08-14 15:35:00+00:00,0,,,,
E05,0.05,development,2022-01-03,2022-01-03 15:10:00+00:00,2022-01-03 15:15:00+00:00,46896.733,47575.22,46777.0,798.2200000000012,47295.843,46737.089,2022-01-03 20:00:00+00:00,True,2022-01-03 15:50:00+00:00,0.8510400927075252,0.8510400927075252,2022-01-03 16:00:00+00:00,46737.089,RUNNER_PROFIT_CEILING_HIT,,,,1.3020801854150506,True,2022-01-03 16:00:00+00:00,0,0.6471899977449799,0.05,0.07725706542779746,0.5971899977449798
E10,0.1,development,2022-01-03,2022-01-03 15:10:00+00:00,2022-01-03 15:15:00+00:00,46896.733,47575.22,46777.0,798.2200000000012,47295.843,46697.178,2022-01-03 20:00:00+00:00,True,2022-01-03 15:50:00+00:00,1.0638001158844066,1.0049367404761385,2022-01-03 15:55:00+00:00,46708.22,RUNNER_OPEN_GAP_AT_OR_ABOVE_CEILING,,,,1.6687368563605451,True,2022-01-03 15:55:00+00:00,0,0.6471899977449799,0.08616672095412134,0.13313975996902638,0.5610232767908585
E15,0.15,development,2022-01-03,2022-01-03 15:10:00+00:00,2022-01-03 15:15:00+00:00,46896.733,47575.22,46777.0,798.2200000000012,47295.843,46657.267,2022-01-03 20:00:00+00:00,True,2022-01-03 15:55:00+00:00,1.2765601390612877,1.1021183501204777,2022-01-03 16:00:00+00:00,46689.99,RUNNER_OPEN_GAP_AT_OR_ABOVE_CEILING,,,,1.9786784891817653,True,2022-01-03 16:00:00+00:00,0,0.6471899977449799,0.10900503620555976,0.16842818428184725,0.5381849615394201
E20,0.2,development,2022-01-03,2022-01-03 15:10:00+00:00,2022-01-03 15:15:00+00:00,46896.733,47575.22,46777.0,798.2200000000012,47295.843,46617.356,2022-01-03 20:00:00+00:00,True,2022-01-03 15:55:00+00:00,1.4893201622381693,1.1021183501204777,2022-01-03 16:00:00+00:00,46689.99,RUNNER_OPEN_GAP_AT_OR_ABOVE_CEILING,,,,2.1914385123586473,True,2022-01-03 16:00:00+00:00,0,0.6471899977449799,0.10900503620555976,0.16842818428184725,0.5381849615394201
E05,0.05,development,2022-01-17,2022-01-17 15:15:00+00:00,2022-01-17 15:30:00+00:00,42490.1445,42887.63,42420.0,467.6299999999974,42723.9595,42396.6185,2022-01-17 20:00:00+00:00,True,2022-01-17 15:55:00+00:00,0.5502805479986382,0.13329267449304738,2022-01-17 16:00:00+00:00,42467.49,RUNNER_OPEN_GAP_AT_OR_ABOVE_CEILING,,,,0.2835732224916856,True,2022-01-17 16:00:00+00:00,0,1.2702350148621844,-0.10155464790539151,0.0,1.3717896627675759
E10,0.1,development,2022-01-17,2022-01-17 15:15:00+00:00,2022-01-17 15:30:00+00:00,42490.1445,42887.63,42420.0,467.6299999999974,42723.9595,42373.237,2022-01-17 20:00:00+00:00,True,2022-01-17 16:05:00+00:00,0.6878506849982656,0.6878506849982656,2022-01-17 16:20:00+00:00,42373.237,RUNNER_PROFIT_CEILING_HIT,,,,0.9757013699965312,True,2022-01-17 16:20:00+00:00,0,1.2702350148621844,0.09999999999999844,0.07872558922558756,1.1702350148621858
