rule,n,wins,wr,pnl,exp,pf
upper_localmax4=True AND upper_share_gt_prev3median=False,4,4,1.0,14.708857757315787,3.6772144393289468,999.0
upper_share_gt_prev3median=False AND rejection_expansion_composite=True,4,4,1.0,14.708857757315787,3.6772144393289468,999.0
body_contract3median=True AND f636_morphology=False,2,2,1.0,1.6364531291766529,0.8182265645883264,999.0
body_contract3median=True AND wick_dominant=False,2,2,1.0,1.6364531291766529,0.8182265645883264,999.0
last_upper_gt_lower=False AND rejection_expansion_composite=True,1,1,1.0,1.4086228243529737,1.4086228243529737,999.0
last_upper_gt_lower=False AND upper_localmax4=True,1,1,1.0,1.4086228243529737,1.4086228243529737,999.0
rejection_expansion_composite=True AND f636_morphology=False,1,1,1.0,1.513824884792709,1.513824884792709,999.0
rejection_expansion_composite=True AND wick_dominant=False,1,1,1.0,1.513824884792709,1.513824884792709,999.0
wick_dominant=True AND f636_morphology=False,1,1,1.0,9.25,9.25,999.0
upper_gt_prev2max=True AND upper_share_gt_prev3median=False,6,5,0.8333333333333334,19.70885775731579,3.2848096262192983,5.637378295839009
last_upper_gt_lower=False AND upper_gt_prev2max=True,5,4,0.8,13.357913199609744,2.6715826399219487,4.143038399908175
last_red=True AND upper_gt_prev1=False,22,17,0.7727272727272727,67.68763780430425,3.0767108092865567,5.332232850285106
last_red=True AND upper_share_gt_prev3median=False,24,18,0.75,61.45463791211097,2.560609913004624,4.312475374559611
body_lt_prev1=False AND body_contract3median=True,4,3,0.75,6.636453129176653,1.6591132822941632,2.5615183833356827
last_red=True AND last_upper_gt_lower=False,22,16,0.7272727272727273,61.11814884531351,2.7780976747869777,4.294338228439424
last_upper_gt_lower=True AND upper_share_gt_prev3median=False,7,5,0.7142857142857143,9.21564235931508,1.3165203370450114,2.9812500343752593
last_upper_gt_lower=False AND balance_gate=True,17,12,0.7058823529411765,28.456328839297242,1.6739016964292495,2.3391213571433997
upper_gt_prev2max=True AND body_lt_prev1=True,20,14,0.7,37.591552445235116,1.8795776222617557,3.692013732283765
last_upper_gt_lower=False AND body_contract3median=True,13,9,0.6923076923076923,13.559833038474231,1.0430640798826332,1.7976372375573078
upper_localmax4=True AND body_lt_prev1=True,16,11,0.6875,25.642262069978337,1.602641379373646,3.6396947376990014
last_red=True AND balance_gate=False,19,13,0.6842105263157895,61.89244783779656,3.2574972546208714,4.3360738310283535
last_red=True AND upper_gt_prev2max=False,30,20,0.6666666666666666,73.15554211908525,2.4385180706361753,3.5428328534500575
last_red=True AND body_lt_prev1=False,21,14,0.6666666666666666,54.63038443340018,2.601446877780961,3.2645477391688584
upper_gt_prev2max=True AND body_contract3median=True,21,14,0.6666666666666666,32.5912335534722,1.5519635025462952,2.789340743501667
upper_share_gt_prev3median=False AND balance_gate=True,21,14,0.6666666666666666,30.278473401931834,1.4418320667586588,2.1689885639514235
body_contract3median=True AND rejection_expansion_composite=True,18,12,0.6666666666666666,29.891943178215428,1.660663509900857,3.140627781670714
rejection_expansion_composite=True,18,12,0.6666666666666666,29.891943178215428,1.660663509900857,3.140627781670714
rejection_expansion_composite=True AND balance_gate=True,18,12,0.6666666666666666,29.891943178215428,1.660663509900857,3.140627781670714
upper_gt_prev1=True AND rejection_expansion_composite=True,18,12,0.6666666666666666,29.891943178215428,1.660663509900857,3.140627781670714
upper_gt_prev2max=True AND rejection_expansion_composite=True,18,12,0.6666666666666666,29.891943178215428,1.660663509900857,3.140627781670714
upper_localmax4=True AND body_contract3median=True,18,12,0.6666666666666666,29.891943178215428,1.660663509900857,3.140627781670714
upper_localmax4=True AND f636_morphology=True,18,12,0.6666666666666666,37.62811829342272,2.0904510163012624,3.694632293078695
upper_localmax4=True AND rejection_expansion_composite=True,18,12,0.6666666666666666,29.891943178215428,1.660663509900857,3.140627781670714
upper_localmax4=True AND wick_dominant=True,18,12,0.6666666666666666,37.62811829342272,2.0904510163012624,3.694632293078695
body_lt_prev1=False AND upper_share_gt_prev3median=False,15,10,0.6666666666666666,33.79037349634552,2.2526915664230343,3.167257629540834
body_lt_prev1=True AND rejection_expansion_composite=True,15,10,0.6666666666666666,23.37811829342271,1.558541219561514,3.406616688810124
last_red=False AND rejection_expansion_composite=True,9,6,0.6666666666666666,23.76529197324314,2.6405879970270156,4.082543875186341
last_red=True AND rejection_expansion_composite=True,9,6,0.6666666666666666,6.126651204972282,0.680739022774698,1.9795643834616774
body_lt_prev1=False AND rejection_expansion_composite=True,3,2,0.6666666666666666,6.513824884792709,2.1712749615975695,2.5326646787747547
last_red=True AND body_contract3median=False,26,17,0.6538461538461539,72.5509570083924,2.7904214233997076,3.5540061740063127
last_red=True AND f636_morphology=False,23,15,0.6521739130434783,57.77708945195332,2.5120473674762316,3.3917598042133403
last_red=True AND wick_dominant=True,23,15,0.6521739130434783,29.481985447789544,1.2818254542517193,2.248335017253811
upper_gt_prev2max=True AND f636_morphology=True,23,15,0.6521739130434783,45.32740866867949,1.9707568986382387,3.0177708457314587
upper_gt_prev2max=True AND wick_dominant=True,23,15,0.6521739130434783,45.32740866867949,1.9707568986382387,3.0177708457314587
last_red=True AND upper_localmax4=False,34,22,0.6470588235294118,74.76616442705028,2.1990048360897143,3.0061055059242157
body_contract3median=True AND upper_share_gt_prev3median=False,17,11,0.6470588235294118,15.381977601108812,0.9048222118299301,1.7104370866896543
last_upper_gt_lower=True AND rejection_expansion_composite=True,17,11,0.6470588235294118,28.483320353862453,1.6754894325801444,3.039753203737522
rejection_expansion_composite=True AND f636_morphology=True,17,11,0.6470588235294118,28.37811829342271,1.6693010760836888,3.0322194528560997
rejection_expansion_composite=True AND wick_dominant=True,17,11,0.6470588235294118,28.37811829342271,1.6693010760836888,3.0322194528560997
last_red=True,45,29,0.6444444444444445,78.00907489974286,1.7335349977720635,2.6328849397669707
upper_gt_prev2max=True AND balance_gate=True,28,18,0.6428571428571429,41.97163659774813,1.4989870213481475,2.3554934534618135
last_red=False AND upper_gt_prev2max=True,14,9,0.6428571428571429,32.868103817090486,2.347721701220749,3.027689167684949
last_red=True AND rejection_expansion_composite=False,36,23,0.6388888888888888,71.88242369477058,1.996733991521405,2.7313010927262296
last_red=True AND f636_morphology=True,22,14,0.6363636363636364,20.23198544778955,0.9196357021722523,1.856668759564117
last_red=True AND wick_dominant=False,22,14,0.6363636363636364,48.52708945195332,2.2057767932706054,3.0088436968284014
last_red=True AND upper_localmax4=True,11,7,0.6363636363636364,3.2429104726925817,0.2948100429720529,1.3087173364730424
f636_morphology=True AND balance_gate=True,38,24,0.631578947368421,68.91181518595646,1.8134688206830647,2.713026400466281
wick_dominant=True AND balance_gate=True,38,24,0.631578947368421,68.91181518595646,1.8134688206830647,2.713026400466281
last_red=True AND body_contract3median=True,19,12,0.631578947368421,5.4581178913504775,0.28726936270265674,1.281825008779522
