partition,regime,blocks,k1_opp0_n,low_break_n,high_break_n,no_break_n,low_break_prob,high_break_prob,no_break_prob,second_low_n,second_low_prob,low_break_after_second_n,low_break_after_second_prob
august,BEAR,48,13,9,1,3,0.6923076923076923,0.07692307692307693,0.23076923076923078,1,0.07692307692307693,1,1.0
august,BULL,62,9,7,0,2,0.7777777777777778,0.0,0.2222222222222222,0,0.0,0,
august,SIDEWAYS,9,1,1,0,0,1.0,0.0,0.0,0,0.0,0,
development,BEAR,2856,630,448,38,144,0.7111111111111111,0.06031746031746032,0.22857142857142856,155,0.24603174603174602,108,0.6967741935483871
development,BULL,2943,500,350,31,119,0.7,0.062,0.238,147,0.294,105,0.7142857142857143
development,SIDEWAYS,776,134,95,5,34,0.7089552238805971,0.03731343283582089,0.2537313432835821,38,0.2835820895522388,23,0.6052631578947368
external,BEAR,1007,203,134,17,52,0.6600985221674877,0.08374384236453201,0.2561576354679803,53,0.26108374384236455,37,0.6981132075471698
external,BULL,2264,400,259,41,100,0.6475,0.1025,0.25,84,0.21,56,0.6666666666666666
external,SIDEWAYS,1114,259,175,20,64,0.6756756756756757,0.07722007722007722,0.2471042471042471,64,0.2471042471042471,55,0.859375
reference_validation,BEAR,1449,289,229,20,40,0.7923875432525952,0.06920415224913495,0.1384083044982699,66,0.22837370242214533,51,0.7727272727272727
reference_validation,BULL,1483,246,197,14,35,0.8008130081300813,0.056910569105691054,0.14227642276422764,43,0.17479674796747968,36,0.8372093023255814
reference_validation,SIDEWAYS,517,106,77,7,22,0.7264150943396226,0.0660377358490566,0.20754716981132076,28,0.2641509433962264,23,0.8214285714285714
POOLED_MAJOR,BEAR,5312,1122,811,75,236,0.7228163992869875,0.06684491978609626,0.2103386809269162,274,0.24420677361853832,196,0.7153284671532847
POOLED_MAJOR,BULL,6690,1146,806,86,254,0.7033158813263525,0.07504363001745201,0.22164048865619546,274,0.23909249563699825,197,0.718978102189781
POOLED_MAJOR,SIDEWAYS,2407,499,347,32,120,0.6953907815631263,0.06412825651302605,0.24048096192384769,130,0.2605210420841683,101,0.7769230769230769
