role,partition,outcome_class,n,episode_rescue_rate,median_entry_R,median_reward_risk,median_mfe_entry_R,median_mae_entry_R,median_parent_loss,median_required_exit_R,median_hold_min,hit_E10_rate,E10_rescue_if_hit_rate,hit_E20_rate,E20_rescue_if_hit_rate,hit_E30_rate,E30_rescue_if_hit_rate,hit_E40_rate,E40_rescue_if_hit_rate
CENTRAL,development,REC_TARGET,44,0.9772727272727273,0.09926624737945478,3.0000000000000595,0.3784316490407661,0.06375257277271475,0.593686452174752,0.14645580651731216,12.5,1.0,0.29545454545454547,1.0,0.6590909090909091,1.0,0.8181818181818182,1.0,0.9772727272727273
CENTRAL,development,REC_FAIL,70,0.0,0.05811763794728107,5.882717622080641,0.07250625526702315,0.1604177989305981,0.546904398389586,0.08637677492835641,20.0,0.6,0.24285714285714285,0.34285714285714286,0.24285714285714285,0.11428571428571428,0.11428571428571428,0.0,0.0
CENTRAL,external,REC_TARGET,18,1.0,0.08735239804032362,3.579499904561942,0.3537847451894729,0.05829778074726738,0.813102137541516,0.14426136567087347,22.5,1.0,0.3333333333333333,1.0,0.7222222222222222,1.0,0.8888888888888888,1.0,1.0
CENTRAL,external,REC_FAIL,48,0.0,0.048173583971509816,7.016179775281022,0.07315192535712269,0.18422853386591537,1.1045529739077964,0.09016198521201998,15.0,0.5416666666666666,0.25,0.20833333333333334,0.14583333333333334,0.041666666666666664,0.041666666666666664,0.0,0.0
CENTRAL,reference_validation,REC_FAIL,44,0.0,0.06039038291279149,5.6269449715372115,0.06649659863945445,0.19261739915713433,0.4583039953781898,0.1090476541390332,15.0,0.45454545454545453,0.11363636363636363,0.18181818181818182,0.11363636363636363,0.06818181818181818,0.045454545454545456,0.0,0.0
CENTRAL,reference_validation,REC_TARGET,16,1.0,0.13233865371269876,2.0269841269841353,0.3933906657648081,0.12464631422189394,0.3874099149371313,0.17222767407974754,20.0,1.0,0.125,1.0,0.75,1.0,0.8125,1.0,1.0
CLOCK_SUPPORT,development,REC_FAIL,73,0.0,0.06135986733001501,5.518918918919087,0.08870967741935058,0.17126099706744563,0.6369134897361017,0.11564878995230597,15.0,0.6438356164383562,0.1917808219178082,0.3150684931506849,0.273972602739726,0.1643835616438356,0.1643835616438356,0.0,0.0
CLOCK_SUPPORT,development,REC_TARGET,31,0.967741935483871,0.0946511627906999,3.0520051638695564,0.34746922024623583,0.05677655677655711,0.622347949080615,0.1543212770256527,15.0,1.0,0.25806451612903225,1.0,0.5483870967741935,1.0,0.7741935483870968,1.0,0.967741935483871
CLOCK_SUPPORT,external,REC_TARGET,18,1.0,0.07448886992431901,4.515547440319159,0.3708946973646542,0.0599514315722801,0.4109159738988899,0.12005771778891786,30.0,1.0,0.4444444444444444,1.0,0.7222222222222222,1.0,0.9444444444444444,1.0,1.0
CLOCK_SUPPORT,external,REC_FAIL,50,0.0,0.04777887596744762,7.020905923344777,0.07699163858789355,0.15794139652832123,0.7883542543944688,0.08325690518162332,15.0,0.46,0.2,0.22,0.2,0.04,0.04,0.0,0.0
CLOCK_SUPPORT,reference_validation,REC_FAIL,49,0.0,0.06698564593301475,4.971428571428537,0.07188160676532858,0.17777777777777287,0.4562876437305685,0.11813646713647614,20.0,0.5306122448979592,0.16326530612244897,0.30612244897959184,0.22448979591836735,0.10204081632653061,0.08163265306122448,0.0,0.0
CLOCK_SUPPORT,reference_validation,REC_TARGET,25,1.0,0.10602910602910409,2.7725490196079123,0.355932203389834,0.05762711864406832,0.4080680890753974,0.14821206871925427,15.0,1.0,0.24,1.0,0.76,1.0,0.92,1.0,1.0
REF_SUPPORT,development,REC_TARGET,43,0.9534883720930233,0.10419287211740315,2.7484644710366855,0.37006145741878277,0.0701754385964874,0.5411705936225197,0.1543212770256527,10.0,1.0,0.27906976744186046,1.0,0.5813953488372093,1.0,0.7674418604651163,1.0,0.9534883720930233
REF_SUPPORT,development,REC_FAIL,75,0.0,0.06722689075630102,4.950000000000133,0.08533333333333153,0.1830792301924521,0.6306760847628046,0.11805259539279515,20.0,0.64,0.21333333333333335,0.37333333333333335,0.26666666666666666,0.18666666666666668,0.18666666666666668,0.0,0.0
REF_SUPPORT,external,REC_TARGET,18,1.0,0.09504740316791835,3.230949245770533,0.35941107230512104,0.05711872796047329,0.8028701878191324,0.14979053528765085,22.5,1.0,0.2777777777777778,1.0,0.6111111111111112,1.0,0.8333333333333334,1.0,1.0
REF_SUPPORT,external,REC_FAIL,44,0.0,0.058770138983092274,5.614765100671264,0.07015692058908796,0.19631734340184792,0.9483796724686078,0.09876501223282055,17.5,0.5681818181818182,0.22727272727272727,0.3409090909090909,0.25,0.06818181818181818,0.06818181818181818,0.0,0.0
REF_SUPPORT,reference_validation,REC_FAIL,43,0.0,0.08441558441558111,3.738461538461724,0.0666666666666661,0.21794871794871068,0.3194377894905065,0.11611058324806932,15.0,0.5116279069767442,0.13953488372093023,0.18604651162790697,0.11627906976744186,0.046511627906976744,0.023255813953488372,0.0,0.0
REF_SUPPORT,reference_validation,REC_TARGET,17,1.0,0.1389961389961331,1.8777777777778997,0.3938223938223972,0.1234567901234582,0.3963759909399456,0.19151148702074572,15.0,1.0,0.058823529411764705,1.0,0.5882352941176471,1.0,0.7058823529411765,1.0,1.0
