local_date,weekday,reference_start_utc,reference_end_utc,execution_start_utc,execution_end_utc,H,L,R,qualified,reason,hi_visits,lo_visits,k1_start,k1_signal,leave,leave_start,leave_ts,terminal,terminal_start,minutes_leave_to_h2
2022-01-02,Sunday,2022-01-01 18:00:00+00:00,2022-01-01 22:00:00+00:00,2022-01-01 22:00:00+00:00,2022-01-02 02:00:00+00:00,527.39,522.41,4.980000000000018,True,,1,0,2022-01-01 23:50:00+00:00,2022-01-01 23:55:00+00:00,False,,,BREAK_DURING_K1,2022-01-02 00:00:00+00:00,
2022-01-03,Monday,2022-01-02 18:00:00+00:00,2022-01-02 22:00:00+00:00,2022-01-02 22:00:00+00:00,2022-01-03 02:00:00+00:00,530.98,523.29,7.690000000000055,True,,1,0,2022-01-02 22:30:00+00:00,2022-01-02 22:35:00+00:00,False,,,BREAK_DURING_K1,2022-01-02 22:35:00+00:00,
2022-01-04,Tuesday,2022-01-03 18:00:00+00:00,2022-01-03 22:00:00+00:00,2022-01-03 22:00:00+00:00,2022-01-04 02:00:00+00:00,519.37,510.41,8.95999999999998,False,BREAK_BEFORE_K1,0,0,,,False,,,BREAK_BEFORE_K1,2022-01-04 00:20:00+00:00,
2022-01-05,Wednesday,2022-01-04 18:00:00+00:00,2022-01-04 22:00:00+00:00,2022-01-04 22:00:00+00:00,2022-01-05 02:00:00+00:00,515.66,505.52,10.139999999999986,False,OPPOSITE_VISIT_BEFORE_K1,0,1,,,False,,,OPPOSITE_VISIT_BEFORE_K1,2022-01-05 00:00:00+00:00,
2022-01-06,Thursday,2022-01-05 18:00:00+00:00,2022-01-05 22:00:00+00:00,2022-01-05 22:00:00+00:00,2022-01-06 02:00:00+00:00,509.68,480.0,29.680000000000007,False,BREAK_BEFORE_K1,0,0,,,False,,,BREAK_BEFORE_K1,2022-01-05 22:10:00+00:00,
2022-01-07,Friday,2022-01-06 18:00:00+00:00,2022-01-06 22:00:00+00:00,2022-01-06 22:00:00+00:00,2022-01-07 02:00:00+00:00,480.96,474.44,6.519999999999982,False,OPPOSITE_VISIT_BEFORE_K1,0,1,,,False,,,OPPOSITE_VISIT_BEFORE_K1,2022-01-06 22:10:00+00:00,
2022-01-08,Saturday,2022-01-07 18:00:00+00:00,2022-01-07 22:00:00+00:00,2022-01-07 22:00:00+00:00,2022-01-08 02:00:00+00:00,454.29,447.08,7.210000000000036,False,BREAK_BEFORE_K1,0,0,,,False,,,BREAK_BEFORE_K1,2022-01-07 22:50:00+00:00,
2022-01-09,Sunday,2022-01-08 18:00:00+00:00,2022-01-08 22:00:00+00:00,2022-01-08 22:00:00+00:00,2022-01-09 02:00:00+00:00,435.81,415.46,20.350000000000023,False,BREAK_BEFORE_K1,0,0,,,False,,,BREAK_BEFORE_K1,2022-01-08 22:40:00+00:00,
2022-01-10,Monday,2022-01-09 18:00:00+00:00,2022-01-09 22:00:00+00:00,2022-01-09 22:00:00+00:00,2022-01-10 02:00:00+00:00,444.14,438.07,6.069999999999993,False,BREAK_BEFORE_K1,0,0,,,False,,,BREAK_BEFORE_K1,2022-01-09 23:20:00+00:00,
2022-01-11,Tuesday,2022-01-10 18:00:00+00:00,2022-01-10 22:00:00+00:00,2022-01-10 22:00:00+00:00,2022-01-11 02:00:00+00:00,425.6,415.64,9.960000000000036,False,NO_K1,0,0,,,False,,,NO_K1,,
