zone,entry_frac,distance,distance_r,partition,date_utc,signal_ts,fill_bar_start,entry_px,H,L,range,stop_px,E20_DOWN,session_end,activated,activation_bar_start,ratchets,final_ceiling,exit_bar_start,exit_ts,exit_px,exit_reason,net_pnl_usd,win,source_transition
F15,0.15,D30,0.3,external,2020-05-08,2020-05-08 23:15:00+00:00,2020-05-08 23:25:00+00:00,9890.357,10024.98,9866.6,158.3799999999992,9937.871,9834.924,2020-05-09 00:00:00+00:00,True,2020-05-08 23:45:00+00:00,0,9834.924,2020-05-08 23:50:00+00:00,2020-05-08 23:50:00+00:00,9834.924,PROFIT_CEILING_HIT,2.402376092187531,True,NY_TO_POSTNY_OFFSESSION
F15,0.15,D30,0.3,external,2020-12-17,2020-12-17 21:35:00+00:00,2020-12-17 21:40:00+00:00,22653.2,23748.0,22460.0,1288.0,23039.600000000002,22202.4,2020-12-18 00:00:00+00:00,False,,0,,2020-12-17 22:45:00+00:00,2020-12-17 22:45:00+00:00,23039.600000000002,PRE_ACT_HARD_STOP_TOUCH,-8.928596401391475,False,NY_TO_POSTNY_OFFSESSION
F15,0.15,D30,0.3,external,2020-12-28,2020-12-28 20:50:00+00:00,2020-12-28 20:55:00+00:00,26851.323,27538.82,26730.0,808.8199999999997,27093.969,26568.236,2020-12-29 00:00:00+00:00,True,2020-12-28 22:30:00+00:00,0,26568.236,2020-12-28 22:35:00+00:00,2020-12-28 22:35:00+00:00,26568.236,PROFIT_CEILING_HIT,4.871378993131903,True,NY_TO_POSTNY_OFFSESSION
F15,0.15,D30,0.3,external,2021-04-02,2021-04-02 21:20:00+00:00,2021-04-02 22:00:00+00:00,58716.057,59700.0,58542.42,1157.5800000000017,59063.331,58310.903999999995,2021-04-03 00:00:00+00:00,False,,0,,2021-04-02 23:20:00+00:00,2021-04-02 23:20:00+00:00,59063.331,PRE_ACT_HARD_STOP_TOUCH,-3.357231954454964,False,NY_TO_POSTNY_OFFSESSION
F15,0.15,D30,0.3,development,2022-08-08,2022-08-08 21:35:00+00:00,2022-08-08 21:40:00+00:00,23842.22,24222.0,23775.2,446.7999999999993,23976.260000000002,23685.84,2022-08-09 00:00:00+00:00,True,2022-08-08 22:40:00+00:00,0,23685.84,2022-08-08 22:45:00+00:00,2022-08-08 22:45:00+00:00,23704.2,PROFIT_CEILING_GAP_OPEN,2.4944452320295856,True,NY_TO_POSTNY_OFFSESSION
F15,0.15,D30,0.3,development,2022-10-06,2022-10-06 23:05:00+00:00,2022-10-06 23:10:00+00:00,19931.385000000002,20293.4,19867.5,425.90000000000146,20059.155000000002,19782.32,2022-10-07 00:00:00+00:00,False,,0,,2022-10-07 00:00:00+00:00,2022-10-07 00:00:00+00:00,19954.0,TIME_EXIT_SESSION_END,-0.9673213376792275,False,NY_TO_POSTNY_OFFSESSION
F15,0.15,D30,0.3,development,2023-01-30,2023-01-30 22:45:00+00:00,2023-01-30 22:50:00+00:00,22704.37,23295.8,22600.0,695.7999999999993,22913.11,22460.84,2023-01-31 00:00:00+00:00,False,,0,,2023-01-31 00:00:00+00:00,2023-01-31 00:00:00+00:00,22819.9,TIME_EXIT_SESSION_END,-2.9442238652735315,False,NY_TO_POSTNY_OFFSESSION
F15,0.15,D30,0.3,development,2023-02-09,2023-02-09 20:30:00+00:00,2023-02-09 20:35:00+00:00,22008.785,22840.0,21862.1,977.9000000000015,22302.155,21666.519999999997,2023-02-10 00:00:00+00:00,False,,0,,2023-02-10 00:00:00+00:00,2023-02-10 00:00:00+00:00,21793.3,TIME_EXIT_SESSION_END,4.495431528819049,True,NY_TO_POSTNY_OFFSESSION
F15,0.15,D30,0.3,development,2024-06-27,2024-06-27 20:30:00+00:00,2024-06-27 20:35:00+00:00,61543.895000000004,62379.7,61396.4,983.2999999999956,61838.885,61199.740000000005,2024-06-28 00:00:00+00:00,False,,0,,2024-06-28 00:00:00+00:00,2024-06-28 00:00:00+00:00,61682.1,TIME_EXIT_SESSION_END,-1.5228164873217094,False,NY_TO_POSTNY_OFFSESSION
F15,0.15,D30,0.3,development,2024-08-07,2024-08-07 20:55:00+00:00,2024-08-07 21:00:00+00:00,55070.6,57454.0,54650.0,2804.0,55911.799999999996,54089.2,2024-08-08 00:00:00+00:00,False,,0,,2024-08-08 00:00:00+00:00,2024-08-08 00:00:00+00:00,55102.9,TIME_EXIT_SESSION_END,-0.6932599245332179,False,NY_TO_POSTNY_OFFSESSION
F15,0.15,D30,0.3,development,2024-09-05,2024-09-05 22:25:00+00:00,2024-09-05 22:30:00+00:00,55991.0,57300.0,55760.0,1540.0,56453.0,55452.0,2024-09-06 00:00:00+00:00,False,,0,,2024-09-06 00:00:00+00:00,2024-09-06 00:00:00+00:00,56145.7,TIME_EXIT_SESSION_END,-1.7814720222892206,False,NY_TO_POSTNY_OFFSESSION
F15,0.15,D30,0.3,reference_validation,2025-05-28,2025-05-28 20:25:00+00:00,2025-05-28 20:35:00+00:00,107190.785,108943.4,106881.5,2061.899999999994,107809.355,106469.12,2025-05-29 00:00:00+00:00,False,,0,,2025-05-28 23:10:00+00:00,2025-05-28 23:10:00+00:00,107809.355,PRE_ACT_HARD_STOP_TOUCH,-3.285369297370044,False,NY_TO_POSTNY_OFFSESSION
F15,0.15,D30,0.3,reference_validation,2025-05-30,2025-05-30 23:35:00+00:00,2025-05-30 23:45:00+00:00,103994.12,105943.0,103650.2,2292.800000000003,104681.95999999999,103191.64,2025-05-31 00:00:00+00:00,False,,0,,2025-05-31 00:00:00+00:00,2025-05-31 00:00:00+00:00,103949.9,TIME_EXIT_SESSION_END,-0.18739182561476853,False,NY_TO_POSTNY_OFFSESSION
F15,0.15,D30,0.3,reference_validation,2025-08-01,2025-08-01 20:20:00+00:00,2025-08-01 20:30:00+00:00,113565.02,115782.5,113173.7,2608.800000000003,114347.66,112651.94,2025-08-02 00:00:00+00:00,False,,0,,2025-08-02 00:00:00+00:00,2025-08-02 00:00:00+00:00,113244.8,TIME_EXIT_SESSION_END,1.0098531396375403,True,NY_TO_POSTNY_OFFSESSION
F15,0.15,D30,0.3,reference_validation,2025-11-04,2025-11-04 20:35:00+00:00,2025-11-04 20:40:00+00:00,100703.0,104800.0,99980.0,4820.0,102149.0,99016.0,2025-11-05 00:00:00+00:00,True,2025-11-04 21:35:00+00:00,0,99016.0,2025-11-04 21:40:00+00:00,2025-11-04 21:40:00+00:00,99231.1,PROFIT_CEILING_GAP_OPEN,6.908123889059881,True,NY_TO_POSTNY_OFFSESSION
F15,0.15,D30,0.3,reference_validation,2025-12-22,2025-12-22 20:30:00+00:00,2025-12-22 20:40:00+00:00,88288.48,90451.9,87906.7,2545.199999999997,89052.04,87397.66,2025-12-23 00:00:00+00:00,False,,0,,2025-12-23 00:00:00+00:00,2025-12-23 00:00:00+00:00,88581.5,TIME_EXIT_SESSION_END,-2.059446396630737,False,NY_TO_POSTNY_OFFSESSION
