start_min_wib,start_wib,reference_end_wib,reference_duration_min,sessions,k1_qualified,causal_leave,h2,opposite_break_before_h2,ambiguous_h2_vs_opposite,no_h2_by_end,h2_rate,resolved_h2_share,median_minutes_leave_to_h2,high_strength
0,00:00,05:00,300,1095,246,146,111,7,0,28,0.7602739726027398,0.940677966101695,25.0,True
30,00:30,05:00,270,1095,260,158,124,11,0,23,0.7848101265822784,0.9185185185185185,25.0,True
60,01:00,05:00,240,1095,269,162,132,9,0,21,0.8148148148148148,0.9361702127659575,25.0,True
90,01:30,05:00,210,1095,282,167,137,15,0,15,0.8203592814371258,0.9013157894736842,25.0,True
120,02:00,05:00,180,1095,292,167,135,18,0,14,0.8083832335329342,0.8823529411764706,20.0,True
150,02:30,05:00,150,1095,313,184,148,24,0,12,0.8043478260869565,0.8604651162790697,15.0,True
