family,lookback_min,state_bin,hold_min,N,WR,net,exp,PF,DD,LS,formal_pass,pooled_gate,era_gate,wr55_years,min_forward_exp,min_year_exp,min_year_wr,N_2022,WR_2022,net_2022,exp_2022,PF_2022,DD_2022,LS_2022,N_2023,WR_2023,net_2023,exp_2023,PF_2023,DD_2023,LS_2023,N_2024,WR_2024,net_2024,exp_2024,PF_2024,DD_2024,LS_2024
RV,240,HIGH,720,191,53.403141361256544,100.2322797232883,0.5247763336297817,1.084989108064664,308.30423248127454,7,False,False,False,2,1.835874540025387,-0.5488970191495041,50.81967213114754,122,50.81967213114754,-66.96543633623949,-0.5488970191495041,0.9280931170173188,308.30423248127454,7,16,62.5,29.373992640406193,1.835874540025387,1.7209877681056243,29.221282090580303,3,53,56.60377358490566,137.82372341912154,2.6004476116815383,1.664745159513739,53.63324155728471,3
RV,360,HIGH,720,184,50.54347826086957,-79.33199873234315,-0.4311521670236041,0.9375666646238978,271.6078609997325,6,False,False,False,1,1.4379089919987798,-1.6260924587712307,48.837209302325576,122,49.18032786885246,-198.38327997009014,-1.6260924587712307,0.805330660308269,271.6078609997325,6,19,63.1578947368421,57.22119458179945,3.011641820094708,2.101538958252005,19.73558993159316,2,43,48.837209302325576,61.830086655947525,1.4379089919987798,1.3097039880867851,61.166529224461584,4
DRIVE,120,HIGH,960,329,48.93617021276596,140.34936782738185,0.42659382318353145,1.08774680055135,237.07945757491837,7,False,False,False,0,1.3353341098952045,-1.4089270212159495,45.535714285714285,122,51.63934426229508,-171.88909658834584,-1.4089270212159495,0.8221680530159734,237.07945757491837,7,95,49.473684210526315,126.85674044004442,1.3353341098952045,1.4283592653245303,81.24766486064438,7,112,45.535714285714285,185.38172397568331,1.655193964068601,1.5504959863751502,66.51159290077209,5
RV,360,HIGH,960,184,52.17391304347826,-78.59131800817957,-0.4271267283053238,0.9431161597087483,334.829788974476,6,False,False,False,0,1.3253237860088372,-1.580554629450377,42.10526315789473,122,53.278688524590166,-192.827664792946,-1.580554629450377,0.8289569062818989,334.829788974476,6,19,42.10526315789473,25.181151934167907,1.3253237860088372,1.4186802584784528,31.10910999274055,3,43,53.48837209302325,89.05519485059848,2.071051043037174,1.4588027265055783,43.716396678435544,3
DRIVE,60,HIGH,960,366,51.36612021857923,155.07079752304134,0.42369070361486705,1.0872905835051527,286.06569354787774,8,False,False,False,1,1.2596855220052536,-1.8726031159662981,47.540983606557376,122,47.540983606557376,-228.45758014788836,-1.8726031159662981,0.7585055383373894,286.06569354787774,5,114,55.26315789473685,219.76925981024664,1.9278005246512864,1.6497297438243428,56.97390730030802,8,130,51.53846153846153,163.75911786068298,1.2596855220052536,1.3326906379304122,115.42055377255933,5
DRIVE,120,HIGH,720,329,47.11246200607903,133.10405247983942,0.4045715880846183,1.0894749120016438,210.91719021249818,7,False,False,False,0,1.2350712820566963,-1.2652113856971803,46.42857142857143,122,46.72131147540984,-154.355789055056,-1.2652113856971803,0.8235321256591775,210.91719021249818,7,95,48.421052631578945,117.33177179538615,1.2350712820566963,1.4083448420232672,88.71244155119219,4,112,46.42857142857143,170.12806973950916,1.519000622674189,1.5225354980378951,79.84405990059687,6
TREND,360,HIGH,960,324,49.074074074074076,134.6910074808464,0.415712986051995,1.081476502943277,172.04669557073922,9,False,False,False,0,1.2162772843468566,-0.9766229549327943,44.44444444444444,122,52.459016393442624,-119.14800050180091,-0.9766229549327943,0.8760562683307301,172.04669557073922,5,85,50.588235294117645,103.38356916948281,1.2162772843468566,1.3505389129811793,64.09384554998161,5,117,44.44444444444444,150.45543881316445,1.285943921480038,1.3790837885874834,125.6522482981275,9
TREND,120,HIGH,960,296,52.02702702702703,192.90099260887328,0.6516925425975448,1.1254406793734821,183.85086534776582,7,False,False,False,0,1.0532388412523062,-1.1605011108210659,49.523809523809526,122,53.278688524590166,-141.58113552017005,-1.1605011108210659,0.8546831032242159,183.85086534776582,7,69,53.62318840579711,72.67348004640913,1.0532388412523062,1.2970293094758583,95.14325130673957,7,105,49.523809523809526,261.80864808263414,2.493415696025087,1.8211632461874214,52.82564288046635,5
RANGE_POS,360,HIGH,960,346,48.554913294797686,31.618061955758947,0.09138168195306054,1.0183416799059393,288.27628657761636,6,False,False,False,0,0.9962468630065208,-1.6210399919135803,46.28099173553719,122,50.0,-197.7668790134568,-1.6210399919135803,0.8012043578813938,288.27628657761636,5,103,49.51456310679612,108.83907054542667,1.0566900052954045,1.3430432465968567,102.8433153725993,6,121,46.28099173553719,120.54587042378901,0.9962468630065208,1.2927741973041005,147.3700995465762,5
EFFICIENCY,30,MID,960,330,46.96969696969697,24.733200599424464,0.07494909272552867,1.0164053682296643,274.310456683684,9,False,False,False,0,0.9908222520192042,-1.8292423526404231,41.32231404958678,121,41.32231404958678,-221.3383246694912,-1.8292423526404231,0.7098437532261435,274.310456683684,9,101,49.504950495049506,100.07304745393962,0.9908222520192042,1.4037794959918282,58.37376698034019,7,108,50.92592592592593,145.99847781497607,1.3518377575460747,1.2937813524682016,199.2649899617637,7
EFFICIENCY,30,MID,720,330,46.36363636363636,92.24505674254053,0.2795304749773955,1.0655414635986764,236.0497844201665,8,False,False,False,0,0.9246277650291372,-1.1605688468434479,41.32231404958678,121,41.32231404958678,-140.42883046805719,-1.1605688468434479,0.7966052037659468,236.0497844201665,8,101,47.524752475247524,93.38740426794286,0.9246277650291372,1.372889968268241,66.04825997779268,8,108,50.92592592592593,139.28648294265486,1.2896896568764338,1.298537109132955,181.9468671738361,7
