feature,partition,bucket,n,long_rate,short_rate,D,none_rate,ambiguous_rate,median_fwd_ret_4h,median_max_up_4h,median_max_down_4h
btcd_chg_24h,development,LOW,23424,0.3947233606557377,0.43510928961748635,-0.04038592896174864,0.16961236338797814,0.0005549863387978142,-0.0001515327661397725,0.009585371845077684,-0.010524991780108517
btcd_chg_24h,development,MID,23424,0.4061646174863388,0.4102629781420765,-0.0040983606557377095,0.1832735655737705,0.00029883879781420766,0.00024573724885568193,0.009434728347954113,-0.009509150742540606
btcd_chg_24h,development,HIGH,23328,0.4339849108367627,0.43171296296296297,0.002271947873799751,0.1332733196159122,0.00102880658436214,0.0007195188255190166,0.010903986377799324,-0.010690266255210912
btcd_chg_24h,validation_2025,LOW,11040,0.3788949275362319,0.4176630434782609,-0.038768115942029,0.20307971014492754,0.00036231884057971015,-0.00017144949873865167,0.0084409471505279,-0.00936246973505317
btcd_chg_24h,validation_2025,MID,12768,0.38612155388471175,0.3983395989974937,-0.012218045112781961,0.21452067669172933,0.0010181704260651629,0.00020924501657504369,0.008630977942342133,-0.008860318810506973
btcd_chg_24h,validation_2025,HIGH,11232,0.422275641025641,0.42263176638176636,-0.00035612535612533636,0.15384615384615385,0.0012464387464387464,0.00044864434240121653,0.010390966504125188,-0.01016495749108609
btcd_chg_24h,validation_2026,LOW,8640,0.31296296296296294,0.3524305555555556,-0.03946759259259264,0.334375,0.0002314814814814815,-0.00034645110837949744,0.006960269194850044,-0.007658037679618923
btcd_chg_24h,validation_2026,MID,11232,0.27136752136752135,0.2811609686609687,-0.009793447293447333,0.4468482905982906,0.0006232193732193732,0.0,0.005920033603408759,-0.0061439629309247845
btcd_chg_24h,validation_2026,HIGH,5745,0.32602262837249785,0.33542210617928636,-0.009399477806788514,0.33803307223672757,0.0005221932114882506,0.00013397642015022804,0.007125044531528513,-0.007436146136437172
usdtd_chg_24h,development,LOW,23424,0.41986851092896177,0.43865266393442626,-0.018784153005464488,0.140838456284153,0.0006403688524590163,-0.00015606924735389605,0.010235626107671814,-0.010761623412805899
usdtd_chg_24h,development,MID,23424,0.38413592896174864,0.41175717213114754,-0.0276212431693989,0.20350922131147542,0.0005976775956284153,-8.211758782061818e-05,0.008858441051646793,-0.009526520738871391
usdtd_chg_24h,development,HIGH,23328,0.43085562414266115,0.42665466392318246,0.004200960219478689,0.14184670781893005,0.0006430041152263374,0.0010324003797984593,0.01095572093053554,-0.010427334815082512
usdtd_chg_24h,validation_2025,LOW,11232,0.4039351851851852,0.3991274928774929,0.004807692307692291,0.1962250712250712,0.0007122507122507123,-0.00010743898022291809,0.00903673356648349,-0.009216126469468955
usdtd_chg_24h,validation_2025,MID,10368,0.36766975308641975,0.39467592592592593,-0.027006172839506182,0.23755787037037038,9.645061728395061e-05,-0.00015702042865972654,0.00797766254487442,-0.008583381635413168
usdtd_chg_24h,validation_2025,HIGH,13440,0.4097470238095238,0.4366815476190476,-0.02693452380952377,0.1519345238095238,0.001636904761904762,0.000635497969650789,0.010084839518149091,-0.01045361564940478
usdtd_chg_24h,validation_2026,LOW,7584,0.31447784810126583,0.3337289029535865,-0.019251054852320648,0.3515295358649789,0.00026371308016877635,-0.00036119822432600923,0.00679151951812651,-0.007353722881167701
usdtd_chg_24h,validation_2026,MID,8928,0.2553763440860215,0.2619847670250896,-0.006608422939068104,0.4826388888888889,0.0,0.00011683781584292952,0.005561854470143568,-0.005727633410715083
usdtd_chg_24h,validation_2026,HIGH,9105,0.32509610104338277,0.35804503020318507,-0.0329489291598023,0.3157605711147721,0.001098297638660077,0.00011640088464681675,0.007353873462660143,-0.007904590209402262
