threshold,depth_R,reached_count,share_all_leaves,h2,opposite_break,ambiguous,no_h2_by_end,h2_recovery_rate,threshold_to_h2_p25_min,threshold_to_h2_median_min,threshold_to_h2_p75_min,threshold_to_h2_p90_min
P10,0.1,111,0.6851851851851852,82,9,0,20,0.7387387387387387,20.0,30.0,68.75,130.0
P20,0.2,93,0.5740740740740741,64,9,0,20,0.6881720430107527,23.75,35.0,80.0,130.0
P35,0.35,57,0.35185185185185186,31,9,0,17,0.543859649122807,32.5,55.0,85.0,150.0
P50,0.5,42,0.25925925925925924,20,9,0,13,0.47619047619047616,38.75,57.5,90.0,107.00000000000003
