first_close_depth_bin,count,share_all_leaves,h2,h2_outcome_rate,opposite_break,ambiguous,no_h2_by_end,first_bar_is_h2_terminal
LE_0.10R,53,0.3271604938271605,51,0.9622641509433962,1,0,1,28
GT_0.10_TO_0.20R,55,0.3395061728395062,44,0.8,2,0,9,1
GT_0.20_TO_0.35R,33,0.2037037037037037,22,0.6666666666666666,2,0,9,1
GT_0.35_TO_0.50R,14,0.08641975308641975,11,0.7857142857142857,3,0,0,0
GT_0.50R,6,0.037037037037037035,4,0.6666666666666666,1,0,1,0
MISSING_FIRST_POST_LEAVE_BAR,1,0.006172839506172839,0,0.0,0,0,1,0
