date,entry_t,pred_win_p,trade_p50,actual_a511_pnl,actual_win,mfe,developed
2026-08-04,2026-08-03 23:00:00+00:00,0.710062049274242,True,-4.7500000000000036,False,0.00467701249929231,False
2026-08-11,2026-08-10 23:00:00+00:00,0.5430755518765568,True,-0.8242332486813879,False,0.0019316272709513083,False
2026-08-18,2026-08-17 23:00:00+00:00,0.6663290718588463,True,-0.10348449296379503,False,0.004163839944233194,False
