period,cohort,n,share,median_mfe_r,median_giveback_r,event_positive_rate
HIST_2020_2024,LARGE_LOSS,19,0.5588235294117647,0.47885032537961636,1.4788503253796164,0.10526315789473684
HIST_2020_2024,SMALL_WIN,2,0.058823529411764705,0.6707684231307655,0.2445147887576707,1.0
HIST_2020_2024,STRONG_WIN,13,0.38235294117647056,1.5159731543624162,0.24975559557499571,1.0
RETRO_2025,LARGE_LOSS,5,0.4166666666666667,0.6549264378065046,1.6549264378065045,0.0
RETRO_2025,SMALL_WIN,2,0.16666666666666666,1.1293337630645985,0.6615950006069318,1.0
RETRO_2025,STRONG_WIN,5,0.4166666666666667,1.9106753812636714,0.36418450406993985,1.0
RETRO_2026_PRE,LARGE_LOSS,7,0.7,0.24907063197026635,1.2490706319702665,0.0
RETRO_2026_PRE,STRONG_WIN,3,0.3,1.4497607655502707,0.6698564593301678,0.6666666666666666
