signal_ts,entry_ts,friday_wib,period,direction,avg_ticket,ticket_z7d,taker_imbalance,close_pos,pnl,win,reason
2023-12-07 23:45:00+00:00,2023-12-08 00:00:00+00:00,2023-12-08,discovery,SHORT,6739.831656451242,2.711113872499416,-0.011374154044260454,0.22886204704386098,-7.249999999999999,0,SL
2023-12-08 07:15:00+00:00,2023-12-08 07:30:00+00:00,2023-12-08,discovery,SHORT,6300.851581853043,2.2489930065882175,-0.20134577027548162,0.1797642436149156,-7.249999999999999,0,SL
2023-12-14 20:15:00+00:00,2023-12-14 20:30:00+00:00,2023-12-15,discovery,SHORT,5625.965758958031,2.1707691803333575,-0.20198142948363274,0.27622999407231386,-7.249999999999999,0,SL
2023-12-21 17:45:00+00:00,2023-12-21 18:00:00+00:00,2023-12-22,discovery,SHORT,5038.756907353016,2.0918020249726617,-0.17727870184404804,0.4694715238583854,-7.249999999999999,0,SL
2023-12-22 01:00:00+00:00,2023-12-22 01:15:00+00:00,2023-12-22,discovery,LONG,5075.257454378981,2.1606096330238054,0.21757988654334026,0.740856031128382,-7.249999999999999,0,SL
2023-12-29 07:30:00+00:00,2023-12-29 07:45:00+00:00,2023-12-29,discovery,SHORT,5165.352579285022,2.084001983822497,-0.15841925392842504,0.43153089887640517,-7.249999999999999,0,SL
2023-12-29 11:15:00+00:00,2023-12-29 11:30:00+00:00,2023-12-29,discovery,LONG,5379.254832693266,2.3636458397068316,0.20997868706864597,0.5499067164179136,-7.249999999999999,0,SL
2023-12-29 13:15:00+00:00,2023-12-29 13:30:00+00:00,2023-12-29,discovery,SHORT,5287.283850776908,2.209288050563219,-0.2131724796525406,0.07468879668049792,5.75,1,TP
2023-12-29 14:30:00+00:00,2023-12-29 14:45:00+00:00,2023-12-29,discovery,LONG,5396.685667853412,2.3443224599128194,0.2704928054942566,0.7202432667245939,-7.249999999999999,0,SL
2024-01-12 00:30:00+00:00,2024-01-12 00:45:00+00:00,2024-01-12,discovery,LONG,4690.355798111538,2.165722259988662,0.04435530619410022,0.8578421774035657,-7.249999999999999,0,SL
