rule,partition,trades,wr,pf,exp,total,accept_rate,e20_rate,preinvalid,reclaim_exits,time_exits,med_trough_ext,med_exit_ext,med_capture,med_giveback,b27ad_fixed_total,b27ad_hybrid_total
BLIND_F15,external,50,0.56,2.1600967873900587,1.4618690558459406,73.09345279229703,0.64,0.4,6,23,21,0.3182497507588448,-0.02099440420916705,0.0,0.2810656711441246,40.88550763278454,45.38940247643859
BLIND_F15,development,79,0.4177215189873418,0.5156430446388166,-0.8558229511990706,-67.61001314472658,0.6075949367088608,0.4810126582278481,23,40,16,0.35553848833263224,-0.03470658569195839,0.0,0.3711818768859558,-22.548661499627013,-21.484136251984076
BLIND_F15,reference_validation,34,0.47058823529411764,0.5156012808484991,-0.9838941483585133,-33.45240104418945,0.5882352941176471,0.4411764705882353,11,16,7,0.27453709326430786,-0.03120272708676547,0.0,0.2649490519289581,-30.002444584673604,-38.96368214144347
BLIND_F15,august,1,0.0,0.0,-2.41989561044702,-2.41989561044702,0.0,0.0,1,0,0,,,,,-2.41989561044702,-2.41989561044702
BLIND_F15,POOLED_MAJOR,163,0.4723926380368098,0.8970416424209471,-0.1715887202246565,-27.968961396619008,0.6134969325153374,0.44785276073619634,40,79,44,0.32856835906414206,-0.03186746483589607,0.0,0.32311613649965815,-11.66559845151608,-15.058415916988954
EARLY_REJECT,external,42,0.5,2.3457652424083717,1.600265798383847,67.21116353212157,0.7142857142857143,0.42857142857142855,4,21,17,0.3182497507588448,-0.019182156632732223,0.0,0.2810656711441246,24.64909884813264,31.118794741716513
EARLY_REJECT,development,56,0.4107142857142857,0.6440250175726963,-0.5801843344185206,-32.49032272743715,0.625,0.4642857142857143,13,28,15,0.30266048328045125,-0.03125,0.0,0.28307367309215875,-11.216197165729277,-4.391201797510714
EARLY_REJECT,reference_validation,22,0.45454545454545453,0.681556594788981,-0.6779329931374217,-14.914525849023278,0.5909090909090909,0.45454545454545453,6,9,7,0.2627610208816687,-0.027141133896260553,0.0,0.2182258665672733,-21.117218963468765,-29.53674078334681
EARLY_REJECT,august,1,0.0,0.0,-2.725815513533058,-2.725815513533058,0.0,0.0,1,0,0,,,,,-2.725815513533058,-2.725815513533058
EARLY_REJECT,POOLED_MAJOR,120,0.45,1.1053248421977793,0.1650526246305096,19.80631495566115,0.65,0.45,23,58,39,0.3016673710398464,-0.029895027698536088,0.0,0.27257163179561683,-7.684317281065416,-2.809147839141012
SAME_BAR_REJECTION,external,25,0.48,2.6577210686058015,2.093913699167352,52.347842479183804,0.72,0.4,3,13,9,0.29530115639107113,-0.032732911717373206,0.0,0.3252815484045193,3.9315277264201445,9.54773493837975
SAME_BAR_REJECTION,development,25,0.4,0.722446837399799,-0.38475674966909046,-9.618918741727262,0.68,0.48,6,13,6,0.30266048328045125,-0.03792392300641866,0.0,0.28307367309215875,-8.264289776715499,-14.964438754397118
SAME_BAR_REJECTION,reference_validation,12,0.4166666666666667,0.427222447869146,-1.2621600515836595,-15.145920619003913,0.5833333333333334,0.3333333333333333,4,6,2,0.2031308237048086,-0.027141133896260553,0.0,0.2182258665672733,-23.154610166829045,-24.284887584959918
SAME_BAR_REJECTION,august,1,0.0,0.0,-2.725815513533058,-2.725815513533058,0.0,0.0,1,0,0,,,,,-2.725815513533058,-2.725815513533058
SAME_BAR_REJECTION,POOLED_MAJOR,62,0.43548387096774194,1.2976242684298587,0.4448871470718165,27.583003118452623,0.6774193548387096,0.41935483870967744,13,32,17,0.2787187766720728,-0.0319459972605729,0.0,0.30291500769020246,-27.48737221712441,-29.701591400977293
