audit,pass,value,detail
stage3_valid,True,True,
no_2025_2026_rows,True,"[2023, 2024]",
final_regime_only_three_classes,True,"['BEAR', 'BULL', 'SIDEWAYS']",
transition_is_separate_flag,True,bool,
confidence_in_0_1,True,"[0.051127676000721295, 0.9821710277592484]",
prefix_causality_all_checkpoints,True,4/4,
all_switches_obey_frozen_rules,True,[],
no_future_outcome_fields,True,[],
nondegenerate_final_class_shares,True,"{'BULL': 0.21448928408572732, 'BEAR': 0.2181372549019608, 'SIDEWAYS': 0.5673734610123119}",
transition_share_5_to_60pct,True,0.5454286365709075,
final_switches_le_70pct_raw,True,"{'raw': 1778, 'final': 317, 'ratio': 0.1782902137232846}",
onebar_final_runs_le_10pct,True,0.0,
median_duration_not_lower_than_raw,True,"{'BULL': {'raw': 4.0, 'final': 36.5, 'pass': True}, 'BEAR': {'raw': 4.0, 'final': 32.0, 'pass': True}, 'SIDEWAYS': {'raw': 6.0, 'final': 40.0, 'pass': True}}",
