partition,event_ts,event_complete_ts,event_hour_utc,event_hour_wib,prior3_high,prior3_low,event_open,event_high,event_low,event_close,regime_effective_ts,regime,entry_ts,entry_open,close1h,close3h,long_positive_1h,long_positive_3h,signed_ret_1h,signed_ret_3h
external,2020-01-01 08:00:00+00:00,2020-01-01 09:00:00+00:00,8,15:00,7230.0,7193.52,7205.26,7206.29,7174.0,7195.24,2020-01-01 08:00:00+00:00,SIDEWAYS,2020-01-01 09:00:00+00:00,7195.23,7184.45,7192.65,False,False,-0.0014982147895202802,-0.0003585708865456727
external,2020-01-02 04:00:00+00:00,2020-01-02 05:00:00+00:00,4,11:00,7208.3,7121.0,7126.94,7159.3,7112.06,7139.36,2020-01-02 04:00:00+00:00,SIDEWAYS,2020-01-02 05:00:00+00:00,7139.65,7135.44,7107.56,False,False,-0.0005896647594769711,-0.004494618083519364
external,2020-01-03 19:00:00+00:00,2020-01-03 20:00:00+00:00,19,02:00,7407.28,7289.06,7340.33,7347.0,7276.35,7338.9,2020-01-03 20:00:00+00:00,SIDEWAYS,2020-01-03 20:00:00+00:00,7338.91,7315.05,7296.78,False,False,-0.0032511640011936294,-0.005740634508394349
external,2020-01-05 18:00:00+00:00,2020-01-05 19:00:00+00:00,18,01:00,7478.0,7427.6,7460.4,7465.55,7420.0,7436.25,2020-01-05 16:00:00+00:00,SIDEWAYS,2020-01-05 19:00:00+00:00,7436.25,7441.83,7366.12,True,False,0.0007503782148259308,-0.009430828710707662
external,2020-01-08 08:00:00+00:00,2020-01-08 09:00:00+00:00,8,15:00,8381.87,8280.0,8301.5,8333.0,8267.0,8316.94,2020-01-08 08:00:00+00:00,BULL,2020-01-08 09:00:00+00:00,8316.49,8299.8,8335.28,False,True,-0.00200685625786845,0.002259366631836457
external,2020-01-09 04:00:00+00:00,2020-01-09 05:00:00+00:00,4,11:00,8039.63,7937.03,7958.0,7980.73,7930.0,7971.0,2020-01-09 04:00:00+00:00,BULL,2020-01-09 05:00:00+00:00,7970.0,7944.07,7953.76,False,False,-0.003253450439146821,-0.0020376411543286954
external,2020-01-11 08:00:00+00:00,2020-01-11 09:00:00+00:00,8,15:00,8156.0,8048.0,8079.17,8102.82,8040.6,8056.21,2020-01-11 08:00:00+00:00,BULL,2020-01-11 09:00:00+00:00,8056.25,8121.0,8049.81,True,False,0.008037238169123384,-0.0007993793638478852
external,2020-01-20 08:00:00+00:00,2020-01-20 09:00:00+00:00,8,15:00,8699.0,8645.29,8667.98,8686.0,8601.0,8648.08,2020-01-20 08:00:00+00:00,SIDEWAYS,2020-01-20 09:00:00+00:00,8646.71,8665.88,8622.74,True,False,0.0022170282107298878,-0.0027721526453413636
external,2020-01-21 08:00:00+00:00,2020-01-21 09:00:00+00:00,8,15:00,8685.0,8630.0,8639.96,8672.0,8619.17,8662.99,2020-01-21 08:00:00+00:00,SIDEWAYS,2020-01-21 09:00:00+00:00,8663.0,8637.53,8662.99,False,False,-0.002940090038092924,-1.1543345261877391e-06
external,2020-01-21 18:00:00+00:00,2020-01-21 19:00:00+00:00,18,01:00,8682.7,8628.19,8654.35,8654.95,8624.16,8638.85,2020-01-21 16:00:00+00:00,SIDEWAYS,2020-01-21 19:00:00+00:00,8638.84,8536.51,8738.04,False,True,-0.011845340346620548,0.011483023183668228
external,2020-01-23 18:00:00+00:00,2020-01-23 19:00:00+00:00,18,01:00,8406.0,8327.0,8340.23,8372.0,8326.0,8350.36,2020-01-23 16:00:00+00:00,SIDEWAYS,2020-01-23 19:00:00+00:00,8350.17,8379.34,8403.16,True,True,0.0034933420517186953,0.006345978584867185
external,2020-01-28 08:00:00+00:00,2020-01-28 09:00:00+00:00,8,15:00,9087.34,8977.61,9048.02,9050.0,8974.2,9004.77,2020-01-28 08:00:00+00:00,BULL,2020-01-28 09:00:00+00:00,9004.75,8987.26,9089.93,False,True,-0.0019423082262138847,0.009459451955912135
external,2020-02-02 04:00:00+00:00,2020-02-02 05:00:00+00:00,4,11:00,9356.72,9252.66,9273.84,9339.0,9160.01,9327.95,2020-02-02 04:00:00+00:00,SIDEWAYS,2020-02-02 05:00:00+00:00,9328.96,9319.0,9379.19,False,True,-0.0010676431242067075,0.00538430864748074
external,2020-02-04 04:00:00+00:00,2020-02-04 05:00:00+00:00,4,11:00,9361.52,9271.18,9293.8,9327.27,9259.18,9274.74,2020-02-04 04:00:00+00:00,SIDEWAYS,2020-02-04 05:00:00+00:00,9278.59,9296.76,9284.0,True,True,0.001958271677054313,0.0005830627282807921
external,2020-02-04 19:00:00+00:00,2020-02-04 20:00:00+00:00,19,02:00,9242.93,9175.42,9194.15,9205.68,9175.0,9187.0,2020-02-04 20:00:00+00:00,SIDEWAYS,2020-02-04 20:00:00+00:00,9186.73,9205.0,9202.45,True,True,0.0019887381037648755,0.0017111638199882595
external,2020-02-06 08:00:00+00:00,2020-02-06 09:00:00+00:00,8,15:00,9705.0,9617.07,9641.01,9674.0,9612.3,9652.39,2020-02-06 08:00:00+00:00,BULL,2020-02-06 09:00:00+00:00,9652.38,9668.0,9708.4,True,True,0.0016182537363842453,0.0058037499559695505
external,2020-02-06 18:00:00+00:00,2020-02-06 19:00:00+00:00,18,01:00,9849.0,9745.01,9781.63,9789.34,9726.0,9777.0,2020-02-06 16:00:00+00:00,BULL,2020-02-06 19:00:00+00:00,9777.01,9755.26,9757.6,False,False,-0.0022246065003513893,-0.001985269525141109
external,2020-02-06 19:00:00+00:00,2020-02-06 20:00:00+00:00,19,02:00,9849.0,9726.0,9777.01,9782.92,9723.5,9755.26,2020-02-06 20:00:00+00:00,BULL,2020-02-06 20:00:00+00:00,9754.11,9790.06,9699.61,True,False,0.003685625854127128,-0.005587388290679507
external,2020-02-07 04:00:00+00:00,2020-02-07 05:00:00+00:00,4,11:00,9867.3,9780.0,9788.15,9821.78,9751.0,9801.06,2020-02-07 04:00:00+00:00,BULL,2020-02-07 05:00:00+00:00,9801.02,9761.57,9804.63,False,True,-0.004025091266011138,0.00036832901065375623
external,2020-02-10 19:00:00+00:00,2020-02-10 20:00:00+00:00,19,02:00,9902.34,9822.0,9853.18,9862.08,9808.35,9841.15,2020-02-10 20:00:00+00:00,SIDEWAYS,2020-02-10 20:00:00+00:00,9841.58,9861.14,9850.11,True,True,0.0019874857492394593,0.0008667307485181741
external,2020-02-11 04:00:00+00:00,2020-02-11 05:00:00+00:00,4,11:00,9833.0,9733.0,9749.25,9780.0,9729.36,9758.2,2020-02-11 04:00:00+00:00,SIDEWAYS,2020-02-11 05:00:00+00:00,9759.99,9763.75,9749.61,True,False,0.00038524629635894314,-0.0010635256798418036
external,2020-02-12 08:00:00+00:00,2020-02-12 09:00:00+00:00,8,15:00,10479.98,10269.93,10371.76,10378.98,10235.52,10304.66,2020-02-12 08:00:00+00:00,BULL,2020-02-12 09:00:00+00:00,10304.56,10289.73,10363.0,False,True,-0.001439168678720848,0.00567127562943015
external,2020-02-14 04:00:00+00:00,2020-02-14 05:00:00+00:00,4,11:00,10299.0,10225.3,10266.98,10298.0,10215.15,10236.16,2020-02-14 04:00:00+00:00,BULL,2020-02-14 05:00:00+00:00,10235.49,10186.62,10135.93,False,False,-0.004774563797141029,-0.009726940283269259
external,2020-02-19 04:00:00+00:00,2020-02-19 05:00:00+00:00,4,11:00,10185.0,10110.45,10159.77,10175.0,10096.08,10121.6,2020-02-19 04:00:00+00:00,BULL,2020-02-19 05:00:00+00:00,10120.76,10126.52,10067.74,True,False,0.0005691272196950425,-0.005238737011844963
external,2020-02-24 18:00:00+00:00,2020-02-24 19:00:00+00:00,18,01:00,9785.0,9577.0,9610.36,9610.37,9487.38,9596.68,2020-02-24 16:00:00+00:00,SIDEWAYS,2020-02-24 19:00:00+00:00,9596.1,9608.4,9617.07,True,True,0.0012817707193546468,0.002185262762997464
external,2020-02-25 04:00:00+00:00,2020-02-25 05:00:00+00:00,4,11:00,9658.99,9574.12,9588.32,9614.48,9558.47,9583.24,2020-02-25 04:00:00+00:00,SIDEWAYS,2020-02-25 05:00:00+00:00,9583.5,9563.92,9530.57,False,False,-0.0020430949026973844,-0.005523034382010739
external,2020-02-27 19:00:00+00:00,2020-02-27 20:00:00+00:00,19,02:00,8978.0,8851.14,8894.64,8926.5,8847.37,8919.41,2020-02-27 20:00:00+00:00,BEAR,2020-02-27 20:00:00+00:00,8920.0,8888.95,8800.33,False,False,-0.0034809417040357893,-0.01341591928251118
