partition,loss_class,warning,n,hit_n,coverage,median_lead_min
development,L0_NEVER_BREAK_REFERENCE_INVALIDATION,NO_EXT_010R_BY_10M,37,0,0.0,
development,L0_NEVER_BREAK_REFERENCE_INVALIDATION,NO_BREAK_30M,37,35,0.9459459459459459,
development,L0_NEVER_BREAK_REFERENCE_INVALIDATION,NO_BREAK_60M,37,33,0.8918918918918919,
development,L0_NEVER_BREAK_REFERENCE_INVALIDATION,NO_BREAK_120M,37,29,0.7837837837837838,
development,L0_NEVER_BREAK_REFERENCE_INVALIDATION,NO_BREAK_180M,37,24,0.6486486486486487,
development,L0_NEVER_BREAK_REFERENCE_INVALIDATION,NO_BREAK_240M,37,18,0.4864864864864865,
development,L0_NEVER_BREAK_REFERENCE_INVALIDATION,NO_BREAK_360M,37,9,0.24324324324324326,
external,L4_BREAK_FAIL_30M,PRE_L25,36,0,0.0,
external,L4_BREAK_FAIL_30M,PRE_L10,36,0,0.0,
external,L4_BREAK_FAIL_30M,POST_H10,36,35,0.9722222222222222,15.0
external,L4_BREAK_FAIL_30M,POST_H05,36,30,0.8333333333333334,15.0
external,L4_BREAK_FAIL_30M,NO_EXT_005R_BY_5M,36,3,0.08333333333333333,
external,L4_BREAK_FAIL_30M,NO_EXT_010R_BY_10M,36,8,0.2222222222222222,
external,L4_BREAK_FAIL_30M,NO_BREAK_30M,36,0,0.0,
external,L4_BREAK_FAIL_30M,NO_BREAK_60M,36,0,0.0,
external,L4_BREAK_FAIL_30M,NO_BREAK_120M,36,0,0.0,
external,L4_BREAK_FAIL_30M,NO_BREAK_180M,36,0,0.0,
external,L4_BREAK_FAIL_30M,NO_BREAK_240M,36,0,0.0,
external,L4_BREAK_FAIL_30M,NO_BREAK_360M,36,0,0.0,
external,L0_NEVER_BREAK_REFERENCE_INVALIDATION,PRE_L25,13,13,1.0,65.0
external,L0_NEVER_BREAK_REFERENCE_INVALIDATION,PRE_L10,13,10,0.7692307692307693,22.5
external,L0_NEVER_BREAK_REFERENCE_INVALIDATION,POST_H10,13,0,0.0,
external,L0_NEVER_BREAK_REFERENCE_INVALIDATION,POST_H05,13,0,0.0,
external,L0_NEVER_BREAK_REFERENCE_INVALIDATION,NO_EXT_005R_BY_5M,13,0,0.0,
external,L0_NEVER_BREAK_REFERENCE_INVALIDATION,NO_EXT_010R_BY_10M,13,0,0.0,
external,L0_NEVER_BREAK_REFERENCE_INVALIDATION,NO_BREAK_30M,13,13,1.0,
external,L0_NEVER_BREAK_REFERENCE_INVALIDATION,NO_BREAK_60M,13,12,0.9230769230769231,
external,L0_NEVER_BREAK_REFERENCE_INVALIDATION,NO_BREAK_120M,13,12,0.9230769230769231,
external,L0_NEVER_BREAK_REFERENCE_INVALIDATION,NO_BREAK_180M,13,11,0.8461538461538461,
external,L0_NEVER_BREAK_REFERENCE_INVALIDATION,NO_BREAK_240M,13,8,0.6153846153846154,
external,L0_NEVER_BREAK_REFERENCE_INVALIDATION,NO_BREAK_360M,13,4,0.3076923076923077,
external,L2_BREAK_FAST_FAIL_5M,PRE_L25,51,0,0.0,
external,L2_BREAK_FAST_FAIL_5M,PRE_L10,51,0,0.0,
external,L2_BREAK_FAST_FAIL_5M,POST_H10,51,48,0.9411764705882353,5.0
external,L2_BREAK_FAST_FAIL_5M,POST_H05,51,38,0.7450980392156863,5.0
external,L2_BREAK_FAST_FAIL_5M,NO_EXT_005R_BY_5M,51,22,0.43137254901960786,
external,L2_BREAK_FAST_FAIL_5M,NO_EXT_010R_BY_10M,51,40,0.7843137254901961,
external,L2_BREAK_FAST_FAIL_5M,NO_BREAK_30M,51,0,0.0,
external,L2_BREAK_FAST_FAIL_5M,NO_BREAK_60M,51,0,0.0,
external,L2_BREAK_FAST_FAIL_5M,NO_BREAK_120M,51,0,0.0,
external,L2_BREAK_FAST_FAIL_5M,NO_BREAK_180M,51,0,0.0,
external,L2_BREAK_FAST_FAIL_5M,NO_BREAK_240M,51,0,0.0,
external,L2_BREAK_FAST_FAIL_5M,NO_BREAK_360M,51,0,0.0,
external,L5_BREAK_FAIL_LATE,PRE_L25,25,0,0.0,
external,L5_BREAK_FAIL_LATE,PRE_L10,25,0,0.0,
external,L5_BREAK_FAIL_LATE,POST_H10,25,25,1.0,60.0
external,L5_BREAK_FAIL_LATE,POST_H05,25,25,1.0,55.0
external,L5_BREAK_FAIL_LATE,NO_EXT_005R_BY_5M,25,1,0.04,
external,L5_BREAK_FAIL_LATE,NO_EXT_010R_BY_10M,25,4,0.16,
external,L5_BREAK_FAIL_LATE,NO_BREAK_30M,25,0,0.0,
external,L5_BREAK_FAIL_LATE,NO_BREAK_60M,25,0,0.0,
external,L5_BREAK_FAIL_LATE,NO_BREAK_120M,25,0,0.0,
external,L5_BREAK_FAIL_LATE,NO_BREAK_180M,25,0,0.0,
external,L5_BREAK_FAIL_LATE,NO_BREAK_240M,25,0,0.0,
external,L5_BREAK_FAIL_LATE,NO_BREAK_360M,25,0,0.0,
external,L1_NEVER_BREAK_TIME,PRE_L25,16,2,0.125,
external,L1_NEVER_BREAK_TIME,PRE_L10,16,1,0.0625,
external,L1_NEVER_BREAK_TIME,POST_H10,16,0,0.0,
external,L1_NEVER_BREAK_TIME,POST_H05,16,0,0.0,
external,L1_NEVER_BREAK_TIME,NO_EXT_005R_BY_5M,16,0,0.0,
external,L1_NEVER_BREAK_TIME,NO_EXT_010R_BY_10M,16,0,0.0,
external,L1_NEVER_BREAK_TIME,NO_BREAK_30M,16,15,0.9375,
external,L1_NEVER_BREAK_TIME,NO_BREAK_60M,16,14,0.875,
external,L1_NEVER_BREAK_TIME,NO_BREAK_120M,16,13,0.8125,
external,L1_NEVER_BREAK_TIME,NO_BREAK_180M,16,13,0.8125,
external,L1_NEVER_BREAK_TIME,NO_BREAK_240M,16,12,0.75,
external,L1_NEVER_BREAK_TIME,NO_BREAK_360M,16,11,0.6875,
external,L3_BREAK_FAST_FAIL_10M,PRE_L25,25,0,0.0,
external,L3_BREAK_FAST_FAIL_10M,PRE_L10,25,0,0.0,
external,L3_BREAK_FAST_FAIL_10M,POST_H10,25,22,0.88,10.0
external,L3_BREAK_FAST_FAIL_10M,POST_H05,25,17,0.68,10.0
external,L3_BREAK_FAST_FAIL_10M,NO_EXT_005R_BY_5M,25,4,0.16,
external,L3_BREAK_FAST_FAIL_10M,NO_EXT_010R_BY_10M,25,12,0.48,
external,L3_BREAK_FAST_FAIL_10M,NO_BREAK_30M,25,0,0.0,
external,L3_BREAK_FAST_FAIL_10M,NO_BREAK_60M,25,0,0.0,
external,L3_BREAK_FAST_FAIL_10M,NO_BREAK_120M,25,0,0.0,
external,L3_BREAK_FAST_FAIL_10M,NO_BREAK_180M,25,0,0.0,
external,L3_BREAK_FAST_FAIL_10M,NO_BREAK_240M,25,0,0.0,
external,L3_BREAK_FAST_FAIL_10M,NO_BREAK_360M,25,0,0.0,
reference_validation,L2_BREAK_FAST_FAIL_5M,PRE_L25,68,0,0.0,
reference_validation,L2_BREAK_FAST_FAIL_5M,PRE_L10,68,0,0.0,
reference_validation,L2_BREAK_FAST_FAIL_5M,POST_H10,68,63,0.9264705882352942,5.0
reference_validation,L2_BREAK_FAST_FAIL_5M,POST_H05,68,50,0.7352941176470589,5.0
reference_validation,L2_BREAK_FAST_FAIL_5M,NO_EXT_005R_BY_5M,68,17,0.25,
reference_validation,L2_BREAK_FAST_FAIL_5M,NO_EXT_010R_BY_10M,68,39,0.5735294117647058,
reference_validation,L2_BREAK_FAST_FAIL_5M,NO_BREAK_30M,68,0,0.0,
reference_validation,L2_BREAK_FAST_FAIL_5M,NO_BREAK_60M,68,0,0.0,
reference_validation,L2_BREAK_FAST_FAIL_5M,NO_BREAK_120M,68,0,0.0,
reference_validation,L2_BREAK_FAST_FAIL_5M,NO_BREAK_180M,68,0,0.0,
reference_validation,L2_BREAK_FAST_FAIL_5M,NO_BREAK_240M,68,0,0.0,
reference_validation,L2_BREAK_FAST_FAIL_5M,NO_BREAK_360M,68,0,0.0,
reference_validation,L1_NEVER_BREAK_TIME,PRE_L25,21,5,0.23809523809523808,
reference_validation,L1_NEVER_BREAK_TIME,PRE_L10,21,1,0.047619047619047616,
reference_validation,L1_NEVER_BREAK_TIME,POST_H10,21,0,0.0,
reference_validation,L1_NEVER_BREAK_TIME,POST_H05,21,0,0.0,
reference_validation,L1_NEVER_BREAK_TIME,NO_EXT_005R_BY_5M,21,0,0.0,
reference_validation,L1_NEVER_BREAK_TIME,NO_EXT_010R_BY_10M,21,0,0.0,
reference_validation,L1_NEVER_BREAK_TIME,NO_BREAK_30M,21,20,0.9523809523809523,
reference_validation,L1_NEVER_BREAK_TIME,NO_BREAK_60M,21,20,0.9523809523809523,
reference_validation,L1_NEVER_BREAK_TIME,NO_BREAK_120M,21,18,0.8571428571428571,
reference_validation,L1_NEVER_BREAK_TIME,NO_BREAK_180M,21,16,0.7619047619047619,
reference_validation,L1_NEVER_BREAK_TIME,NO_BREAK_240M,21,16,0.7619047619047619,
reference_validation,L1_NEVER_BREAK_TIME,NO_BREAK_360M,21,15,0.7142857142857143,
reference_validation,L3_BREAK_FAST_FAIL_10M,PRE_L25,29,0,0.0,
reference_validation,L3_BREAK_FAST_FAIL_10M,PRE_L10,29,0,0.0,
reference_validation,L3_BREAK_FAST_FAIL_10M,POST_H10,29,27,0.9310344827586207,10.0
reference_validation,L3_BREAK_FAST_FAIL_10M,POST_H05,29,21,0.7241379310344828,10.0
reference_validation,L3_BREAK_FAST_FAIL_10M,NO_EXT_005R_BY_5M,29,1,0.034482758620689655,
reference_validation,L3_BREAK_FAST_FAIL_10M,NO_EXT_010R_BY_10M,29,8,0.27586206896551724,
reference_validation,L3_BREAK_FAST_FAIL_10M,NO_BREAK_30M,29,0,0.0,
reference_validation,L3_BREAK_FAST_FAIL_10M,NO_BREAK_60M,29,0,0.0,
reference_validation,L3_BREAK_FAST_FAIL_10M,NO_BREAK_120M,29,0,0.0,
reference_validation,L3_BREAK_FAST_FAIL_10M,NO_BREAK_180M,29,0,0.0,
reference_validation,L3_BREAK_FAST_FAIL_10M,NO_BREAK_240M,29,0,0.0,
reference_validation,L3_BREAK_FAST_FAIL_10M,NO_BREAK_360M,29,0,0.0,
reference_validation,L5_BREAK_FAIL_LATE,PRE_L25,12,0,0.0,
reference_validation,L5_BREAK_FAIL_LATE,PRE_L10,12,0,0.0,
reference_validation,L5_BREAK_FAIL_LATE,POST_H10,12,12,1.0,47.5
reference_validation,L5_BREAK_FAIL_LATE,POST_H05,12,11,0.9166666666666666,45.0
reference_validation,L5_BREAK_FAIL_LATE,NO_EXT_005R_BY_5M,12,0,0.0,
reference_validation,L5_BREAK_FAIL_LATE,NO_EXT_010R_BY_10M,12,1,0.08333333333333333,
reference_validation,L5_BREAK_FAIL_LATE,NO_BREAK_30M,12,0,0.0,
reference_validation,L5_BREAK_FAIL_LATE,NO_BREAK_60M,12,0,0.0,
reference_validation,L5_BREAK_FAIL_LATE,NO_BREAK_120M,12,0,0.0,
reference_validation,L5_BREAK_FAIL_LATE,NO_BREAK_180M,12,0,0.0,
reference_validation,L5_BREAK_FAIL_LATE,NO_BREAK_240M,12,0,0.0,
reference_validation,L5_BREAK_FAIL_LATE,NO_BREAK_360M,12,0,0.0,
reference_validation,L0_NEVER_BREAK_REFERENCE_INVALIDATION,PRE_L25,26,24,0.9230769230769231,35.0
reference_validation,L0_NEVER_BREAK_REFERENCE_INVALIDATION,PRE_L10,26,14,0.5384615384615384,10.0
reference_validation,L0_NEVER_BREAK_REFERENCE_INVALIDATION,POST_H10,26,0,0.0,
reference_validation,L0_NEVER_BREAK_REFERENCE_INVALIDATION,POST_H05,26,0,0.0,
reference_validation,L0_NEVER_BREAK_REFERENCE_INVALIDATION,NO_EXT_005R_BY_5M,26,0,0.0,
reference_validation,L0_NEVER_BREAK_REFERENCE_INVALIDATION,NO_EXT_010R_BY_10M,26,0,0.0,
reference_validation,L0_NEVER_BREAK_REFERENCE_INVALIDATION,NO_BREAK_30M,26,25,0.9615384615384616,
reference_validation,L0_NEVER_BREAK_REFERENCE_INVALIDATION,NO_BREAK_60M,26,23,0.8846153846153846,
reference_validation,L0_NEVER_BREAK_REFERENCE_INVALIDATION,NO_BREAK_120M,26,19,0.7307692307692307,
reference_validation,L0_NEVER_BREAK_REFERENCE_INVALIDATION,NO_BREAK_180M,26,15,0.5769230769230769,
reference_validation,L0_NEVER_BREAK_REFERENCE_INVALIDATION,NO_BREAK_240M,26,13,0.5,
reference_validation,L0_NEVER_BREAK_REFERENCE_INVALIDATION,NO_BREAK_360M,26,6,0.23076923076923078,
reference_validation,L4_BREAK_FAIL_30M,PRE_L25,31,0,0.0,
reference_validation,L4_BREAK_FAIL_30M,PRE_L10,31,0,0.0,
reference_validation,L4_BREAK_FAIL_30M,POST_H10,31,31,1.0,15.0
reference_validation,L4_BREAK_FAIL_30M,POST_H05,31,24,0.7741935483870968,15.0
reference_validation,L4_BREAK_FAIL_30M,NO_EXT_005R_BY_5M,31,1,0.03225806451612903,
reference_validation,L4_BREAK_FAIL_30M,NO_EXT_010R_BY_10M,31,1,0.03225806451612903,
reference_validation,L4_BREAK_FAIL_30M,NO_BREAK_30M,31,0,0.0,
reference_validation,L4_BREAK_FAIL_30M,NO_BREAK_60M,31,0,0.0,
reference_validation,L4_BREAK_FAIL_30M,NO_BREAK_120M,31,0,0.0,
reference_validation,L4_BREAK_FAIL_30M,NO_BREAK_180M,31,0,0.0,
reference_validation,L4_BREAK_FAIL_30M,NO_BREAK_240M,31,0,0.0,
reference_validation,L4_BREAK_FAIL_30M,NO_BREAK_360M,31,0,0.0,
