warning_family,motif,dev_fail_n,dev_target_n,dev_fail_hit,dev_target_hit,dev_gap,dev_ratio,adequate_dev_blocks,same_direction_dev_blocks,development_supported,external_fail_n,external_target_n,external_fail_hit,external_target_hit,external_gap,external_ratio,reference_fail_n,reference_target_n,reference_fail_hit,reference_target_hit,reference_gap,reference_ratio,replicated
W10,LOWER_CLOSE_1,233,63,0.16738197424892703,0.19047619047619047,-0.02309421622726343,0.878755364806867,6,3,False,,,,,,,,,,,,,False
W10,LOWER_HIGH_1,233,63,0.1630901287553648,0.19047619047619047,-0.027386061720825666,0.8562231759656652,6,1,False,,,,,,,,,,,,,False
W10,RANGE_CONTRACT_1,233,63,0.3218884120171674,0.38095238095238093,-0.05906396893521354,0.8449570815450644,6,1,False,,,,,,,,,,,,,False
W10,BODY_CONTRACT_1,233,63,0.3090128755364807,0.31746031746031744,-0.00844744192383673,0.9733905579399142,6,4,False,,,,,,,,,,,,,False
W10,LOWER_HIGH_AND_CLOSE_1,233,63,0.11158798283261803,0.12698412698412698,-0.015396144151508945,0.878755364806867,6,3,False,,,,,,,,,,,,,False
W10,TWO_LOWER_CLOSES,233,63,0.03862660944206009,0.06349206349206349,-0.0248654540500034,0.6083690987124465,6,2,False,,,,,,,,,,,,,False
W10,TWO_LOWER_HIGHS,233,63,0.04721030042918455,0.047619047619047616,-0.00040874718986306374,0.9914163090128757,6,3,False,,,,,,,,,,,,,False
W10,TWO_RANGE_CONTRACTIONS,233,63,0.08583690987124463,0.12698412698412698,-0.04114721711288234,0.6759656652360515,6,3,False,,,,,,,,,,,,,False
W10,TWO_BODY_CONTRACTIONS,233,63,0.03862660944206009,0.031746031746031744,0.006880577696028345,1.216738197424893,6,5,False,,,,,,,,,,,,,False
W10,TWO_NEAR_H10,233,63,0.0,0.0,0.0,,6,0,False,,,,,,,,,,,,,False
W10,TWO_NEAR_H05,233,63,0.0,0.0,0.0,,6,0,False,,,,,,,,,,,,,False
W10,H05_DEEPEN_FROM_H10,233,63,0.0,0.0,0.0,,6,0,False,,,,,,,,,,,,,False
W05,LOWER_CLOSE_1,184,31,0.2826086956521739,0.22580645161290322,0.05680224403927067,1.2515527950310559,6,4,False,,,,,,,,,,,,,False
W05,LOWER_HIGH_1,184,31,0.27717391304347827,0.1935483870967742,0.08362552594670408,1.4320652173913044,6,4,False,,,,,,,,,,,,,False
W05,RANGE_CONTRACT_1,184,31,0.41847826086956524,0.3225806451612903,0.09589761570827493,1.2972826086956524,6,4,False,,,,,,,,,,,,,False
W05,BODY_CONTRACT_1,184,31,0.391304347826087,0.25806451612903225,0.13323983169705472,1.5163043478260871,6,4,False,,,,,,,,,,,,,False
W05,LOWER_HIGH_AND_CLOSE_1,184,31,0.21195652173913043,0.12903225806451613,0.0829242636746143,1.642663043478261,6,4,False,,,,,,,,,,,,,False
W05,TWO_LOWER_CLOSES,184,31,0.09239130434782608,0.06451612903225806,0.027875175315568018,1.4320652173913042,6,4,False,,,,,,,,,,,,,False
W05,TWO_LOWER_HIGHS,184,31,0.09239130434782608,0.03225806451612903,0.06013323983169705,2.8641304347826084,6,5,False,,,,,,,,,,,,,False
W05,TWO_RANGE_CONTRACTIONS,184,31,0.14130434782608695,0.16129032258064516,-0.01998597475455821,0.8760869565217391,6,3,False,,,,,,,,,,,,,False
W05,TWO_BODY_CONTRACTIONS,184,31,0.08152173913043478,0.03225806451612903,0.04926367461430575,2.5271739130434785,6,5,False,,,,,,,,,,,,,False
W05,TWO_NEAR_H10,184,31,0.125,0.03225806451612903,0.09274193548387097,3.875,6,5,False,,,,,,,,,,,,,False
W05,TWO_NEAR_H05,184,31,0.0,0.0,0.0,,6,0,False,,,,,,,,,,,,,False
W05,H05_DEEPEN_FROM_H10,184,31,0.125,0.03225806451612903,0.09274193548387097,3.875,6,5,False,,,,,,,,,,,,,False
