partition,check,actual,expected,pass
external,accepted,74.0,74.0,True
external,wr,0.7702702702702703,0.7702702702702703,True
external,pf,2.9068314349158606,2.9068314349158606,True
external,expectancy,1.8880655575793936,1.8880655575793936,True
external,total_net,139.71685126087513,139.71685126087513,True
development,accepted,107.0,107.0,True
development,wr,0.719626168224299,0.719626168224299,True
development,pf,1.5216762442960847,1.5216762442960847,True
development,expectancy,0.5964988374421408,0.5964988374421408,True
development,total_net,63.825375606309066,63.825375606309066,True
reference_validation,accepted,47.0,47.0,True
reference_validation,wr,0.8085106382978723,0.8085106382978723,True
reference_validation,pf,2.2594751563624853,2.2594751563624853,True
reference_validation,expectancy,0.8361715572594063,0.8361715572594063,True
reference_validation,total_net,39.300063191192095,39.300063191192095,True
august,accepted,1.0,1.0,True
august,wr,1.0,1.0,True
august,pf,inf,inf,True
august,expectancy,2.6529477668266304,2.6529477668266304,True
august,total_net,2.6529477668266304,2.6529477668266304,True
