utc_date,anchor,anchor_kind,session,anchor_ts,frozen_high,frozen_low,anchor_price,range_location,location_bucket,pretrend,archetype,first_sweep_side,pattern_complete_ts,diagnostic_entry_ts,direction_map,signed_ret60,signed_ret240,positive60,positive240,opposite_level_6h
2026-08-01,ASIA_OPEN,OPEN,ASIA,2026-08-01 00:00:00+00:00,65391.3,62410.5,62859.9,0.15076489533011306,NEAR_LOW,PRE_DOWN,NO_SWEEP,N,2026-08-01 01:15:00+00:00,2026-08-01 01:30:00+00:00,,,,,,
2026-08-01,ASIA_CLOSE,CLOSE,ASIA,2026-08-01 08:00:00+00:00,63118.7,62859.8,63019.6,0.6172267284665864,MID,PRE_DOWN,HIGH_IMMEDIATE_RECLAIM,H,2026-08-01 08:45:00+00:00,2026-08-01 09:00:00+00:00,SHORT,0.0012044870311613473,0.0004516826366855053,1.0,1.0,False
2026-08-01,LONDON_OPEN,OPEN,LONDON,2026-08-01 07:00:00+00:00,63118.7,62859.8,63049.9,0.7342603321745956,MID,PRE_UP,NO_SWEEP,N,2026-08-01 08:15:00+00:00,2026-08-01 08:30:00+00:00,,,,,,
2026-08-01,LONDON_CLOSE,CLOSE,LONDON,2026-08-01 16:00:00+00:00,63126.6,62859.8,62976.4,0.43703148425787275,MID,PRE_DOWN,LOW_IMMEDIATE_RECLAIM,L,2026-08-01 16:45:00+00:00,2026-08-01 17:00:00+00:00,LONG,-0.0034324378894084323,-0.0042623279210300576,0.0,0.0,False
2026-08-01,NEW_YORK_OPEN,OPEN,NEW_YORK,2026-08-01 13:00:00+00:00,63126.6,62859.8,63068.9,0.7837331334332908,NEAR_HIGH,PRE_UP,NO_SWEEP,N,2026-08-01 14:15:00+00:00,2026-08-01 14:30:00+00:00,,,,,,
2026-08-01,NEW_YORK_CLOSE,CLOSE,NEW_YORK,2026-08-01 22:00:00+00:00,63126.6,62228.8,62789.5,0.6245266206282021,MID,PRE_UP,NO_SWEEP,N,2026-08-01 23:15:00+00:00,2026-08-01 23:30:00+00:00,,,,,,
2026-08-02,ASIA_OPEN,OPEN,ASIA,2026-08-02 00:00:00+00:00,63126.6,62228.8,62792.3,0.6276453553129904,MID,PRE_DOWN,NO_SWEEP,N,2026-08-02 01:15:00+00:00,2026-08-02 01:30:00+00:00,,,,,,
2026-08-02,ASIA_CLOSE,CLOSE,ASIA,2026-08-02 08:00:00+00:00,63620.0,62782.3,63468.0,0.8185507938402763,NEAR_HIGH,PRE_UP,NO_SWEEP,N,2026-08-02 09:15:00+00:00,2026-08-02 09:30:00+00:00,,,,,,
2026-08-02,LONDON_OPEN,OPEN,LONDON,2026-08-02 07:00:00+00:00,63620.0,62782.3,63460.1,0.8091202100990784,NEAR_HIGH,PRE_UP,NO_SWEEP,N,2026-08-02 08:15:00+00:00,2026-08-02 08:30:00+00:00,,,,,,
2026-08-02,LONDON_CLOSE,CLOSE,LONDON,2026-08-02 16:00:00+00:00,63620.0,62782.3,63081.6,0.3572878118658191,MID,PRE_UP,NO_SWEEP,N,2026-08-02 17:15:00+00:00,2026-08-02 17:30:00+00:00,,,,,,
2026-08-02,NEW_YORK_OPEN,OPEN,NEW_YORK,2026-08-02 13:00:00+00:00,63620.0,62782.3,63097.2,0.3759102303927364,MID,PRE_UP,NO_SWEEP,N,2026-08-02 14:15:00+00:00,2026-08-02 14:30:00+00:00,,,,,,
2026-08-02,NEW_YORK_CLOSE,CLOSE,NEW_YORK,2026-08-02 22:00:00+00:00,63774.6,62782.3,63560.0,0.7837347576337806,NEAR_HIGH,PRE_UP,HIGH_IMMEDIATE_RECLAIM,H,2026-08-02 22:00:00+00:00,2026-08-02 22:15:00+00:00,SHORT,0.00527522575579115,0.0077738515901060075,1.0,1.0,True
2026-08-03,ASIA_OPEN,OPEN,ASIA,2026-08-03 00:00:00+00:00,63779.0,62782.3,63550.0,0.7702417979331788,NEAR_HIGH,PRE_UP,NO_SWEEP,N,2026-08-03 01:15:00+00:00,2026-08-03 01:30:00+00:00,,,,,,
2026-08-03,ASIA_CLOSE,CLOSE,ASIA,2026-08-03 08:00:00+00:00,63575.6,62520.0,62591.0,0.06726032588101563,NEAR_LOW,PRE_DOWN,LOW_IMMEDIATE_RECLAIM,L,2026-08-03 08:00:00+00:00,2026-08-03 08:15:00+00:00,LONG,-1.7587646437119284e-05,-0.0003021877433291089,0.0,0.0,False
2026-08-03,LONDON_OPEN,OPEN,LONDON,2026-08-03 07:00:00+00:00,63575.6,62576.2,62594.8,0.01861116670002581,NEAR_LOW,PRE_DOWN,LOW_BREAK_FAIL,L,2026-08-03 07:15:00+00:00,2026-08-03 07:30:00+00:00,LONG,-0.00490146756550864,0.0009327002470697634,0.0,1.0,False
2026-08-03,LONDON_CLOSE,CLOSE,LONDON,2026-08-03 16:00:00+00:00,63960.0,62268.2,63659.5,0.8223785317413409,NEAR_HIGH,PRE_DOWN,HIGH_IMMEDIATE_RECLAIM,H,2026-08-03 17:15:00+00:00,2026-08-03 17:30:00+00:00,SHORT,-0.0004028712019200554,0.0014766718762981167,0.0,1.0,False
2026-08-03,NEW_YORK_OPEN,OPEN,NEW_YORK,2026-08-03 13:00:00+00:00,63575.6,62268.2,62669.9,0.307251032583757,MID,PRE_UP,HIGH_ACCEPT,H,2026-08-03 14:15:00+00:00,2026-08-03 14:30:00+00:00,LONG,-0.0009225367249632932,0.0012629967067949222,0.0,1.0,
2026-08-03,NEW_YORK_CLOSE,CLOSE,NEW_YORK,2026-08-03 22:00:00+00:00,64058.8,62268.2,63561.1,0.7220484753713824,MID,PRE_DOWN,NO_SWEEP,N,2026-08-03 23:15:00+00:00,2026-08-03 23:30:00+00:00,,,,,,
2026-08-04,ASIA_OPEN,OPEN,ASIA,2026-08-04 00:00:00+00:00,64058.8,62268.2,63497.1,0.6863062660560691,MID,PRE_DOWN,NO_SWEEP,N,2026-08-04 01:15:00+00:00,2026-08-04 01:30:00+00:00,,,,,,
2026-08-04,ASIA_CLOSE,CLOSE,ASIA,2026-08-04 08:00:00+00:00,64239.8,63290.2,63666.5,0.39627211457455835,MID,PRE_UP,NO_SWEEP,N,2026-08-04 09:15:00+00:00,2026-08-04 09:30:00+00:00,,,,,,
2026-08-04,LONDON_OPEN,OPEN,LONDON,2026-08-04 07:00:00+00:00,64239.8,63290.2,63653.3,0.3823715248525733,MID,PRE_DOWN,NO_SWEEP,N,2026-08-04 08:15:00+00:00,2026-08-04 08:30:00+00:00,,,,,,
2026-08-04,LONDON_CLOSE,CLOSE,LONDON,2026-08-04 16:00:00+00:00,64239.8,63290.2,64088.3,0.8404591406908182,NEAR_HIGH,PRE_DOWN,NO_SWEEP,N,2026-08-04 17:15:00+00:00,2026-08-04 17:30:00+00:00,,,,,,
2026-08-04,NEW_YORK_OPEN,OPEN,NEW_YORK,2026-08-04 13:00:00+00:00,64239.8,63290.2,63875.2,0.6160488626790189,MID,PRE_DOWN,NO_SWEEP,N,2026-08-04 14:15:00+00:00,2026-08-04 14:30:00+00:00,,,,,,
2026-08-04,NEW_YORK_CLOSE,CLOSE,NEW_YORK,2026-08-04 22:00:00+00:00,64397.6,63290.2,64166.7,0.7914935885858758,NEAR_HIGH,PRE_DOWN,HIGH_IMMEDIATE_RECLAIM,H,2026-08-04 23:00:00+00:00,2026-08-04 23:15:00+00:00,SHORT,0.006149440727000548,0.0010994454633121516,1.0,1.0,False
2026-08-05,ASIA_OPEN,OPEN,ASIA,2026-08-05 00:00:00+00:00,64512.9,63290.2,64075.6,0.6423488999754631,MID,PRE_DOWN,NO_SWEEP,N,2026-08-05 01:15:00+00:00,2026-08-05 01:30:00+00:00,,,,,,
2026-08-05,ASIA_CLOSE,CLOSE,ASIA,2026-08-05 08:00:00+00:00,64500.0,63917.1,64141.0,0.3841139131926589,MID,PRE_DOWN,NO_SWEEP,N,2026-08-05 09:15:00+00:00,2026-08-05 09:30:00+00:00,,,,,,
