rule,conditions,n,continuation,invalidated,rate,lift,wilson_lower,atom1_feature,atom1_op,atom1_threshold,atom2_feature,atom2_op,atom2_threshold
bos_extension_range_units <= 0.204433550854 AND bos_to_return_min <= 886.25,2,36,25,11,0.6944444444444444,0.3553639846743295,0.5314342132091627,bos_extension_range_units,<=,0.20443355085437806,bos_to_return_min,<=,886.25
bos_extension_range_units <= 0.204433550854 AND origin_distance_from_pre_return_low_fraction <= 0.778158508159,2,35,24,11,0.6857142857142857,0.3466338259441708,0.5201992812074803,bos_extension_range_units,<=,0.20443355085437806,origin_distance_from_pre_return_low_fraction,<=,0.7781585081585067
bos_extension_range_units <= 0.204433550854 AND retrace_fraction_of_raid_leg <= 0.81611925029,2,35,24,11,0.6857142857142857,0.3466338259441708,0.5201992812074803,bos_extension_range_units,<=,0.20443355085437806,retrace_fraction_of_raid_leg,<=,0.8161192502897269
bars_reclaim_to_bos >= 4 AND bos_extension_range_units <= 0.204433550854,2,36,23,13,0.6388888888888888,0.2998084291187739,0.4757478039083198,bars_reclaim_to_bos,>=,4.0,bos_extension_range_units,<=,0.20443355085437806
bos_extension_range_units <= 0.759062167442 AND retrace_fraction_of_raid_leg <= 0.414469347396,2,36,23,13,0.6388888888888888,0.2998084291187739,0.4757478039083198,bos_extension_range_units,<=,0.7590621674423997,retrace_fraction_of_raid_leg,<=,0.4144693473961759
bos_to_return_min <= 287.5 AND origin_distance_from_pre_return_low_fraction <= 0.368100909302,2,43,26,17,0.6046511627906976,0.2655707030205827,0.4557879659331909,bos_to_return_min,<=,287.5,origin_distance_from_pre_return_low_fraction,<=,0.3681009093023388
bos_extension_range_units <= 0.416652965033 AND bos_to_return_min <= 287.5,2,47,28,19,0.5957446808510638,0.2566642210809489,0.4534186823631264,bos_extension_range_units,<=,0.41665296503343563,bos_to_return_min,<=,287.5
bear_path_efficiency <= 0.920747597726 AND bos_extension_range_units <= 0.204433550854,2,38,23,15,0.6052631578947368,0.2661826981246219,0.44717586998695963,bear_path_efficiency,<=,0.9207475977260157,bos_extension_range_units,<=,0.20443355085437806
retrace_fraction_of_raid_leg <= 0.414469347396 AND origin_distance_from_pre_return_low_fraction <= 0.368100909302,2,40,24,16,0.6,0.26091954022988506,0.44595619827393507,retrace_fraction_of_raid_leg,<=,0.4144693473961759,origin_distance_from_pre_return_low_fraction,<=,0.3681009093023388
bos_to_return_min <= 287.5 AND retrace_fraction_of_raid_leg <= 0.414469347396,2,42,25,17,0.5952380952380952,0.2561576354679803,0.4449404552817742,bos_to_return_min,<=,287.5,retrace_fraction_of_raid_leg,<=,0.4144693473961759
origin_distance_from_pre_return_low_fraction <= 0.368100909302,1,44,26,18,0.5909090909090909,0.251828631138976,0.44409492646606574,origin_distance_from_pre_return_low_fraction,<=,0.3681009093023388,,,
bos_to_return_min <= 886.25 AND origin_distance_from_pre_return_low_fraction <= 0.368100909302,2,44,26,18,0.5909090909090909,0.251828631138976,0.44409492646606574,bos_to_return_min,<=,886.25,origin_distance_from_pre_return_low_fraction,<=,0.3681009093023388
reclaim_delay_h1_bars >= 0 AND origin_distance_from_pre_return_low_fraction <= 0.368100909302,2,44,26,18,0.5909090909090909,0.251828631138976,0.44409492646606574,reclaim_delay_h1_bars,>=,0.0,origin_distance_from_pre_return_low_fraction,<=,0.3681009093023388
retrace_fraction_of_raid_leg <= 0.650541399572 AND origin_distance_from_pre_return_low_fraction <= 0.368100909302,2,44,26,18,0.5909090909090909,0.251828631138976,0.44409492646606574,retrace_fraction_of_raid_leg,<=,0.6505413995715918,origin_distance_from_pre_return_low_fraction,<=,0.3681009093023388
retrace_fraction_of_raid_leg <= 0.81611925029 AND origin_distance_from_pre_return_low_fraction <= 0.368100909302,2,44,26,18,0.5909090909090909,0.251828631138976,0.44409492646606574,retrace_fraction_of_raid_leg,<=,0.8161192502897269,origin_distance_from_pre_return_low_fraction,<=,0.3681009093023388
zone_width_range_units >= 0.666666666667 AND bos_to_return_min <= 287.5,2,64,36,28,0.5625,0.22341954022988508,0.44085991778287875,zone_width_range_units,>=,0.6666666666666631,bos_to_return_min,<=,287.5
displacement_range_units <= 2.38132645045 AND bos_to_return_min <= 886.25,2,35,21,14,0.6,0.26091954022988506,0.4357241958151947,displacement_range_units,<=,2.3813264504544813,bos_to_return_min,<=,886.25
bos_extension_range_units <= 0.204433550854,1,44,25,19,0.5681818181818182,0.22910135841170332,0.42223890740554393,bos_extension_range_units,<=,0.20443355085437806,,,
retrace_fraction_of_raid_leg <= 0.414469347396,1,44,25,19,0.5681818181818182,0.22910135841170332,0.42223890740554393,retrace_fraction_of_raid_leg,<=,0.4144693473961759,,,
bos_to_return_min <= 886.25 AND retrace_fraction_of_raid_leg <= 0.414469347396,2,44,25,19,0.5681818181818182,0.22910135841170332,0.42223890740554393,bos_to_return_min,<=,886.25,retrace_fraction_of_raid_leg,<=,0.4144693473961759
reclaim_delay_h1_bars >= 0 AND bos_extension_range_units <= 0.204433550854,2,44,25,19,0.5681818181818182,0.22910135841170332,0.42223890740554393,reclaim_delay_h1_bars,>=,0.0,bos_extension_range_units,<=,0.20443355085437806
reclaim_delay_h1_bars >= 0 AND retrace_fraction_of_raid_leg <= 0.414469347396,2,44,25,19,0.5681818181818182,0.22910135841170332,0.42223890740554393,reclaim_delay_h1_bars,>=,0.0,retrace_fraction_of_raid_leg,<=,0.4144693473961759
retrace_fraction_of_raid_leg <= 0.414469347396 AND origin_distance_from_pre_return_low_fraction <= 0.585694359338,2,44,25,19,0.5681818181818182,0.22910135841170332,0.42223890740554393,retrace_fraction_of_raid_leg,<=,0.4144693473961759,origin_distance_from_pre_return_low_fraction,<=,0.5856943593382155
retrace_fraction_of_raid_leg <= 0.414469347396 AND origin_distance_from_pre_return_low_fraction <= 0.778158508159,2,44,25,19,0.5681818181818182,0.22910135841170332,0.42223890740554393,retrace_fraction_of_raid_leg,<=,0.4144693473961759,origin_distance_from_pre_return_low_fraction,<=,0.7781585081585067
bars_reclaim_to_bos >= 4 AND origin_distance_from_pre_return_low_fraction <= 0.368100909302,2,40,23,17,0.575,0.23591954022988504,0.4219480043605999,bars_reclaim_to_bos,>=,4.0,origin_distance_from_pre_return_low_fraction,<=,0.3681009093023388
bear_path_efficiency <= 0.920747597726 AND origin_distance_from_pre_return_low_fraction <= 0.368100909302,2,40,23,17,0.575,0.23591954022988504,0.4219480043605999,bear_path_efficiency,<=,0.9207475977260157,origin_distance_from_pre_return_low_fraction,<=,0.3681009093023388
displacement_range_units <= 3.8629756871 AND bos_extension_range_units <= 0.204433550854,2,40,23,17,0.575,0.23591954022988504,0.4219480043605999,displacement_range_units,<=,3.862975687103594,bos_extension_range_units,<=,0.20443355085437806
