zone,frac,partition,clean_windows,fills,fill_given_clean,downside_resolutions,resolution_rate,direct_breakdowns,low_revisits,opposite_breaks,unresolved,median_minutes_to_resolution
F90,0.9,external,13,1,0.07692307692307693,0,0.0,0,0,1,0,
F90,0.9,development,42,4,0.09523809523809523,0,0.0,0,0,3,1,
F90,0.9,reference_validation,14,1,0.07142857142857142,0,0.0,0,0,1,0,
F90,0.9,august,1,0,0.0,0,,0,0,0,0,
F90,0.9,POOLED_MAJOR,69,6,0.08695652173913043,0,0.0,0,0,5,1,
F95,0.95,external,13,1,0.07692307692307693,0,0.0,0,0,1,0,
F95,0.95,development,42,4,0.09523809523809523,0,0.0,0,0,3,1,
F95,0.95,reference_validation,14,1,0.07142857142857142,0,0.0,0,0,1,0,
F95,0.95,august,1,0,0.0,0,,0,0,0,0,
F95,0.95,POOLED_MAJOR,69,6,0.08695652173913043,0,0.0,0,0,5,1,
