rule,conditions,n,continuation,invalidated,rate,lift,wilson_lower,atom1_feature,atom1_op,atom1_threshold,atom2_feature,atom2_op,atom2_threshold
largest_bull_body_share >= 0.141955835962 AND rise_per_bar_range_units <= 0.310541310541,2,35,21,14,0.6,0.2992481203007519,0.4357241958151947,largest_bull_body_share,>=,0.14195583596214656,rise_per_bar_range_units,<=,0.31054131054131406
up_path_efficiency <= 0.553588987217 AND largest_bull_body_share >= 0.141955835962,2,35,20,15,0.5714285714285714,0.2706766917293233,0.4085712925897337,up_path_efficiency,<=,0.5535889872173181,largest_bull_body_share,>=,0.14195583596214656
ascent_bars <= 39 AND rise_per_bar_range_units <= 0.310541310541,2,36,20,16,0.5555555555555556,0.2548036758563075,0.39580787316003413,ascent_bars,<=,39.0,rise_per_bar_range_units,<=,0.31054131054131406
ascent_bars >= 14 AND largest_bull_body_share >= 0.141955835962,2,37,20,17,0.5405405405405406,0.23978866084129247,0.3838377952476737,ascent_bars,>=,14.0,largest_bull_body_share,>=,0.14195583596214656
median_adjacent_overlap >= 0.747779336138 AND largest_bull_body_share >= 0.141955835962,2,42,22,20,0.5238095238095238,0.22305764411027573,0.37722213940207044,median_adjacent_overlap,>=,0.7477793361383785,largest_bull_body_share,>=,0.14195583596214656
ascent_bars <= 39 AND median_adjacent_overlap >= 0.747779336138,2,40,21,19,0.525,0.22424812030075192,0.37497106853929735,ascent_bars,<=,39.0,median_adjacent_overlap,>=,0.7477793361383785
ascent_bars <= 39 AND up_path_efficiency <= 0.553588987217,2,36,19,17,0.5277777777777778,0.2270258980785297,0.3700567162693947,ascent_bars,<=,39.0,up_path_efficiency,<=,0.5535889872173181
largest_bull_body_share >= 0.141955835962 AND pre_return_drawup_fraction <= 1.09677419355,2,41,21,20,0.5121951219512195,0.21144324225197142,0.3648425931586519,largest_bull_body_share,>=,0.14195583596214656,pre_return_drawup_fraction,<=,1.0967741935483912
largest_bull_body_share >= 0.141955835962 AND higher_low_share <= 0.736842105263,2,37,19,18,0.5135135135135135,0.21276163381426538,0.3589463722598092,largest_bull_body_share,>=,0.14195583596214656,higher_low_share,<=,0.7368421052631579
ascent_bars <= 39 AND pre_return_drawup_fraction <= 1.09677419355,2,43,21,22,0.4883720930232558,0.1876202133240077,0.34617209277756006,ascent_bars,<=,39.0,pre_return_drawup_fraction,<=,1.0967741935483912
overlap_gt50_share >= 0.731707317073 AND largest_bull_body_share >= 0.141955835962,2,43,21,22,0.4883720930232558,0.1876202133240077,0.34617209277756006,overlap_gt50_share,>=,0.7317073170731707,largest_bull_body_share,>=,0.14195583596214656
ascent_bars <= 39 AND overlap_gt50_share >= 0.731707317073,2,41,20,21,0.4878048780487805,0.18705299834953237,0.34254187239935696,ascent_bars,<=,39.0,overlap_gt50_share,>=,0.7317073170731707
