scope,name,n,eligible_n,no_window_n,rebreak_n,rebreak_rate,high_break_n,high_break_rate,no_boundary_n,no_boundary_rate,persistent_rate,median_rebreak_min,max_close_p50,max_close_p75,close_ext_05_rate,close_ext_10_rate,close_ext_15_rate,close_ext_25_rate,close_ext_50_rate
PARTITION,external,202,202,0,149,0.7376237623762376,9,0.04455445544554455,44,0.21782178217821782,0.2623762376237624,10.0,0.14252841708015176,0.41441531249931945,0.6633663366336634,0.5544554455445545,0.48514851485148514,0.3712871287128713,0.19306930693069307
PARTITION,development,336,333,3,237,0.7117117117117117,23,0.06906906906906907,73,0.21921921921921922,0.2882882882882883,15.0,0.17188118811880324,0.4233976922198108,0.6786786786786787,0.6066066066066066,0.5225225225225225,0.40540540540540543,0.2132132132132132
PARTITION,reference_validation,196,194,2,133,0.6855670103092784,9,0.04639175257731959,52,0.26804123711340205,0.31443298969072164,10.0,0.16473333588381153,0.4291678074077119,0.6649484536082474,0.5824742268041238,0.5103092783505154,0.36597938144329895,0.2268041237113402
POOL,POOLED_OOS,398,396,2,282,0.7121212121212122,18,0.045454545454545456,96,0.24242424242424243,0.2878787878787879,10.0,0.148517946612524,0.42514601837752247,0.6641414141414141,0.5681818181818182,0.49747474747474746,0.3686868686868687,0.20959595959595959
POOL,POOLED_MAJOR,734,729,5,519,0.7119341563786008,41,0.056241426611796985,169,0.23182441700960219,0.2880658436213992,10.0,0.15912000931207188,0.4247030484259531,0.6707818930041153,0.5857338820301783,0.5089163237311386,0.38545953360768176,0.2112482853223594
CLOCK,00-04,112,112,0,81,0.7232142857142857,8,0.07142857142857142,23,0.20535714285714285,0.2767857142857143,10.0,0.14030800392198312,0.43038945041597115,0.6517857142857143,0.5625,0.48214285714285715,0.36607142857142855,0.21428571428571427
CLOCK,04-08,114,112,2,86,0.7678571428571429,1,0.008928571428571428,25,0.22321428571428573,0.23214285714285715,10.0,0.10437250037117816,0.29682365326243076,0.6071428571428571,0.5,0.4375,0.30357142857142855,0.125
CLOCK,08-12,128,127,1,86,0.6771653543307087,5,0.03937007874015748,36,0.28346456692913385,0.3228346456692913,10.0,0.14964370546319097,0.43518626498219665,0.6299212598425197,0.5433070866141733,0.49606299212598426,0.3937007874015748,0.2204724409448819
CLOCK,12-16,158,157,1,115,0.732484076433121,21,0.1337579617834395,21,0.1337579617834395,0.267515923566879,20.0,0.21580135440180429,0.5472139558748097,0.7388535031847133,0.6751592356687898,0.5796178343949044,0.47770700636942676,0.29936305732484075
CLOCK,16-20,123,122,1,85,0.6967213114754098,2,0.01639344262295082,35,0.28688524590163933,0.30327868852459017,15.0,0.15693403372007564,0.35154202400431944,0.6885245901639344,0.6065573770491803,0.5081967213114754,0.36885245901639346,0.18032786885245902
CLOCK,20-00,99,99,0,66,0.6666666666666666,4,0.04040404040404041,29,0.29292929292929293,0.3333333333333333,10.0,0.16897368421052786,0.36912411789124844,0.6868686868686869,0.5959595959595959,0.5252525252525253,0.36363636363636365,0.1919191919191919
REGIME,BULL,313,310,3,221,0.7129032258064516,18,0.05806451612903226,71,0.22903225806451613,0.2870967741935484,15.0,0.15596129019436622,0.4014568755125952,0.6774193548387096,0.5903225806451613,0.5032258064516129,0.3741935483870968,0.20967741935483872
REGIME,BEAR,314,312,2,224,0.717948717948718,16,0.05128205128205128,72,0.23076923076923078,0.28205128205128205,10.0,0.1637004059500358,0.4314434060165668,0.6538461538461539,0.5705128205128205,0.5096153846153846,0.3974358974358974,0.21794871794871795
REGIME,SIDEWAYS,107,107,0,74,0.6915887850467289,7,0.06542056074766354,26,0.24299065420560748,0.308411214953271,10.0,0.15912000931207188,0.4373417024336267,0.7009345794392523,0.616822429906542,0.5233644859813084,0.38317757009345793,0.19626168224299065
