zone,session_date,year,ref_start,ref_end,exec_start,exec_end,ref_bars,exec_bars,status,H,L,R,k1_ts,leave_ts,h2_ts,terminal,entry_signal_ts,entry_ts,entry_px,has_k1,has_leave,upstream_h2,has_entry,h2_after_entry,trade_net_win,trade_net_return,trade_pnl_usd_500,trade_exit_type,trade_exit_ts,trade_rr,entry_structural_terminal
Z00,2022-01-01,2022,2022-01-01 00:00:00+00:00,2022-01-01 04:00:00+00:00,2022-01-01 04:00:00+00:00,2022-01-01 08:00:00+00:00,48,48,OK,520.18,511.43,8.749999999999943,,,,BREAK_ABOVE_BEFORE_K1,,,,False,False,False,False,False,False,,,,,,
Z04,2022-01-01,2022,2022-01-01 04:00:00+00:00,2022-01-01 08:00:00+00:00,2022-01-01 08:00:00+00:00,2022-01-01 12:00:00+00:00,48,48,OK,521.77,513.75,8.019999999999982,,,,LOW_VISIT_BEFORE_K1,,,,False,False,False,False,False,False,,,,,,
Z08,2022-01-01,2022,2022-01-01 08:00:00+00:00,2022-01-01 12:00:00+00:00,2022-01-01 12:00:00+00:00,2022-01-01 16:00:00+00:00,48,48,OK,517.34,512.35,4.990000000000009,,,,BREAK_ABOVE_BEFORE_K1,,,,False,False,False,False,False,False,,,,,,
Z12,2022-01-01,2022,2022-01-01 12:00:00+00:00,2022-01-01 16:00:00+00:00,2022-01-01 16:00:00+00:00,2022-01-01 20:00:00+00:00,48,48,OK,521.0,513.6,7.399999999999977,,,,BREAK_ABOVE_BEFORE_K1,,,,False,False,False,False,False,False,,,,,,
Z16,2022-01-01,2022,2022-01-01 16:00:00+00:00,2022-01-01 20:00:00+00:00,2022-01-01 20:00:00+00:00,2022-01-02 00:00:00+00:00,48,48,OK,525.4,517.54,7.860000000000014,2022-01-01 20:15:00+00:00,2022-01-01 20:20:00+00:00,2022-01-01 20:20:00+00:00,H2,,,,True,True,True,False,False,False,,,,,,
Z20,2022-01-01,2022,2022-01-01 20:00:00+00:00,2022-01-02 00:00:00+00:00,2022-01-02 00:00:00+00:00,2022-01-02 04:00:00+00:00,48,48,OK,528.16,524.18,3.980000000000018,,,,BREAK_BELOW_BEFORE_K1,,,,False,False,False,False,False,False,,,,,,
Z00,2022-01-02,2022,2022-01-02 00:00:00+00:00,2022-01-02 04:00:00+00:00,2022-01-02 04:00:00+00:00,2022-01-02 08:00:00+00:00,48,48,OK,527.79,522.68,5.110000000000014,,,,BREAK_BELOW_BEFORE_K1,,,,False,False,False,False,False,False,,,,,,
Z04,2022-01-02,2022,2022-01-02 04:00:00+00:00,2022-01-02 08:00:00+00:00,2022-01-02 08:00:00+00:00,2022-01-02 12:00:00+00:00,48,48,OK,523.24,518.01,5.230000000000018,,,,BREAK_ABOVE_BEFORE_K1,,,,False,False,False,False,False,False,,,,,,
Z08,2022-01-02,2022,2022-01-02 08:00:00+00:00,2022-01-02 12:00:00+00:00,2022-01-02 12:00:00+00:00,2022-01-02 16:00:00+00:00,48,48,OK,524.74,519.83,4.909999999999968,2022-01-02 12:45:00+00:00,2022-01-02 12:55:00+00:00,2022-01-02 15:10:00+00:00,H2,2022-01-02 13:05:00+00:00,2022-01-02 13:10:00+00:00,523.87,True,True,True,True,True,False,-0.004311766277893257,-2.1558831389466286,SL,2022-01-02 13:45:00+00:00,1.5906313645621388,H2
Z12,2022-01-02,2022,2022-01-02 12:00:00+00:00,2022-01-02 16:00:00+00:00,2022-01-02 16:00:00+00:00,2022-01-02 20:00:00+00:00,48,48,OK,526.9,521.6,5.2999999999999545,2022-01-02 16:00:00+00:00,2022-01-02 16:05:00+00:00,2022-01-02 16:05:00+00:00,H2,,,,True,True,True,False,False,False,,,,,,
Z16,2022-01-02,2022,2022-01-02 16:00:00+00:00,2022-01-02 20:00:00+00:00,2022-01-02 20:00:00+00:00,2022-01-03 00:00:00+00:00,48,48,OK,533.9,523.29,10.610000000000014,,,,NO_K1_BY_END,,,,False,False,False,False,False,False,,,,,,
Z20,2022-01-02,2022,2022-01-02 20:00:00+00:00,2022-01-03 00:00:00+00:00,2022-01-03 00:00:00+00:00,2022-01-03 04:00:00+00:00,48,48,OK,532.4,528.1,4.2999999999999545,,,,BREAK_BELOW_BEFORE_K1,,,,False,False,False,False,False,False,,,,,,
Z00,2022-01-03,2022,2022-01-03 00:00:00+00:00,2022-01-03 04:00:00+00:00,2022-01-03 04:00:00+00:00,2022-01-03 08:00:00+00:00,48,48,OK,531.02,523.0,8.019999999999982,,,,LOW_VISIT_BEFORE_K1,,,,False,False,False,False,False,False,,,,,,
Z04,2022-01-03,2022,2022-01-03 04:00:00+00:00,2022-01-03 08:00:00+00:00,2022-01-03 08:00:00+00:00,2022-01-03 12:00:00+00:00,48,48,OK,526.96,522.82,4.139999999999986,2022-01-03 09:05:00+00:00,2022-01-03 09:10:00+00:00,2022-01-03 10:00:00+00:00,H2,2022-01-03 09:35:00+00:00,2022-01-03 09:40:00+00:00,525.65,True,True,True,True,True,True,0.003354941500998855,1.6774707504994275,TP,2022-01-03 10:10:00+00:00,2.0547504025765697,H2
