hour_wib,component_rank,character_rule,lookback_min,hold_min,dev_n,dev_wr,dev_net,dev_exp,dev_pf,dev_dd,dev_ls,test2023_n,test2023_wr,test2023_net,test2023_exp,test2023_pf,test2023_dd,test2023_viable,test2023_stable,y2024_n,y2024_wr,y2024_net,y2024_exp,y2024_pf,y2024_dd,y2024_ls,wr_change_vs_2022_pp,exp_retention_vs_2022,pf_retention_vs_2022,dd_cap,ls_warning_threshold,risk_clustering_warning,economically_viable_2024,strict_stable_vs_2022_2024
5,1,DRIVE_DOWN__STR_B60_80,60,360,83,0.5783132530120482,48.07169841739163,0.5791770893661642,1.2154307624245178,65.77335488259979,5,89,0.5955056179775281,113.02027849459728,1.2698907696022168,2.084188146349921,25.40218647765219,True,True,90,0.5777777777777777,55.8722865449011,0.6208031838322344,1.2800626471889465,70.52330291499123,4,-0.053547523427044386,1.071871099928391,1.0531761139857134,118.66003232389969,12,False,True,True
5,1,DRIVE_DOWN__STR_B60_80,120,360,91,0.5274725274725275,158.59375635798824,1.7427885314064642,1.7725565921227058,64.88597486616752,9,102,0.5588235294117647,53.60099842948389,0.5254999846027832,1.4024039511739612,36.789436497211874,True,False,82,0.6707317073170732,138.67348454940554,1.6911400554805553,1.8642547818748523,64.06933254251015,5,14.325917984454573,0.9703644618981814,1.051732164806278,117.32896229925127,13,False,True,True
5,1,DRIVE_DOWN__STR_B60_80,60,480,83,0.5662650602409639,81.75618092368758,0.985014227996236,1.3649696753110514,77.75183393650218,4,89,0.6179775280898876,143.99507358426413,1.6179221751040913,2.194270594282455,31.17612953894498,True,True,90,0.6111111111111112,73.49504807807199,0.816611645311911,1.3195070084529312,74.88309514709049,5,4.484605087014726,0.8290353805072463,0.9666932770152861,136.62775090475327,12,False,True,True
5,1,DRIVE_DOWN__STR_B60_80,120,480,91,0.6483516483516484,205.9519942906737,2.2632087284689417,2.010849102766232,58.42066059285503,4,102,0.5784313725490197,124.79523115888964,1.2234826584204868,1.8497135673136984,31.90485168205052,True,False,82,0.6585365853658537,147.95996342423496,1.8043897978565238,1.8970441618419438,71.0641597848602,5,1.0184937014205309,0.7972706075047667,0.9434045345482504,107.63099088928254,12,False,True,True
5,1,DRIVE_DOWN__STR_B60_80,60,720,83,0.6626506024096386,160.3704114457634,1.932173631876668,1.6723416377177616,46.66001082265504,5,89,0.6966292134831461,213.9848745738284,2.4043244334138016,2.59743516187118,42.3662713441514,True,True,90,0.5222222222222223,-12.201472245819932,-0.1355719138424437,0.9613035035419325,112.88875875085847,4,-14.042838018741632,-0.07016549217202926,0.5748248335512472,89.99001623398256,12,False,False,False
5,1,DRIVE_DOWN__STR_B60_80,120,720,91,0.7142857142857143,368.0565022025386,4.044576947280643,2.9704533610757933,50.19054150963615,4,102,0.6274509803921569,175.792670978113,1.723457558608951,2.0350032263866806,38.26877646616824,True,False,82,0.6585365853658537,179.27966043762427,2.186337322410052,2.0300294910813395,73.82584922362139,5,-5.574912891986061,0.5405601997212658,0.6834072932039352,95.28581226445422,12,False,True,False
5,1,DRIVE_DOWN__STR_B60_80,60,960,83,0.5903614457831325,134.37054774014004,1.618922261929398,1.4091117102268491,71.20269869781765,6,89,0.5955056179775281,186.78877509565385,2.0987502819736386,2.4862514747342788,39.174221844356246,True,True,90,0.5,-22.465938862651225,-0.24962154291834693,0.9439714579723695,81.68329083256967,5,-9.036144578313255,-0.1541899501838051,0.6699053390312129,126.80404804672648,12,False,False,False
5,1,DRIVE_DOWN__STR_B60_80,120,960,91,0.6373626373626373,313.8295321669487,3.448676177658777,2.1076679223681016,44.5998789878914,4,102,0.5392156862745098,175.2848881589893,1.7184792956763657,2.0301870777577813,29.88920373235075,True,False,82,0.5853658536585366,118.07399679992602,1.4399267902430002,1.4849547409338528,94.8289370659762,5,-5.199678370410076,0.4175302974431574,0.7045487219188732,86.8998184818371,12,False,False,False
22,3,RV_HIGH__RANGE_MID,180,360,90,0.6444444444444445,126.7784950016926,1.408649944463251,1.7201372195868032,70.65390785247273,9,80,0.575,131.13827735115535,1.639228466889442,2.1157754830431243,51.8335185379264,True,False,56,0.4642857142857143,-11.553694631008682,-0.20631597555372647,0.9373891112526639,84.23297295859012,6,-18.01587301587302,-0.1464636238155965,0.5449501938443234,125.98086177870908,13,False,False,False
22,3,RV_HIGH__RANGE_MID,180,480,90,0.7333333333333333,139.25342467860045,1.5472602742066717,1.5580394170468814,87.67190396624721,6,80,0.6375,169.41338098817977,2.117667262352247,2.1610292606509547,60.059171999888,True,False,56,0.5,38.43729688074844,0.6863803014419364,1.219322164534291,66.63265199033643,6,-23.33333333333333,0.4436101106479095,0.7826003316690169,151.50785594937082,12,False,False,False
22,3,RV_HIGH__RANGE_MID,180,720,90,0.7333333333333333,326.92681619609726,3.632520179956636,2.2971946870673885,106.38468637564608,8,80,0.5875,389.8397149524991,4.872996436906239,3.6781724932298103,68.69147031724572,True,False,56,0.6607142857142857,62.67477218546814,1.1191923604547882,1.2758956323441928,84.74039580041094,3,-7.261904761904758,0.30810354932925627,0.5554146714369291,160.0,12,False,True,False
22,3,RV_HIGH__RANGE_MID,240,720,91,0.6593406593406593,316.6437828632585,3.479602009486357,2.8428070960478182,65.08773344868999,6,75,0.6,192.7447934542733,2.569930579390311,2.4400157528669912,65.41777270540177,True,False,63,0.746031746031746,388.6044485356837,6.168324579931487,6.570800518124703,41.73937863629067,5,8.669108669108672,1.7727097993146714,2.311377556099282,117.63160017303498,12,False,True,True
