friday_wib,freeze_utc,touch_utc,cluster_id,level,side,sources,families,confluence_count,prior_resolved,prior_hold,prior_break,prior_ambiguous,prior_unresolved,outcome
2025-04-25,2025-04-24 17:00:00+00:00,2025-04-25 01:05:00+00:00,2025-04-25-4,94178.0,RESISTANCE,PDH|SWING_H,PDAY|SWING,2,2,2,0,0,0,AMBIGUOUS_TOUCH_BAR
2025-06-27,2025-06-26 17:00:00+00:00,2025-06-26 21:30:00+00:00,2025-06-27-3,107022.6,SUPPORT,SWING_L,SWING,1,3,3,0,0,0,AMBIGUOUS_TOUCH_BAR
2025-07-18,2025-07-17 17:00:00+00:00,2025-07-17 17:55:00+00:00,2025-07-18-4,119216.4,RESISTANCE,SWING_H,SWING,1,3,3,0,2,0,BREAK
2025-07-18,2025-07-17 17:00:00+00:00,2025-07-17 17:55:00+00:00,2025-07-18-5,119299.9,RESISTANCE,SWING_H,SWING,1,4,4,0,1,0,BREAK
2025-07-18,2025-07-17 17:00:00+00:00,2025-07-17 21:10:00+00:00,2025-07-18-6,120100.0,RESISTANCE,PDH|SWING_H,PDAY|SWING,2,2,2,0,1,0,BREAK
2025-08-01,2025-07-31 17:00:00+00:00,2025-07-31 23:40:00+00:00,2025-08-01-1,115700.0,SUPPORT,PDL|SWING_L,PDAY|SWING,2,2,2,0,2,0,AMBIGUOUS_TOUCH_BAR
2025-08-15,2025-08-14 17:00:00+00:00,2025-08-15 02:40:00+00:00,2025-08-15-2,118829.0,RESISTANCE,SWING_L,SWING,1,2,2,0,3,0,UNRESOLVED
2025-09-05,2025-09-04 17:00:00+00:00,2025-09-04 18:05:00+00:00,2025-09-05-2,110118.5,RESISTANCE,SWING_L,SWING,1,3,3,0,1,0,HOLD
2025-09-05,2025-09-04 17:00:00+00:00,2025-09-04 23:00:00+00:00,2025-09-05-6,111732.9,RESISTANCE,SWING_H,SWING,1,4,4,0,0,0,AMBIGUOUS_TOUCH_BAR
2025-09-05,2025-09-04 17:00:00+00:00,2025-09-05 07:20:00+00:00,2025-09-05-7,112541.2,RESISTANCE,PDH|SWING_H,PDAY|SWING,2,3,3,0,0,0,AMBIGUOUS_TOUCH_BAR
2025-11-28,2025-11-27 17:00:00+00:00,2025-11-28 09:10:00+00:00,2025-11-28-6,91850.0,RESISTANCE,SWING_H,SWING,1,2,2,0,0,0,HOLD
2025-12-26,2025-12-25 17:00:00+00:00,2025-12-25 20:25:00+00:00,2025-12-26-4,87660.0,SUPPORT,SWING_H,SWING,1,5,5,0,2,0,AMBIGUOUS_TOUCH_BAR
2026-01-09,2026-01-08 17:00:00+00:00,2026-01-09 15:25:00+00:00,2026-01-09-5,91666.0,RESISTANCE,PDH|SWING_H,PDAY|SWING,2,2,2,0,3,0,AMBIGUOUS_TOUCH_BAR
2026-01-23,2026-01-22 17:00:00+00:00,2026-01-22 17:05:00+00:00,2026-01-23-1,89317.9,RESISTANCE,SWING_L,SWING,1,2,2,0,2,0,HOLD
2026-01-23,2026-01-22 17:00:00+00:00,2026-01-22 18:20:00+00:00,2026-01-23-2,89701.9,RESISTANCE,SWING_L,SWING,1,2,2,0,2,0,HOLD
2026-01-23,2026-01-22 17:00:00+00:00,2026-01-23 16:40:00+00:00,2026-01-23-4,90318.6,RESISTANCE,SWING_H,SWING,2,2,2,0,1,0,HOLD
2026-02-13,2026-02-12 17:00:00+00:00,2026-02-12 17:00:00+00:00,2026-02-13-2,65718.5,SUPPORT,SWING_L,SWING,1,2,2,0,2,0,HOLD
2026-03-20,2026-03-19 17:00:00+00:00,2026-03-19 19:10:00+00:00,2026-03-20-2,70456.0,RESISTANCE,SWING_L,SWING,1,2,2,0,0,0,AMBIGUOUS_TOUCH_BAR
2026-05-01,2026-04-30 17:00:00+00:00,2026-04-30 19:10:00+00:00,2026-05-01-3,76445.0,RESISTANCE,SWING_H,SWING,1,3,3,0,0,0,HOLD
2026-05-15,2026-05-14 17:00:00+00:00,2026-05-15 13:40:00+00:00,2026-05-15-2,79188.0,SUPPORT,SWING_L,SWING,2,3,3,0,0,0,BREAK
2026-05-15,2026-05-14 17:00:00+00:00,2026-05-14 17:00:00+00:00,2026-05-15-6,81877.9,RESISTANCE,PDH,PDAY,1,2,2,0,2,0,HOLD
2026-05-22,2026-05-21 17:00:00+00:00,2026-05-21 17:00:00+00:00,2026-05-22-3,77183.7,RESISTANCE,SWING_L,SWING,1,6,6,0,1,0,BREAK
