partition,leg,n,p25_h,median_h,p75_h
external,5m→15m,5505,1.8333333333333333,5.0,11.0
external,15m→1h,4684,6.25,21.25,49.5
external,1h→4h,2531,3.0,42.0,77.0
external,4h→1d,387,28.0,52.0,96.0
development,5m→15m,7974,1.9166666666666667,5.083333333333333,11.833333333333334
development,15m→1h,6635,7.25,22.5,50.375
development,1h→4h,3163,4.0,45.0,69.0
development,4h→1d,322,20.0,40.0,60.0
reference_validation,5m→15m,4017,1.9166666666666667,5.083333333333333,11.333333333333334
reference_validation,15m→1h,3411,8.125,24.0,50.0
reference_validation,1h→4h,1610,2.0,27.0,80.0
reference_validation,4h→1d,199,8.0,40.0,64.0
august,5m→15m,155,2.291666666666667,5.083333333333333,9.166666666666668
august,15m→1h,127,3.5,29.25,54.25
august,1h→4h,93,29.0,58.0,73.0
august,4h→1d,0,,,
