i,date,entry_t,mfe,mae,developed,parent_pnl,a511_pnl,ret1h,ret3h,ret6h,ret12h,ret24h,mon_ret,overnight_ret,ema_spread,dist_ema20,ema20_slope1h,loc24,range6,range24,taker1h,taker4h,ret1h_up,ret3h_up,ret6h_up,ret12h_up,ret24h_up,monday_up,overnight_up,above_ema20,ema_bull,ema20_rising,upper_half24,taker1h_buy,taker4h_buy,uptrend_pressure,overnight_up_pressure,bearish_alignment,extended_down_state
0,2023-12-05,2023-12-04 23:00:00+00:00,0.007710918040211179,0.0014087024920448332,True,1.3201490936393396,1.3201490936393396,-0.0005741143511911462,0.0012171082462664184,0.008255207269388887,-0.0036052382829756535,0.045906233016389075,0.050819998940146105,0.008255207269388887,7.899773139707911e-05,-0.001727743686471106,0.003952218317493816,0.8174174174174169,0.022207235415964144,0.06697506033789224,0.018236694701105227,0.03173058735457457,False,True,True,False,True,True,True,False,True,True,True,True,True,False,False,False,False
1,2023-12-12,2023-12-11 23:00:00+00:00,0.0036532311364720904,0.010887064559784276,False,-4.7500000000000036,-4.7500000000000036,0.0011852534115424085,0.013174290143443068,-0.01022224884682199,-0.02673389804549897,-0.05838329495976469,-0.0464520423352307,-0.01022224884682199,0.0021070953927111447,0.0019831712537023982,0.0042094715919986925,0.29567841953628715,0.03984508418203081,0.09059542660266517,0.009573009482190198,0.01170239052867772,True,True,False,False,False,False,False,True,True,True,False,True,True,False,False,False,False
2,2023-12-19,2023-12-18 23:00:00+00:00,0.0,0.010343311411501022,False,-4.7500000000000036,-4.7500000000000036,0.00030576004892157727,0.01882661262310137,0.024527965542327612,0.03984058874585883,0.01866311543730892,-0.017520068915899967,0.024527965542327612,0.0013574729651724127,0.0016290234937323955,0.0038492206148161845,0.8816417577515044,0.03493782436046877,0.05527225562092819,-0.031849697744157246,0.05807495547471242,True,True,True,True,True,False,True,True,True,True,True,False,True,True,True,False,False
3,2023-12-26,2023-12-25 23:00:00+00:00,0.007308419894456852,7.548602707885266e-05,True,1.9457661488629658,1.9457661488629658,0.0023087910601409245,0.00448053380390423,0.0041183077499062914,0.01221138617987827,0.01769464458231007,-0.003761067008304586,0.0041183077499062914,0.0018241714702040834,0.0019243883281545582,0.004033229467674815,0.878128996893841,0.009636875696297675,0.02560144449589985,0.029660642294456085,0.002422928280094716,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,False
4,2024-01-02,2024-01-01 23:00:00+00:00,2.2944199705721147e-06,0.01183920704845809,False,-4.7500000000000036,-4.7500000000000036,-0.000802404462285855,-0.0035710938017973204,0.018679574707781255,0.018474854708564248,0.03005029258562497,0.003590984516519624,0.018679574707781255,-0.0007039337024693504,6.52367843061441e-05,-0.0016839240076351736,0.8190351451648121,0.02762853693008971,0.0435424196411387,-0.0006660905383450988,0.05956339979436298,False,False,True,True,True,True,True,True,False,False,True,False,True,False,True,True,False
5,2024-01-09,2024-01-08 23:00:00+00:00,0.016115274412747738,0.00345023430536906,True,5.999999999999979,5.999999999999979,0.001839108873966655,-6.381050831449908e-05,0.04448443644604416,0.06565597033195192,0.06950343638311862,0.024839224629418455,0.04448443644604416,0.00014532761162633356,0.001030696615259341,-0.00037491783153453806,0.9275861238835786,0.053857856600310505,0.09624844467203153,-0.0576535419707892,-0.005110489665436924,True,False,True,True,True,True,True,True,True,False,True,False,False,True,True,False,False
6,2024-01-16,2024-01-15 23:00:00+00:00,0.003947516559398068,0.0072851969301783726,False,-2.7530773272287083,-2.7530773272287083,-0.0019289789287144643,-0.009032357036103833,0.0009061905019027705,0.0013904775773745381,0.010128651645461728,-0.010086525770340193,0.0009061905019027705,-0.0009522806740585033,-0.0017102977190470714,-0.003344498974662491,0.553984962406015,0.02443713348432852,0.03985520275210663,0.03595553057269307,0.003089712869060124,False,False,True,True,True,False,True,False,False,False,True,True,True,False,False,False,False
7,2024-01-23,2024-01-22 23:00:00+00:00,0.008784857606973673,0.008036675964539164,True,-4.7500000000000036,0.2500000000000009,0.0005400870168106309,-0.0023844649105448923,-0.01914434104212792,-0.020738369548648494,-0.04390647879209775,-0.0268127740714591,-0.01914434104212792,-0.0017929818621734706,-0.0020862523530778,-0.0031506221703789805,0.18683141946469933,0.03588650322318654,0.05812649104106393,-0.02603327666991273,-0.0397614070929152,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
8,2024-01-30,2024-01-29 23:00:00+00:00,0.000731028080761198,0.009166860060338733,False,-4.7500000000000036,-4.7500000000000036,-0.0008695148107356054,-0.0005334817804374392,-0.0021212738759101013,0.018936276874473856,0.03013177271597156,0.02224763095162019,-0.0021212738759101013,-0.00015013022950538524,-0.0007724127806345571,-0.00016168718787312741,0.8669225847728727,0.010129854374594682,0.037450581047082876,-0.11248606364890756,-0.007854186445181988,False,False,False,True,True,True,False,False,False,False,True,False,False,False,False,True,False
9,2024-02-06,2024-02-05 23:00:00+00:00,0.0009368894329230271,0.00899225536122028,False,-4.7500000000000036,-4.7500000000000036,0.0020829106966782085,-0.0049004335899891505,-0.004448017023390705,-0.015319249544525348,-0.0021305283334428493,-0.0039072061843893335,-0.004448017023390705,0.00015468498191673064,0.0008574725667931382,-4.201544384085931e-05,0.18276451780801745,0.013282535120724637,0.03184318256615937,0.03831703211183535,-0.05696263171163618,True,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False
10,2024-02-13,2024-02-12 23:00:00+00:00,0.005707434052757754,0.007769784172661831,True,0.42406075139886434,0.42406075139886434,0.0012746041623730164,0.00534415558323631,0.006223544907048906,0.04604347226228844,0.04057277251091196,0.029922996411483327,0.006223544907048906,0.00016509978082668297,0.0006213412845352817,0.0001494093637846028,0.8623487754499862,0.018423795786768782,0.056836191354660226,0.022579695790954757,-0.006062717310152177,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False
11,2024-02-20,2024-02-19 23:00:00+00:00,0.012337483668996674,0.001543147520669974,True,0.7469685424952028,0.7469685424952028,-0.00033276205973931106,0.0016362511539522728,0.0010748131597195787,-0.008552063044519054,-0.005914194449226251,-0.00232813402657428,0.0010748131597195787,0.000502580756713833,0.00013211655160039193,0.0018154075526932711,0.33526833313588494,0.010242062256734297,0.016330423612078482,0.05731866225550042,0.028582084003926367,False,True,True,False,False,False,True,True,True,True,False,True,True,True,True,False,False
12,2024-02-27,2024-02-26 23:00:00+00:00,0.0042043688876702845,0.012704505986655734,False,-4.7500000000000036,-4.7500000000000036,3.290489935681151e-05,0.0011163185643776607,0.025192745209011935,0.06956224216474083,0.05571433809552295,0.039198260707229426,0.025192745209011935,0.00042658090004077387,0.0015473993313463996,0.0011352215114950326,0.9294964735949669,0.032628412406908947,0.0799116304187737,-0.06415213266526298,0.059397243819195866,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False
13,2024-03-05,2024-03-04 23:00:00+00:00,0.0013691679841171256,0.008860619875730835,False,-4.7500000000000036,-4.7500000000000036,0.004866384998588824,0.011282142804027506,0.024964803275179692,0.043179970237638754,0.08223010934093056,0.05813166705845729,0.024964803275179692,0.002891230030583669,0.0064515035541836685,0.0046350714853644615,0.9995790212243476,0.027871957385637858,0.0915102971155235,0.03679685081077233,-0.027949610835417915,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False
14,2024-03-12,2024-03-11 23:00:00+00:00,0.016775492474126574,0.0007515530948130067,True,5.999999999999979,5.999999999999979,-0.0019488509211622596,0.00492229917933984,0.0006250750297014385,0.011042236554822171,0.05726590930297659,0.044701777015121236,0.0006250750297014385,0.0006618855283822,-0.0004795115803214456,0.0029627092899950913,0.9366044142614611,0.015181058495821631,0.08791044776119405,-0.014198619749738128,0.0030007990496734305,False,True,True,True,True,True,True,False,True,True,True,False,True,False,False,False,False
15,2024-03-19,2024-03-18 23:00:00+00:00,0.015196249210220114,0.00646881329310145,True,5.999999999999979,5.999999999999979,0.001946492172616443,0.009501838969461662,0.012701298235332725,-0.004941477860299082,-0.009155095419819514,-0.01354141275905918,0.012701298235332725,0.0006208735451125325,0.002803550733055049,0.00028495052176169544,0.4661863435401972,0.020651155527795062,0.03667779753038958,-0.01404873035437848,0.005409907048334883,True,True,True,False,False,False,True,True,True,True,False,False,True,True,True,False,False
16,2024-03-26,2024-03-25 23:00:00+00:00,0.00847864705464374,0.005182974490158365,True,-2.681357919420229,0.15243729126698868,0.0038375941565853555,-0.007327423241220821,0.0006641229950097305,0.049865046126025714,0.04662629796386453,0.08237758745074819,0.0006641229950097305,0.00027534652340688304,-0.0002786041331189759,0.0008509553396220948,0.8201720582415057,0.02326426649465807,0.07226965899716387,0.07585977313417436,-0.0013345950464375145,True,False,True,True,True,True,True,False,True,True,True,True,False,False,False,False,False
17,2024-04-02,2024-04-01 23:00:00+00:00,0.018462398577940853,0.002375354798015872,True,5.999999999999923,5.999999999999923,0.0002552403130566816,0.000889603122220084,0.0175514348064556,-0.0002465129877946559,-0.01791672650171916,-0.02711316528199159,0.0175514348064556,0.0006817441266051549,0.0001942226996936025,0.0014323123166553042,0.48720594304581055,0.025240777464607067,0.049809627433619275,-0.07594748673976348,0.015986663677718838,True,True,True,False,False,False,True,True,True,True,False,False,True,True,True,False,False
18,2024-04-09,2024-04-08 23:00:00+00:00,0.014908368415933793,0.0014491545440651343,True,6.000000000000034,6.000000000000034,0.0030115528798584368,0.003408682171407218,0.0016366179346050114,-0.004851778109617788,0.03918468593342128,0.025504030673979106,0.0016366179346050114,0.0004509864417134857,0.0027511246233915543,1.2235418708206325e-05,0.7617402597402627,0.011680962400281603,0.055764450959148615,0.1503391031193786,0.04234320359319432,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,False
19,2024-04-16,2024-04-15 23:00:00+00:00,0.018316023130718895,0.0070754270795889695,True,5.999999999999979,5.999999999999979,0.005365146990762737,-0.000729395751545403,-0.012902272019919003,-0.04795575300933563,-0.02653771249583714,-0.004716139314662304,-0.012902272019919003,0.001717780998731877,0.004183119168410521,0.0011012524267390855,0.2565408859338578,0.03983612483431731,0.07442503112824839,0.00026543588523231243,-0.04701820756382202,True,False,False,False,False,False,False,True,True,True,False,True,False,False,False,False,False
20,2024-04-23,2024-04-22 23:00:00+00:00,0.012795541485882689,0.0033149303207915537,True,5.094038573191823,5.094038573191823,0.005150269965359833,0.00870193610550718,0.010420908172344534,0.014874731133933228,0.03175336474791335,0.024182766564265767,0.010420908172344534,0.0023460838252546967,0.004766019885325434,0.0033313798172933673,0.9267265066862063,0.016724513046451506,0.04233719297973493,0.18979765205602495,0.08959637436378332,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False
21,2024-04-30,2024-04-29 23:00:00+00:00,0.0029705559496461253,0.010443140552551577,False,-4.7500000000000036,-4.7500000000000036,0.01100132826513378,0.0157096209300438,0.014497818813803187,0.02329904175880526,0.014599363531937026,-0.01358402670597958,0.014497818813803187,0.004576584292195873,0.007114304982887454,0.007205914863094298,0.9682806189590228,0.022696769053816013,0.0357012095350111,0.17248168629200955,0.0644997379268537,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,False
22,2024-05-07,2024-05-06 23:00:00+00:00,0.010413367682163055,0.007618192274664537,True,-0.43723657362545953,-0.43723657362545953,-0.00019534049896896555,0.005518218200138758,0.0030264717502963556,-0.010634666018173311,-0.005383168782322478,-0.016372229186293663,0.0030264717502963556,0.00030967165109285766,0.0003799489984182003,0.0008629517287441768,0.28516187998734416,0.015056986400192818,0.04540238415584952,-0.16381249228545358,-0.05549730163441602,False,True,True,False,False,False,True,True,True,True,False,False,False,True,True,False,False
23,2024-05-14,2024-05-13 23:00:00+00:00,0.0058237943598129505,0.005689914029702203,True,0.9920381048920408,0.9920381048920408,-0.001975602423533007,-0.0055048343636076025,-0.0034577289852034676,0.001959437879271775,0.023257975817315257,0.030380763092708873,-0.0034577289852034676,-0.0010228376626753022,-0.0015537274621950647,-0.0019668735282397654,0.7407806691449803,0.00995359784586558,0.0442798353909466,-0.03213277715579643,-0.06901299891402635,False,False,False,True,True,True,False,False,False,False,True,False,False,False,False,True,False
24,2024-05-21,2024-05-20 23:00:00+00:00,0.00012072851032529641,0.014435680448880106,False,-4.7500000000000036,-4.7500000000000036,0.00010205475021751731,-0.006485625101739445,0.022953287736487304,0.036979629309471296,0.04943748029785877,0.02194276530416417,0.022953287736487304,0.0009693720551020579,0.0005111999601243866,0.0030273737501052,0.7993188896108269,0.03635224620705779,0.06761551280109068,-0.003322457160412795,0.07072468428061374,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False
25,2024-05-28,2024-05-27 23:00:00+00:00,0.013574374705591752,0.0,True,6.000000000000034,6.000000000000034,-0.000879578146859461,0.0016571724495080264,-0.010211856215245119,0.013997378768020985,0.016008089403668935,0.020136958043888153,-0.010211856215245119,-0.0004499113693277046,-0.0008111844230648257,-0.0005896762527757282,0.5491073227743515,0.01906657018813318,0.03634608539491757,-0.08316653136692231,-0.0418515645064379,False,True,False,True,True,True,False,False,False,False,True,False,False,False,False,False,False
26,2024-06-04,2024-06-03 23:00:00+00:00,0.00621378728380928,0.004630306433940357,True,-0.8144103270741603,-0.8144103270741603,0.0010780452605130275,-0.0033942313933947865,0.0006140851434843775,0.002017430249270813,0.01556087350212243,0.014399553866247805,0.0006140851434843775,-0.00015262005423888336,-0.000212640353130511,-0.0012729322267958088,0.5294656264879308,0.010398326505709043,0.04036361701058189,0.02193998424447985,0.011747253766340782,True,False,True,True,True,True,True,False,False,False,True,True,True,False,False,False,False
27,2024-06-11,2024-06-10 23:00:00+00:00,0.015199255640579223,0.0009160682981406154,True,5.999999999999923,5.999999999999923,4.6021313620858706e-05,0.0005813300947681288,-0.004304320931085126,0.001365179849484699,-0.0013514231591706949,0.005289341180457763,-0.004304320931085126,-0.0005308601620959141,-0.0003228395553509511,-0.00107253547318642,0.32794909446891823,0.011616138315234892,0.014761304717259227,0.049384482820889364,-0.02515922137187232,True,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True
28,2024-06-18,2024-06-17 23:00:00+00:00,0.016900186695961605,0.0009304782658285937,True,6.000000000000034,6.000000000000034,0.002051251203079696,0.0029109408630472178,0.008600724749561639,0.00996591127838009,-0.0026523134399848436,-0.010272037698198178,0.008600724749561639,0.00030317602318086223,0.0008687147419148555,0.00038149383596008946,0.7034359701697349,0.021478488869050683,0.033577131234551416,-0.06490462268460384,0.012861370601058741,True,True,True,True,False,False,True,True,True,True,True,False,True,True,True,False,False
29,2024-06-25,2024-06-24 23:00:00+00:00,0.0009495521279130337,0.009882005653999881,False,-4.7500000000000036,-4.7500000000000036,0.000221611633111074,0.00976998152989017,-0.0064533641408783815,-0.020270865771614965,-0.05635474454161171,-0.059458893109417654,-0.0064533641408783815,0.001579923124545246,0.0007696639650738302,0.004010243137813507,0.33184234647112687,0.03984162973650762,0.09369954309663675,-0.16938356147802347,-0.09250761487647241,True,True,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False
30,2024-07-02,2024-07-01 23:00:00+00:00,0.0031114202942745806,0.005120581433762927,False,-1.201862722675389,-1.201862722675389,-0.002787557988333411,-0.004825580476393698,-0.0021490618457525867,0.002897428790789247,-0.00036358093883270826,0.024313677112939525,-0.0021490618457525867,-0.0012015508467762004,-0.0009260002836328773,-0.002712647875316887,0.34117909117909045,0.017027715833067836,0.021548041508938853,-0.04191103839877064,-0.05124578081433062,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,True
31,2024-07-09,2024-07-08 23:00:00+00:00,0.007188048743900444,0.00987055158964778,True,-4.7500000000000036,-4.7500000000000036,0.002054916857215039,0.004814512696836415,0.01774020310440072,-0.005432397802467848,0.00552240103775703,-0.02376636102750751,0.01774020310440072,0.001204337759827201,0.0008398483708593751,0.003713846506739893,0.6116909702039477,0.024875568175683815,0.07294752696656359,0.0034575475743023887,-0.016285681318197187,True,True,True,False,True,False,True,True,True,True,True,True,False,True,True,False,False
32,2024-07-16,2024-07-15 23:00:00+00:00,0.0019188605016405846,0.008734391764760652,False,-4.7500000000000036,-4.7500000000000036,0.011830306920863398,0.015019555726718536,0.015939968404423466,0.027829011088770894,0.057541617401113854,0.05451144710436018,0.015939968404423466,0.003910468180972293,0.004669058114652458,0.007284414059157696,0.8874124359066953,0.028992114576912975,0.06852394981409571,0.18607651054609975,0.07191923756469354,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False
33,2024-07-23,2024-07-22 23:00:00+00:00,0.0103771784901322,0.0017660135571861968,True,4.389040288478447,4.389040288478447,-0.001475412015081945,-0.006689164669809733,0.009259632450958843,0.003395605896006737,-0.007195301027900114,-0.005432879233075227,0.009259632450958843,-0.0008938441776201733,-0.0007451402016130926,-0.0026382414458905323,0.5577013169538281,0.018662677332760058,0.028871963041001703,-0.05125974465452432,0.014153983529002767,False,False,True,True,False,False,True,False,False,False,True,False,True,False,False,True,False
34,2024-07-30,2024-07-29 23:00:00+00:00,0.020467205295608526,0.0006890362867641997,True,5.999999999999979,5.999999999999979,-0.003072590886971205,-0.0009782771914227384,0.005917664670658684,-0.03444624061500878,-0.01076457641715678,-0.012574291902994084,0.005917664670658684,-0.0007536391295066558,-0.001180166613128919,7.807854730845776e-05,0.22327196382428957,0.017766681031494924,0.05598064063116848,-0.03316797933331017,-0.03476143257625519,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False
35,2024-08-06,2024-08-05 23:00:00+00:00,0.013878956042046475,0.007120555597217582,True,5.999999999999979,5.999999999999979,0.0009355290499162283,0.01695842145499782,0.009403045973934265,0.0727395448676944,-0.06816539405508593,-0.07735758818003247,0.009403045973934265,0.0021059308398414522,0.0019292514097861702,0.005313792042153986,0.5871617369414723,0.050871661297324344,0.20151775486827028,-0.07450284063661405,0.01106264002082491,True,True,True,True,False,False,True,True,True,True,True,False,True,True,True,False,False
36,2024-08-13,2024-08-12 23:00:00+00:00,0.0005488725243562032,0.011704198366595975,False,-4.7500000000000036,-4.7500000000000036,-0.0003386960203217715,-0.0023525753263521354,-0.010659336975832101,-0.0006077956993798539,0.004092574511731728,-0.010808082652778328,-0.010659336975832101,0.00010538213313915357,0.00035178765407684054,0.0010108231771743803,0.4637823664372337,0.025515419346995527,0.05295495964592556,0.015670721870386206,0.00572138123994792,False,False,False,False,True,False,False,True,True,True,False,True,True,False,False,False,False
37,2024-08-20,2024-08-19 23:00:00+00:00,0.002374875639957974,0.010082242315013978,False,-4.7500000000000036,-4.7500000000000036,0.0035087065077183954,0.0041129160829436184,0.008861154233501534,0.019488078468919312,-0.001681202236656687,-0.01867143920450276,0.008861154233501534,0.0007362937331683028,0.001842763217636323,0.0007080547845865759,0.8920196439533448,0.013771251615020352,0.028207792207792126,0.05265037488525093,0.01101312372774843,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,False,False
38,2024-08-27,2024-08-26 23:00:00+00:00,0.005114402787421035,0.004068961024723539,True,-1.318002173502058,0.2500000000000009,-0.004113930560016743,-0.006156659266253861,-0.01172149783941312,-0.013499746086280462,-0.025260565888711617,-0.005334837189829633,-0.01172149783941312,-0.0013703788660258676,-0.0019303983270833047,-0.0018638295047535003,0.06008240834174292,0.01691482077169293,0.03787442075258385,0.04550968990236237,-0.010524592392552545,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
39,2024-09-03,2024-09-02 23:00:00+00:00,0.005760700792538875,0.007996196622479523,True,1.2697013606852443,1.2697013606852443,0.0037329723326846587,0.016409061311216888,0.014951627088830133,0.015825933569098227,0.03315683132446168,0.0033757452189846493,0.014951627088830133,0.0016887176118183245,0.003586715456009193,0.0027577184956040224,0.9936516452074372,0.018233180131600246,0.03917818296463671,0.13074586988280723,0.15357967148366147,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False
40,2024-09-10,2024-09-09 23:00:00+00:00,0.014469692333248796,0.0007886200897033735,True,6.000000000000034,6.000000000000034,-0.0051422915206117414,0.004611249692583419,0.012279006209420906,0.03515529546775076,0.0459104359689968,0.04510014326036882,0.012279006209420906,-0.0005491571695023234,-0.0015681011145386448,0.0002808267293523681,0.7422517901036662,0.03436426116838498,0.06878831988002276,-0.0628715316480648,0.08832732626493445,False,True,True,True,True,True,True,False,False,True,True,False,True,False,False,False,False
41,2024-09-17,2024-09-16 23:00:00+00:00,0.006210665640471569,0.0077516838168933955,True,-3.0667042573862817,0.2500000000000009,0.0005577013724977764,0.0012076981687563215,0.005062724713693401,-0.01334359458083545,-0.02193484359018505,-0.03678744126427447,0.005062724713693401,0.0004478389632469604,0.0009641815414691557,0.000759439861816924,0.2527677133655376,0.01399045717478753,0.03459230620596965,0.06414341086728514,0.009082182053030685,True,True,True,False,False,False,True,True,True,True,False,True,True,True,True,False,False
42,2024-09-24,2024-09-23 23:00:00+00:00,0.007952119536577373,0.0030273442136263817,True,0.34193283188824264,-0.9201199701854561,-0.0001819556914157694,-0.0006989811006264945,5.3808281094358534e-05,-0.003739679226334225,-0.009770552635620322,0.006372621612454665,5.3808281094358534e-05,-0.0004349647162286141,-0.0011011637446222133,-0.0008332132106918522,0.299625639152664,0.007635210150674032,0.03502712107256167,-0.03814342463197329,-0.048187932973292824,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,True,False
43,2024-10-01,2024-09-30 23:00:00+00:00,0.009979781998572301,0.006172557411717516,True,-3.7251821274758283,0.2500000000000009,-0.00413828818932227,-0.0006566929133857702,-0.00013235287166335485,-0.001648755331316365,-0.03369665850479353,-0.03598997493734335,-0.00013235287166335485,-0.0009536242506431591,-0.002440253631623368,-0.0010579275035365043,0.15816097122302358,0.012830722664119998,0.042337577455493935,-0.19176706529968324,-0.0462536259438997,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
44,2024-10-08,2024-10-07 23:00:00+00:00,0.005423639765242516,0.005824085701837456,True,-2.639303928855224,-1.309022527486519,-0.012674002637913184,-0.014405718715120419,-0.022069477578858132,-0.005684270545158077,-0.004947338892714148,0.018294892403174057,-0.022069477578858132,-0.0030401795359799033,-0.010017517412383103,-0.0026141202114337014,0.03831855876465617,0.024619085805934304,0.03365196471531662,-0.22602137528998334,-0.05964761424263709,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True
45,2024-10-15,2024-10-14 23:00:00+00:00,0.014748960588152116,0.0015233668213114893,True,5.999999999999979,5.999999999999979,0.00812945207766158,0.009583397288503326,0.010601658172967099,0.02550806968253827,0.05895583532854887,0.0473745475419769,0.010601658172967099,0.002047290742488883,0.0059402190851876036,0.002910866986745697,0.9817447693625337,0.015056471306471364,0.06546779878244147,0.20672240285111387,0.07797169958271377,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False
46,2024-10-22,2024-10-21 23:00:00+00:00,0.018199820274192424,1.4755813422251407e-06,True,5.999999999999979,5.999999999999979,0.0004413935636256028,-0.0002994533133108268,0.00668151116828386,-0.007377668674275473,-0.019447579361634437,-0.016946208559513898,0.00668151116828386,4.21567771340392e-05,0.0004057367731387096,5.9593773285460117e-05,0.3348024147253798,0.01380102649797088,0.04038082191371095,0.0022207028462188916,0.022960167704843215,True,False,True,False,False,False,True,True,True,True,False,True,True,True,True,False,False
47,2024-10-29,2024-10-28 23:00:00+00:00,0.0034471862753089333,0.010164266790199106,False,-4.7500000000000036,-4.7500000000000036,0.0009631636419320522,0.005391994089074759,0.01929099719459315,0.021249629485777355,0.025822594697025192,0.013363357602623083,0.01929099719459315,0.0008619857791363206,0.001888771070126971,0.0026716483878905795,0.8580894131352838,0.027079283902407658,0.04064263540886781,0.1637098571276414,0.14292081690559666,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False
