scope,name,source_n,trades_n,fill_rate,wr,pf,expectancy,total_net,avg_win,avg_loss,max_dd,max_loss_streak,median_hold_min,full_sl_n,be_n,l_lock_n,t5_lock_n,t10_lock_n,structural_n,time_n,rebreak_n,t5_reach_n,t75_reach_n,t10_reach_n,full_sl_rate,non_full_loss_rate,per100_full_sl,per100_be,per100_intermediate,per100_t10_or_runner,per100_time_other
PARTITION,external,202,183,0.905940594059406,0.3989071038251366,0.6925735518324766,-0.4412245588599686,-80.74409427137425,2.491796561838137,-2.3876840298687108,140.75954535516354,11,25.0,6,67,11,7,46,8,38,99,74,63,55,0.03278688524590164,0.9672131147540983,3.278688524590164,36.612021857923494,9.836065573770492,30.05464480874317,20.218579234972676
PARTITION,development,333,297,0.8918918918918919,0.3265993265993266,0.36204857118388967,-0.5917095314307298,-175.73773083492677,1.0281879352599304,-1.3773598027757001,177.7017471428935,11,25.0,19,107,15,10,76,10,60,159,116,101,91,0.06397306397306397,0.936026936026936,6.397306397306397,36.02693602693603,8.417508417508417,30.63973063973064,18.51851851851852
PARTITION,reference_validation,194,172,0.8865979381443299,0.3081395348837209,0.4249198828512984,-0.5115942150136106,-87.99420498234102,1.2267523618019947,-1.285815799645771,94.27898993697441,7,25.0,8,61,6,8,42,5,42,89,64,58,50,0.046511627906976744,0.9534883720930233,4.651162790697675,35.46511627906977,8.13953488372093,29.069767441860463,22.674418604651162
POOL,POOLED_OOS,396,355,0.8964646464646465,0.35492957746478876,0.594044686002771,-0.47531915282736703,-168.7382992537153,1.9596747951562674,-1.815097482285611,169.16490130084844,11,25.0,14,128,17,15,88,13,80,188,138,121,105,0.03943661971830986,0.9605633802816902,3.943661971830986,36.056338028169016,9.014084507042254,29.577464788732396,21.408450704225352
POOL,POOLED_MAJOR,729,652,0.8943758573388203,0.34202453987730064,0.501575120510496,-0.5283374694611074,-344.476030088642,1.554498896456964,-1.6110239720245803,344.9026321357742,11,25.0,33,235,32,25,164,23,140,347,254,222,196,0.05061349693251534,0.9493865030674846,5.061349693251533,36.04294478527607,8.742331288343559,30.061349693251532,20.0920245398773
CLOCK_OOS,00-04,65,59,0.9076923076923077,0.3728813559322034,0.2754447066537929,-1.1968446679791591,-70.61383541077039,1.220197180948942,-2.6340046862607336,76.43039364931879,5,25.0,4,21,1,2,19,2,10,29,24,23,21,0.06779661016949153,0.9322033898305084,6.779661016949152,35.59322033898305,5.084745762711864,35.59322033898305,16.949152542372882
CLOCK_MAJOR,00-04,112,101,0.9017857142857143,0.3069306930693069,0.266777831374871,-0.9735795387117631,-98.33153340988807,1.154104856589758,-1.9158397709167223,104.14809164843649,9,25.0,8,36,6,4,25,4,18,49,39,33,29,0.07920792079207921,0.9207920792079208,7.920792079207921,35.64356435643565,9.900990099009901,28.712871287128714,17.821782178217823
CLOCK_OOS,04-08,69,58,0.8405797101449275,0.4482758620689655,2.538060703462851,0.9913129872137213,57.496153258395836,3.64916894414411,-1.1681949777922191,13.01083110380769,7,22.5,0,17,6,3,17,4,11,38,31,25,22,0.0,1.0,0.0,29.310344827586206,15.517241379310345,37.93103448275862,17.24137931034483
CLOCK_MAJOR,04-08,112,96,0.8571428571428571,0.3958333333333333,1.6155521464154943,0.3991579150203983,38.31915984195824,2.64660124512905,-1.0733049564300976,22.410687668267826,7,25.0,0,31,6,5,29,5,20,59,46,40,35,0.0,1.0,0.0,32.291666666666664,11.458333333333334,36.458333333333336,19.791666666666668
CLOCK_OOS,08-12,69,64,0.927536231884058,0.3125,0.7847575540419811,-0.21136298810229925,-13.527231238547152,2.4659627083481985,-1.4283292137616164,26.983581593813806,8,25.0,2,24,2,2,13,2,19,32,21,19,17,0.03125,0.96875,3.125,37.5,6.25,26.5625,26.5625
