clock,clock_min,generated_n,canonical_n,identity_matches,missing_n,extra_n,geometry_mismatch_n,raw_parity_supported
SHORT_0000,0,65,65,65,0,0,0,True
SHORT_0300,180,68,68,68,0,0,0,True
SHORT_0330,210,89,89,89,0,0,0,True
SHORT_0430,270,73,73,73,0,0,0,True
SHORT_2100,1260,70,70,70,0,0,0,True
