anchor_hour_wib,scope,label,sessions,k1_qualified,k1_rate,causal_leave,leave_rate,h2,opposite_break_before_h2,ambiguous_h2_vs_opposite,no_h2_by_end,h2_rate,resolved_h2_share,median_minutes_leave_to_h2
10,POOLED,STRONG_STRUCTURAL,1096,271,0.24726277372262773,175,0.6457564575645757,136,14,0,25,0.7771428571428571,0.9066666666666666,15.0
10,Monday,,157,37,0.2356687898089172,23,0.6216216216216216,18,3,0,2,0.782608695652174,0.8571428571428571,20.0
10,Tuesday,,157,29,0.18471337579617833,20,0.6896551724137931,16,1,0,3,0.8,0.9411764705882353,15.0
10,Wednesday,,156,39,0.25,25,0.6410256410256411,17,3,0,5,0.68,0.85,10.0
10,Thursday,,156,41,0.26282051282051283,23,0.5609756097560976,16,2,0,5,0.6956521739130435,0.8888888888888888,12.5
10,Friday,,156,38,0.24358974358974358,22,0.5789473684210527,18,2,0,2,0.8181818181818182,0.9,20.0
10,Saturday,,157,31,0.19745222929936307,20,0.6451612903225806,17,1,0,2,0.85,0.9444444444444444,10.0
10,Sunday,,157,56,0.35668789808917195,42,0.75,34,2,0,6,0.8095238095238095,0.9444444444444444,15.0
11,POOLED,STRONG_STRUCTURAL,1096,253,0.23083941605839417,159,0.6284584980237155,120,13,0,26,0.7547169811320755,0.9022556390977443,15.0
11,Monday,,157,35,0.2229299363057325,23,0.6571428571428571,19,2,0,2,0.8260869565217391,0.9047619047619048,10.0
11,Tuesday,,157,38,0.24203821656050956,25,0.6578947368421053,19,4,0,2,0.76,0.8260869565217391,15.0
11,Wednesday,,156,39,0.25,23,0.5897435897435898,17,3,0,3,0.7391304347826086,0.85,15.0
11,Thursday,,156,35,0.22435897435897437,21,0.6,15,2,0,4,0.7142857142857143,0.8823529411764706,10.0
11,Friday,,156,29,0.1858974358974359,16,0.5517241379310345,11,0,0,5,0.6875,1.0,20.0
11,Saturday,,157,35,0.2229299363057325,24,0.6857142857142857,18,1,0,5,0.75,0.9473684210526315,27.5
11,Sunday,,157,42,0.267515923566879,27,0.6428571428571429,21,1,0,5,0.7777777777777778,0.9545454545454546,15.0
12,POOLED,STRONG_STRUCTURAL,1096,252,0.22992700729927007,161,0.6388888888888888,117,16,0,28,0.7267080745341615,0.8796992481203008,20.0
12,Monday,,157,33,0.21019108280254778,21,0.6363636363636364,17,1,0,3,0.8095238095238095,0.9444444444444444,20.0
12,Tuesday,,157,41,0.2611464968152866,25,0.6097560975609756,18,0,0,7,0.72,1.0,20.0
12,Wednesday,,156,39,0.25,25,0.6410256410256411,15,7,0,3,0.6,0.6818181818181818,20.0
12,Thursday,,156,30,0.19230769230769232,17,0.5666666666666667,13,3,0,1,0.7647058823529411,0.8125,15.0
12,Friday,,156,36,0.23076923076923078,25,0.6944444444444444,20,0,0,5,0.8,1.0,17.5
12,Saturday,,157,38,0.24203821656050956,24,0.631578947368421,16,3,0,5,0.6666666666666666,0.8421052631578947,22.5
12,Sunday,,157,35,0.2229299363057325,24,0.6857142857142857,18,2,0,4,0.75,0.9,20.0
13,POOLED,STRONG_STRUCTURAL,1096,277,0.2527372262773723,183,0.6606498194945848,139,12,0,32,0.7595628415300546,0.9205298013245033,20.0
13,Monday,,157,42,0.267515923566879,30,0.7142857142857143,25,1,0,4,0.8333333333333334,0.9615384615384616,15.0
13,Tuesday,,157,38,0.24203821656050956,25,0.6578947368421053,19,1,0,5,0.76,0.95,30.0
13,Wednesday,,156,42,0.2692307692307692,27,0.6428571428571429,21,3,0,3,0.7777777777777778,0.875,10.0
13,Thursday,,156,34,0.21794871794871795,24,0.7058823529411765,18,2,0,4,0.75,0.9,32.5
13,Friday,,156,43,0.27564102564102566,27,0.627906976744186,20,3,0,4,0.7407407407407407,0.8695652173913043,20.0
13,Saturday,,157,40,0.25477707006369427,22,0.55,16,1,0,5,0.7272727272727273,0.9411764705882353,35.0
13,Sunday,,157,38,0.24203821656050956,28,0.7368421052631579,20,1,0,7,0.7142857142857143,0.9523809523809523,22.5
