duration_h,execution_window,mean_h2_rate,min_h2_rate,max_h2_rate,spread,total_leaves,total_h2,pooled_h2_rate_descriptive,stable,stability_label
3,05:00–08:00,0.7243555285821629,0.7151898734177216,0.7328767123287672,0.01768683891104561,464,336,0.7241379310344828,False,UNSTABLE_EXECUTION_DURATION
4,05:00–09:00,0.8145191099282916,0.8083832335329342,0.8203592814371258,0.0119760479041916,496,404,0.8145161290322581,True,STABLE_EXECUTION_DURATION
5,05:00–10:00,0.8380215640771153,0.8313953488372093,0.8502994011976048,0.018904052360395496,512,429,0.837890625,True,STABLE_EXECUTION_DURATION
