partition,date_utc,k,signal_ts,structural_outcome,entry_name,stop_name,entry_fraction,stop_fraction,entry_px_planned,stop_px,target_px,nominal_rr,filled,entry_ts,entry_px,exit_ts,exit_px,exit_reason,net_pnl_usd
august,2026-08-03,1,2026-08-03 13:50:00+00:00,TARGET_BREAK,F75,D10,0.75,0.65,62801.675,62730.545,62979.5,2.4999999999997953,False,,,,,RANGE_BROKE_BEFORE_FILL,
august,2026-08-03,1,2026-08-03 13:50:00+00:00,TARGET_BREAK,F75,D15,0.75,0.6,62801.675,62694.979999999996,62979.5,1.6666666666665302,False,,,,,RANGE_BROKE_BEFORE_FILL,
august,2026-08-03,1,2026-08-03 13:50:00+00:00,TARGET_BREAK,F80,D10,0.8,0.7000000000000001,62837.24,62766.11,62979.5,2.000000000000102,False,,,,,RANGE_BROKE_BEFORE_FILL,
august,2026-08-03,1,2026-08-03 13:50:00+00:00,TARGET_BREAK,F80,D15,0.8,0.65,62837.24,62730.545,62979.5,1.3333333333333561,False,,,,,RANGE_BROKE_BEFORE_FILL,
august,2026-08-03,1,2026-08-03 13:50:00+00:00,TARGET_BREAK,F85,D10,0.85,0.75,62872.805,62801.675,62979.5,1.500000000000051,False,,,,,RANGE_BROKE_BEFORE_FILL,
august,2026-08-03,1,2026-08-03 13:50:00+00:00,TARGET_BREAK,F85,D15,0.85,0.7,62872.805,62766.11,62979.5,1.0,False,,,,,RANGE_BROKE_BEFORE_FILL,
august,2026-08-04,1,2026-08-04 13:40:00+00:00,TARGET_BREAK,F75,D10,0.75,0.65,63882.925,63822.375,64034.3,2.4999999999998797,True,2026-08-04 13:45:00+00:00,63882.925,2026-08-04 13:45:00+00:00,63822.375,SL_FILL_5M_CONSERVATIVE,-0.8739138040407709
august,2026-08-04,1,2026-08-04 13:40:00+00:00,TARGET_BREAK,F75,D15,0.75,0.6,63882.925,63792.100000000006,64034.3,1.66666666666672,True,2026-08-04 13:45:00+00:00,63882.925,2026-08-04 13:45:00+00:00,63792.100000000006,SL_FILL_5M_CONSERVATIVE,-1.1108707060611285
august,2026-08-04,1,2026-08-04 13:40:00+00:00,TARGET_BREAK,F80,D10,0.8,0.7000000000000001,63913.200000000004,63852.65,64034.3,1.9999999999998799,True,2026-08-04 13:45:00+00:00,63913.200000000004,2026-08-04 13:45:00+00:00,63852.65,SL_FILL_5M_CONSERVATIVE,-0.8736893161350064
august,2026-08-04,1,2026-08-04 13:40:00+00:00,TARGET_BREAK,F80,D15,0.8,0.65,63913.200000000004,63822.375,64034.3,1.3333333333332533,True,2026-08-04 13:45:00+00:00,63913.200000000004,2026-08-04 13:45:00+00:00,63822.375,SL_FILL_5M_CONSERVATIVE,-1.110533974202565
august,2026-08-04,1,2026-08-04 13:40:00+00:00,TARGET_BREAK,F85,D10,0.85,0.75,63943.475000000006,63882.925,64034.3,1.4999999999998799,True,2026-08-04 13:45:00+00:00,63943.475000000006,2026-08-04 13:45:00+00:00,63882.925,SL_FILL_5M_CONSERVATIVE,-0.8734650408036445
august,2026-08-04,1,2026-08-04 13:40:00+00:00,TARGET_BREAK,F85,D15,0.85,0.7,63943.475000000006,63852.65,64034.3,0.9999999999999198,True,2026-08-04 13:45:00+00:00,63943.475000000006,2026-08-04 13:45:00+00:00,63852.65,SL_FILL_5M_CONSERVATIVE,-1.1101975612054389
august,2026-08-17,1,2026-08-17 13:45:00+00:00,TARGET_BREAK,F75,D10,0.75,0.65,63628.5,63578.7,63753.0,2.499999999999854,True,2026-08-17 13:45:00+00:00,63628.5,2026-08-17 13:45:00+00:00,63578.7,SL_FILL_5M_CONSERVATIVE,-0.7913340719960412
august,2026-08-17,1,2026-08-17 13:45:00+00:00,TARGET_BREAK,F75,D15,0.75,0.6,63628.5,63553.8,63753.0,1.6666666666667316,True,2026-08-17 13:45:00+00:00,63628.5,2026-08-17 14:50:00+00:00,63753.0,TP_PREV_HIGH,0.5783351799901307
august,2026-08-17,1,2026-08-17 13:45:00+00:00,TARGET_BREAK,F80,D10,0.8,0.7000000000000001,63653.4,63603.6,63753.0,1.999999999999854,True,2026-08-17 13:45:00+00:00,63653.4,2026-08-17 13:45:00+00:00,63603.6,SL_FILL_5M_CONSERVATIVE,-0.7911809895465468
august,2026-08-17,1,2026-08-17 13:45:00+00:00,TARGET_BREAK,F80,D15,0.8,0.65,63653.4,63578.7,63753.0,1.333333333333236,True,2026-08-17 13:45:00+00:00,63653.4,2026-08-17 13:45:00+00:00,63578.7,SL_FILL_5M_CONSERVATIVE,-0.9867714843197924
august,2026-08-17,1,2026-08-17 13:45:00+00:00,TARGET_BREAK,F85,D10,0.85,0.75,63678.3,63628.5,63753.0,1.499999999999854,True,2026-08-17 13:45:00+00:00,63678.3,2026-08-17 13:45:00+00:00,63628.5,SL_FILL_5M_CONSERVATIVE,-0.7910280268160649
august,2026-08-17,1,2026-08-17 13:45:00+00:00,TARGET_BREAK,F85,D15,0.85,0.7,63678.3,63603.6,63753.0,0.9999999999999026,True,2026-08-17 13:45:00+00:00,63678.3,2026-08-17 13:45:00+00:00,63603.6,SL_FILL_5M_CONSERVATIVE,-0.9865420402241251
august,2026-08-17,2,2026-08-17 14:55:00+00:00,TARGET_BREAK,F75,D10,0.75,0.65,63628.5,63578.7,63753.0,2.499999999999854,False,,,,,RANGE_BROKE_BEFORE_FILL,
august,2026-08-17,2,2026-08-17 14:55:00+00:00,TARGET_BREAK,F75,D15,0.75,0.6,63628.5,63553.8,63753.0,1.6666666666667316,False,,,,,RANGE_BROKE_BEFORE_FILL,
august,2026-08-17,2,2026-08-17 14:55:00+00:00,TARGET_BREAK,F80,D10,0.8,0.7000000000000001,63653.4,63603.6,63753.0,1.999999999999854,False,,,,,RANGE_BROKE_BEFORE_FILL,
august,2026-08-17,2,2026-08-17 14:55:00+00:00,TARGET_BREAK,F80,D15,0.8,0.65,63653.4,63578.7,63753.0,1.333333333333236,False,,,,,RANGE_BROKE_BEFORE_FILL,
august,2026-08-17,2,2026-08-17 14:55:00+00:00,TARGET_BREAK,F85,D10,0.85,0.75,63678.3,63628.5,63753.0,1.499999999999854,False,,,,,RANGE_BROKE_BEFORE_FILL,
august,2026-08-17,2,2026-08-17 14:55:00+00:00,TARGET_BREAK,F85,D15,0.85,0.7,63678.3,63603.6,63753.0,0.9999999999999026,False,,,,,RANGE_BROKE_BEFORE_FILL,
august,2026-08-20,1,2026-08-20 15:05:00+00:00,TARGET_BREAK,F75,D10,0.75,0.65,71808.575,71537.005,72487.5,2.5000000000000804,False,,,,,RANGE_BROKE_BEFORE_FILL,
august,2026-08-20,1,2026-08-20 15:05:00+00:00,TARGET_BREAK,F75,D15,0.75,0.6,71808.575,71401.22,72487.5,1.6666666666666905,False,,,,,RANGE_BROKE_BEFORE_FILL,
august,2026-08-20,1,2026-08-20 15:05:00+00:00,TARGET_BREAK,F80,D10,0.8,0.7000000000000001,71944.36,71672.79000000001,72487.5,2.0000000000000537,True,2026-08-20 15:20:00+00:00,71944.36,2026-08-20 15:30:00+00:00,72487.5,TP_PREV_HIGH,3.3747225772805094
august,2026-08-20,1,2026-08-20 15:05:00+00:00,TARGET_BREAK,F80,D15,0.8,0.65,71944.36,71537.005,72487.5,1.3333333333333452,True,2026-08-20 15:20:00+00:00,71944.36,2026-08-20 15:30:00+00:00,72487.5,TP_PREV_HIGH,3.3747225772805094
august,2026-08-20,1,2026-08-20 15:05:00+00:00,TARGET_BREAK,F85,D10,0.85,0.75,72080.145,71808.575,72487.5,1.4999999999999465,True,2026-08-20 15:05:00+00:00,72080.145,2026-08-20 15:30:00+00:00,72487.5,TP_PREV_HIGH,2.4257087995591236
august,2026-08-20,1,2026-08-20 15:05:00+00:00,TARGET_BREAK,F85,D15,0.85,0.7,72080.145,71672.79,72487.5,0.9999999999999643,True,2026-08-20 15:05:00+00:00,72080.145,2026-08-20 15:30:00+00:00,72487.5,TP_PREV_HIGH,2.4257087995591236
august,2026-08-20,2,2026-08-20 15:35:00+00:00,TARGET_BREAK,F75,D10,0.75,0.65,71808.575,71537.005,72487.5,2.5000000000000804,False,,,,,RANGE_BROKE_BEFORE_FILL,
