gate,scope,name,source_n,gate_pass_n,gate_pass_rate,fills_n,fill_rate_gatepass,rebreak_n,rebreak_rate_fill,t10_n,t10_rate_fill,t10_yield_source,high_failure_n,high_failure_rate_fill,unresolved_n,unresolved_rate_fill,median_reclaim_fill_min,median_fill_rebreak_min,median_fill_t10_min,retained_fills_vs_base
BASE,PARTITION,external,202,202,1.0,183,0.905940594059406,146,0.7978142076502732,139,0.7595628415300546,0.6881188118811881,25,0.1366120218579235,19,0.10382513661202186,0.0,15.0,30.0,1.0
BASE,PARTITION,development,333,333,1.0,297,0.8918918918918919,238,0.8013468013468014,222,0.7474747474747475,0.6666666666666666,38,0.12794612794612795,37,0.12457912457912458,0.0,25.0,40.0,1.0
BASE,PARTITION,reference_validation,194,194,1.0,173,0.8917525773195877,137,0.791907514450867,132,0.7630057803468208,0.6804123711340206,19,0.10982658959537572,22,0.12716763005780346,0.0,20.0,32.5,1.0
BASE,POOL,POOLED_REUSED_EXTVAL,396,396,1.0,356,0.898989898989899,283,0.7949438202247191,271,0.7612359550561798,0.6843434343434344,44,0.12359550561797752,41,0.1151685393258427,0.0,20.0,30.0,1.0
BASE,POOL,POOLED_MAJOR,729,729,1.0,653,0.8957475994513031,521,0.7978560490045942,493,0.7549770290964778,0.6762688614540466,82,0.12557427258805512,78,0.11944869831546708,0.0,20.0,35.0,1.0
BASE,CLOCK_EXTERNAL,00-04,29,29,1.0,27,0.9310344827586207,23,0.8518518518518519,23,0.8518518518518519,0.7931034482758621,2,0.07407407407407407,2,0.07407407407407407,0.0,20.0,30.0,1.0
BASE,CLOCK_EXTERNAL,04-08,43,43,1.0,38,0.8837209302325582,33,0.868421052631579,33,0.868421052631579,0.7674418604651163,2,0.05263157894736842,3,0.07894736842105263,0.0,15.0,35.0,1.0
BASE,CLOCK_EXTERNAL,08-12,40,40,1.0,40,1.0,31,0.775,29,0.725,0.725,7,0.175,4,0.1,0.0,10.0,25.0,1.0
BASE,CLOCK_EXTERNAL,12-16,32,32,1.0,31,0.96875,25,0.8064516129032258,23,0.7419354838709677,0.71875,4,0.12903225806451613,4,0.12903225806451613,0.0,25.0,30.0,1.0
BASE,CLOCK_EXTERNAL,16-20,31,31,1.0,25,0.8064516129032258,18,0.72,16,0.64,0.5161290322580645,6,0.24,3,0.12,0.0,25.0,47.5,1.0
BASE,CLOCK_EXTERNAL,20-00,27,27,1.0,22,0.8148148148148148,16,0.7272727272727273,15,0.6818181818181818,0.5555555555555556,4,0.18181818181818182,3,0.13636363636363635,0.0,12.5,25.0,1.0
BASE,CLOCK_DEVELOPMENT,00-04,47,47,1.0,42,0.8936170212765957,31,0.7380952380952381,27,0.6428571428571429,0.574468085106383,7,0.16666666666666666,8,0.19047619047619047,0.0,15.0,30.0,1.0
BASE,CLOCK_DEVELOPMENT,04-08,43,43,1.0,38,0.8837209302325582,32,0.8421052631578947,32,0.8421052631578947,0.7441860465116279,1,0.02631578947368421,5,0.13157894736842105,0.0,45.0,50.0,1.0
BASE,CLOCK_DEVELOPMENT,08-12,58,58,1.0,50,0.8620689655172413,40,0.8,39,0.78,0.6724137931034483,8,0.16,3,0.06,0.0,15.0,25.0,1.0
BASE,CLOCK_DEVELOPMENT,12-16,82,82,1.0,76,0.926829268292683,58,0.7631578947368421,55,0.7236842105263158,0.6707317073170732,18,0.23684210526315788,3,0.039473684210526314,0.0,25.0,35.0,1.0
BASE,CLOCK_DEVELOPMENT,16-20,60,60,1.0,54,0.9,47,0.8703703703703703,42,0.7777777777777778,0.7,2,0.037037037037037035,10,0.18518518518518517,0.0,40.0,47.5,1.0
BASE,CLOCK_DEVELOPMENT,20-00,43,43,1.0,37,0.8604651162790697,30,0.8108108108108109,27,0.7297297297297297,0.627906976744186,2,0.05405405405405406,8,0.21621621621621623,0.0,17.5,60.0,1.0
BASE,CLOCK_REFERENCE_VALIDATION,00-04,36,36,1.0,32,0.8888888888888888,23,0.71875,23,0.71875,0.6388888888888888,4,0.125,5,0.15625,0.0,20.0,25.0,1.0
BASE,CLOCK_REFERENCE_VALIDATION,04-08,26,26,1.0,20,0.7692307692307693,18,0.9,17,0.85,0.6538461538461539,2,0.1,1,0.05,0.0,10.0,25.0,1.0
BASE,CLOCK_REFERENCE_VALIDATION,08-12,29,29,1.0,24,0.8275862068965517,21,0.875,21,0.875,0.7241379310344828,2,0.08333333333333333,1,0.041666666666666664,0.0,30.0,60.0,1.0
BASE,CLOCK_REFERENCE_VALIDATION,12-16,43,43,1.0,41,0.9534883720930233,33,0.8048780487804879,32,0.7804878048780488,0.7441860465116279,7,0.17073170731707318,2,0.04878048780487805,0.0,20.0,25.0,1.0
BASE,CLOCK_REFERENCE_VALIDATION,16-20,31,31,1.0,27,0.8709677419354839,19,0.7037037037037037,16,0.5925925925925926,0.5161290322580645,0,0.0,11,0.4074074074074074,0.0,15.0,32.5,1.0
BASE,CLOCK_REFERENCE_VALIDATION,20-00,29,29,1.0,29,1.0,23,0.7931034482758621,23,0.7931034482758621,0.7931034482758621,4,0.13793103448275862,2,0.06896551724137931,0.0,35.0,70.0,1.0
BASE,CLOCK_REUSED,00-04,65,65,1.0,59,0.9076923076923077,46,0.7796610169491526,46,0.7796610169491526,0.7076923076923077,6,0.1016949152542373,7,0.11864406779661017,0.0,20.0,25.0,1.0
