exit_reason,count
RANGE_BROKE_BEFORE_FILL,1202
SL_LOCAL_RANGE,498
TP_PREV_HIGH,445
SL_FILL_5M_CONSERVATIVE,444
NO_FILL,20
TIME_EXIT_SESSION_END,18
SL_SAME_5M_CONSERVATIVE,13
NO_ELIGIBLE_5M,6
