period,slippage_bps_per_side,trades,win_rate,net_pnl,expectancy,pf,max_dd,max_loss_streak,max_win_streak
2022,0,33,0.6060606060606061,72.18979029980116,2.1875694030242774,1.8018082747013187,31.89178816509446,3,6
2023,0,31,0.5161290322580645,62.08901719313107,2.002871522359067,1.7268555002565664,33.64447409637422,5,4
2024,0,24,0.6666666666666666,131.7474286726908,5.48947619469545,5.217660876054638,13.412237455531937,2,5
2025,0,25,0.6,31.74500577989969,1.2698002311959875,1.4006415392521352,28.156098671567015,6,4
2022-2025,0,113,0.5929203539823009,297.7712419455227,2.6351437340311743,2.041421632757906,33.64447409637424,6,6
2022,2,33,0.5757575757575758,65.58979029980118,1.987569403024278,1.706742603545526,32.29178816509446,3,6
2023,2,31,0.5161290322580645,55.88901719313106,1.8028715223590666,1.63207566030362,35.04447409637421,5,4
2024,2,24,0.6666666666666666,126.94742867269082,5.2894761946954505,4.865977478468176,13.61223745553194,2,5
2025,2,25,0.56,26.7450057798997,1.069800231195988,1.3289995301820776,28.81259279013822,6,4
2022-2025,2,113,0.5752212389380531,275.1712419455227,2.435143734031174,1.9316589845795578,35.044474096374216,6,6
2022,5,33,0.5151515151515151,55.68979029980118,1.6875694030242783,1.571770998756197,33.18678257149028,5,6
2023,5,31,0.4838709677419355,46.58901719313105,1.502871522359066,1.500108706317834,37.14447409637422,5,4
2024,5,24,0.6666666666666666,119.7474286726908,4.98947619469545,4.398335327077545,13.912237455531937,2,5
2025,5,25,0.52,19.24500577989969,0.7698002311959875,1.2272390339050447,30.01259279013822,6,3
2022-2025,5,113,0.5398230088495575,241.27124194552275,2.1351437340311747,1.7770805466076336,37.144474096374225,6,6
2022,10,33,0.48484848484848486,39.189790299801174,1.187569403024278,1.37061768608708,36.01777983673441,5,4
2023,10,31,0.45161290322580644,31.089017193131035,1.0028715223590656,1.307216522635099,40.644474096374225,5,4
2024,10,24,0.6666666666666666,107.7474286726908,4.48947619469545,3.7460610382881807,14.412237455531937,2,5
2025,10,25,0.52,6.745005779899692,0.26980023119598767,1.0743738292829619,32.200129926035636,6,3
2022-2025,10,113,0.5221238938053098,184.77124194552277,1.635143734031175,1.5485018961054264,44.434227358514555,6,5
