partition,break_class,outcome,n,share_of_bull_origin,retest0_n,retest1_n,retest2_n,retest3p_n,median_distinct_retests,p75_distinct_retests,p90_distinct_retests,max_distinct_retests,median_raw_retest_bars,p75_raw_retest_bars,p90_raw_retest_bars,max_raw_retest_bars,median_break_age,p75_break_age,p90_break_age,max_break_age
external,CLOSE_BREAK,ALL,62,0.3803680981595092,47,13,2,0,0.0,0.0,1.0,2,0.0,0.0,1.0,5,1.0,2.0,4.899999999999999,10
external,CLOSE_BREAK,RESUME,31,0.1901840490797546,24,6,1,0,0.0,0.0,1.0,2,0.0,0.0,1.0,4,1.0,2.0,4.0,10
external,CLOSE_BREAK,TRANSITION,31,0.1901840490797546,23,7,1,0,0.0,0.5,1.0,2,0.0,0.5,1.0,5,2.0,2.0,5.0,10
external,NO_CLOSE_BREAK,ALL,101,0.6196319018404908,82,17,2,0,0.0,0.0,1.0,2,0.0,0.0,1.0,4,,,,0
external,NO_CLOSE_BREAK,RESUME,73,0.44785276073619634,58,13,2,0,0.0,0.0,1.0,2,0.0,0.0,1.0,3,,,,0
external,NO_CLOSE_BREAK,TRANSITION,28,0.17177914110429449,24,4,0,0,0.0,0.0,1.0,1,0.0,0.0,1.0,4,,,,0
development,CLOSE_BREAK,ALL,61,0.2785388127853881,59,2,0,0,0.0,0.0,0.0,1,0.0,0.0,0.0,1,1.0,1.0,2.0,3
development,CLOSE_BREAK,RESUME,16,0.0730593607305936,16,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,1
development,CLOSE_BREAK,TRANSITION,45,0.2054794520547945,43,2,0,0,0.0,0.0,0.0,1,0.0,0.0,0.0,1,1.0,1.0,2.0,3
development,NO_CLOSE_BREAK,ALL,158,0.7214611872146118,128,29,1,0,0.0,0.0,1.0,2,0.0,0.0,1.0,4,,,,0
development,NO_CLOSE_BREAK,RESUME,89,0.4063926940639269,75,14,0,0,0.0,0.0,1.0,1,0.0,0.0,1.0,4,,,,0
development,NO_CLOSE_BREAK,TRANSITION,69,0.3150684931506849,53,15,1,0,0.0,0.0,1.0,2,0.0,0.0,1.0,3,,,,0
reference_validation,CLOSE_BREAK,ALL,35,0.23333333333333334,32,3,0,0,0.0,0.0,0.0,1,0.0,0.0,0.0,1,1.0,1.5,2.0,3
reference_validation,CLOSE_BREAK,RESUME,10,0.06666666666666667,9,1,0,0,0.0,0.0,0.09999999999999964,1,0.0,0.0,0.09999999999999964,1,1.0,1.0,1.0999999999999996,2
reference_validation,CLOSE_BREAK,TRANSITION,25,0.16666666666666666,23,2,0,0,0.0,0.0,0.0,1,0.0,0.0,0.0,1,1.0,2.0,2.0,3
reference_validation,NO_CLOSE_BREAK,ALL,115,0.7666666666666667,100,15,0,0,0.0,0.0,1.0,1,0.0,0.0,1.0,2,,,,0
reference_validation,NO_CLOSE_BREAK,RESUME,62,0.41333333333333333,56,6,0,0,0.0,0.0,0.0,1,0.0,0.0,0.0,2,,,,0
reference_validation,NO_CLOSE_BREAK,TRANSITION,53,0.35333333333333333,44,9,0,0,0.0,0.0,1.0,1,0.0,0.0,1.0,2,,,,0
POOLED_OOS,CLOSE_BREAK,ALL,97,0.30990415335463256,79,16,2,0,0.0,0.0,1.0,2,0.0,0.0,1.0,5,1.0,2.0,3.4000000000000057,10
POOLED_OOS,CLOSE_BREAK,RESUME,41,0.13099041533546327,33,7,1,0,0.0,0.0,1.0,2,0.0,0.0,1.0,4,1.0,2.0,4.0,10
POOLED_OOS,CLOSE_BREAK,TRANSITION,56,0.17891373801916932,46,9,1,0,0.0,0.0,1.0,2,0.0,0.0,1.0,5,1.0,2.0,3.0,10
POOLED_OOS,NO_CLOSE_BREAK,ALL,216,0.6900958466453674,182,32,2,0,0.0,0.0,1.0,2,0.0,0.0,1.0,4,,,,0
POOLED_OOS,NO_CLOSE_BREAK,RESUME,135,0.43130990415335463,114,19,2,0,0.0,0.0,1.0,2,0.0,0.0,1.0,3,,,,0
POOLED_OOS,NO_CLOSE_BREAK,TRANSITION,81,0.25878594249201275,68,13,0,0,0.0,0.0,1.0,1,0.0,0.0,1.0,4,,,,0
POOLED_MAJOR,CLOSE_BREAK,ALL,158,0.29699248120300753,138,18,2,0,0.0,0.0,1.0,2,0.0,0.0,1.0,5,1.0,2.0,2.0,10
POOLED_MAJOR,CLOSE_BREAK,RESUME,57,0.10714285714285714,49,7,1,0,0.0,0.0,1.0,2,0.0,0.0,1.0,4,1.0,1.0,3.0,10
POOLED_MAJOR,CLOSE_BREAK,TRANSITION,101,0.18984962406015038,89,11,1,0,0.0,0.0,1.0,2,0.0,0.0,1.0,5,1.0,2.0,2.0,10
POOLED_MAJOR,NO_CLOSE_BREAK,ALL,374,0.7030075187969925,310,61,3,0,0.0,0.0,1.0,2,0.0,0.0,1.0,4,,,,0
POOLED_MAJOR,NO_CLOSE_BREAK,RESUME,224,0.42105263157894735,189,33,2,0,0.0,0.0,1.0,2,0.0,0.0,1.0,4,,,,0
POOLED_MAJOR,NO_CLOSE_BREAK,TRANSITION,150,0.2819548872180451,121,28,1,0,0.0,0.0,1.0,2,0.0,0.0,1.0,4,,,,0
