gap,gap_label,partition,stress_bps,candidates,accepted,blocked,trades_per_week,armed,floor_exits,buffer_f20_exits,n,wins,wr,pf,expectancy,net,max_ls
0.05,G05,external,0,167,144,23,1.3789329685362517,68,67,0,144,90,0.625,1.7964123992040497,1.640405940054915,236.21845536790775,3
0.05,G05,external,5,167,144,23,1.3789329685362517,68,67,0,144,82,0.5694444444444444,1.5036242870212395,1.13861642887051,163.96076575735344,4
0.05,G05,development,0,288,233,55,1.4881386861313868,122,118,0,233,139,0.5965665236051502,1.1662987681625503,0.31874547742025716,74.26769623891992,5
0.05,G05,development,5,288,233,55,1.4881386861313868,122,118,0,233,134,0.575107296137339,0.9143194244725404,-0.1817230338014956,-42.34146687574847,5
0.05,G05,reference_validation,0,120,101,19,1.2295652173913043,50,46,0,101,64,0.6336633663366337,1.4604596325859933,0.8267223129062226,83.49895360352848,4
0.05,G05,reference_validation,5,120,101,19,1.2295652173913043,50,46,0,101,61,0.6039603960396039,1.1643758454855013,0.32574607871047495,32.90035394975797,4
0.05,G05,POOLED_MAJOR,0,575,478,97,1.3930058284762699,240,231,0,478,293,0.6129707112970711,1.4261447872239905,0.8242366217789876,393.9851052103561,5
0.05,G05,POOLED_MAJOR,5,575,478,97,1.3930058284762699,240,231,0,478,277,0.5794979079497908,1.1515057457018087,0.32326287203213994,154.5196528313629,5
0.1,G10,external,0,167,144,23,1.3789329685362517,68,66,0,144,90,0.625,1.7929746893496488,1.6333251366031094,235.19881967084777,3
0.1,G10,external,5,167,144,23,1.3789329685362517,68,66,0,144,82,0.5694444444444444,1.5004954894585354,1.1315427026835227,162.9421491864273,4
0.1,G10,development,0,288,233,55,1.4881386861313868,122,118,0,233,139,0.5965665236051502,1.1415223813098918,0.27125648310383393,63.2027605631933,5
0.1,G10,development,5,288,233,55,1.4881386861313868,122,118,0,233,134,0.575107296137339,0.8919512225540488,-0.2291645628562346,-53.395343145502665,5
0.1,G10,reference_validation,0,120,101,19,1.2295652173913043,50,46,0,101,64,0.6336633663366337,1.4271471004011569,0.766912045713109,77.458116617024,4
0.1,G10,reference_validation,5,120,101,19,1.2295652173913043,50,46,0,101,61,0.6039603960396039,1.134224947499412,0.2659955918943663,26.865554781330992,4
0.1,G10,POOLED_MAJOR,0,575,478,97,1.3930058284762699,240,230,0,478,293,0.6129707112970711,1.4065398626050918,0.7863173574290062,375.859696851065,5
0.1,G10,POOLED_MAJOR,5,575,478,97,1.3930058284762699,240,230,0,478,277,0.5794979079497908,1.1337516365758051,0.2853815079963506,136.41236082225558,5
0.15,G15,external,0,167,144,23,1.3789329685362517,68,64,0,144,90,0.625,1.7827419180086173,1.61224824364184,232.16374708442495,3
0.15,G15,external,5,167,144,23,1.3789329685362517,68,64,0,144,82,0.5694444444444444,1.4911822340101357,1.1104868760820377,159.9101101558134,4
0.15,G15,development,0,288,233,55,1.4881386861313868,122,116,0,233,139,0.5965665236051502,1.1831734627171024,0.35108926824650266,81.80379950143512,5
0.15,G15,development,5,288,233,55,1.4881386861313868,122,116,0,233,134,0.575107296137339,0.9295539531128019,-0.14941157060226895,-34.81289595032867,5
0.15,G15,reference_validation,0,120,101,19,1.2295652173913043,50,45,0,101,64,0.6336633663366337,1.4359232752727158,0.7826690395402057,79.04957299356077,4
0.15,G15,reference_validation,5,120,101,19,1.2295652173913043,50,45,0,101,61,0.6039603960396039,1.1421681909548258,0.281736836602196,28.455420496821798,4
0.15,G15,POOLED_MAJOR,0,575,478,97,1.3930058284762699,240,225,0,478,293,0.6129707112970711,1.4250977881743423,0.8222115472372822,393.01711957942086,5
0.15,G15,POOLED_MAJOR,5,575,478,97,1.3930058284762699,240,225,0,478,277,0.5794979079497908,1.1505575892695024,0.32123982155294256,153.55263470230653,5
0.2,G20,external,0,167,144,23,1.3789329685362517,68,64,0,144,90,0.625,1.7253475689143667,1.4940305573352368,215.1404002562741,3
0.2,G20,external,5,167,144,23,1.3789329685362517,68,64,0,144,82,0.5694444444444444,1.438945335852731,0.992387348382437,142.90377816707093,4
0.2,G20,development,0,288,233,55,1.4881386861313868,122,111,0,233,139,0.5965665236051502,1.262513758211555,0.5031611124668057,117.23653920476573,5
0.2,G20,development,5,288,233,55,1.4881386861313868,122,111,0,233,132,0.5665236051502146,1.001182213547188,0.0025082777717425034,0.5844287208160033,5
0.2,G20,reference_validation,0,120,100,20,1.2173913043478262,50,44,0,100,64,0.64,1.4185037555789026,0.7353443507033394,73.53443507033394,4
0.2,G20,reference_validation,5,120,100,20,1.2173913043478262,50,44,0,100,61,0.61,1.1208377167710426,0.2344594488036507,23.44594488036507,4
0.2,G20,POOLED_MAJOR,0,575,477,98,1.3900915903413824,240,219,0,477,293,0.6142557651991615,1.4417346823521702,0.8509672422041379,405.9113745313738,5
0.2,G20,POOLED_MAJOR,5,575,477,98,1.3900915903413824,240,219,0,477,275,0.5765199161425576,1.1646388766528748,0.34996677519549685,166.934151768252,5
0.25,G25,external,0,167,144,23,1.3789329685362517,68,61,0,144,90,0.625,1.692099530047743,1.425548097109235,205.27892598372983,3
0.25,G25,external,5,167,144,23,1.3789329685362517,68,61,0,144,82,0.5694444444444444,1.4086849627041966,0.9239733363925422,133.05216044052608,4
0.25,G25,development,0,288,233,55,1.4881386861313868,122,107,0,233,139,0.5965665236051502,1.3102564182819934,0.5946696494548263,138.5580283229745,5
0.25,G25,development,5,288,233,55,1.4881386861313868,122,107,0,233,130,0.5579399141630901,1.0442310031388595,0.09392535195417652,21.88460700532313,5
0.25,G25,reference_validation,0,120,100,20,1.2173913043478262,50,43,0,100,64,0.64,1.3496717971787482,0.6144011307616536,61.44011307616536,4
0.25,G25,reference_validation,5,120,100,20,1.2173913043478262,50,43,0,100,61,0.61,1.058567266882022,0.11363711164050966,11.363711164050965,4
0.25,G25,POOLED_MAJOR,0,575,477,98,1.3900915903413824,240,211,0,477,293,0.6142557651991615,1.4410443950521858,0.8496374578257225,405.27706738286963,5
0.25,G25,POOLED_MAJOR,5,575,477,98,1.3900915903413824,240,211,0,477,273,0.5723270440251572,1.1639446200784576,0.3486383199368976,166.30047860990015,5
